output_file,date,rule,version,log-file(s),input-file(s),shellcmd,status,plan
resources/regions_onshore_elec_s180.geojson,Wed Aug 16 11:43:43 2023,simplify_network,-,logs/test-tgi/simplify_network/elec_s180.log,data/costs_2030.csv;resources/networks/elec.nc;resources/regions_offshore.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/regions_offshore_elec_s180.geojson,Wed Aug 16 11:43:43 2023,simplify_network,-,logs/test-tgi/simplify_network/elec_s180.log,data/costs_2030.csv;resources/networks/elec.nc;resources/regions_offshore.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/busmap_elec_s180.csv,Wed Aug 16 11:43:43 2023,simplify_network,-,logs/test-tgi/simplify_network/elec_s180.log,data/costs_2030.csv;resources/networks/elec.nc;resources/regions_offshore.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/connection_costs_s180.csv,Wed Aug 16 11:43:43 2023,simplify_network,-,logs/test-tgi/simplify_network/elec_s180.log,data/costs_2030.csv;resources/networks/elec.nc;resources/regions_offshore.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/networks/elec.nc,Wed Aug 16 11:42:34 2023,add_electricity,-,logs/test-tgi/add_electricity.log,data/bundle/hydro_capacities.csv;data/costs_2030.csv;data/geth2015_hydro_capacities.csv;data/nuclear_p_max_pu.csv;resources/load.csv;resources/networks/base.nc;resources/nuts3_shapes.geojson;resources/powerplants.csv;resources/profile_hydro.nc;resources/profile_offwind-ac.nc;resources/profile_offwind-dc.nc;resources/profile_onwind.nc;resources/profile_solar.nc;resources/regions_onshore.geojson,-,ok,update pending
resources/profile_solar.nc,Sat Aug  5 10:47:35 2023,build_renewable_profiles,-,logs/test-tgi/build_renewable_profile_solar.log,cutouts/europe-2013-sarah.nc;data/bundle/corine/g250_clc06_V18_5.tif;resources/country_shapes.geojson;resources/natura.tiff;resources/networks/base.nc;resources/offshore_shapes.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/networks/base.nc,Sat Aug  5 10:27:37 2023,base_network,-,logs/test-tgi/base_network.log,data/entsoegridkit/buses.csv;data/entsoegridkit/converters.csv;data/entsoegridkit/lines.csv;data/entsoegridkit/links.csv;data/entsoegridkit/transformers.csv;data/links_p_nom.csv;data/links_tyndp.csv;data/parameter_corrections.yaml;resources/country_shapes.geojson;resources/europe_shape.geojson;resources/offshore_shapes.geojson,-,ok,update pending
resources/country_shapes.geojson,Sat Aug  5 10:27:30 2023,build_shapes,-,logs/test-tgi/build_shapes.log,data/bundle/NUTS_2013_60M_SH/data/NUTS_RG_60M_2013.shp;data/bundle/ch_cantons.csv;data/bundle/eez/World_EEZ_v8_2014.shp;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3gdp.tsv.gz;data/bundle/nama_10r_3popgdp.tsv.gz;data/bundle/naturalearth/ne_10m_admin_0_countries.shp,-,ok,update pending
resources/offshore_shapes.geojson,Sat Aug  5 10:27:30 2023,build_shapes,-,logs/test-tgi/build_shapes.log,data/bundle/NUTS_2013_60M_SH/data/NUTS_RG_60M_2013.shp;data/bundle/ch_cantons.csv;data/bundle/eez/World_EEZ_v8_2014.shp;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3gdp.tsv.gz;data/bundle/nama_10r_3popgdp.tsv.gz;data/bundle/naturalearth/ne_10m_admin_0_countries.shp,-,ok,update pending
resources/europe_shape.geojson,Sat Aug  5 10:27:30 2023,build_shapes,-,logs/test-tgi/build_shapes.log,data/bundle/NUTS_2013_60M_SH/data/NUTS_RG_60M_2013.shp;data/bundle/ch_cantons.csv;data/bundle/eez/World_EEZ_v8_2014.shp;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3gdp.tsv.gz;data/bundle/nama_10r_3popgdp.tsv.gz;data/bundle/naturalearth/ne_10m_admin_0_countries.shp,-,ok,update pending
resources/nuts3_shapes.geojson,Sat Aug  5 10:27:30 2023,build_shapes,-,logs/test-tgi/build_shapes.log,data/bundle/NUTS_2013_60M_SH/data/NUTS_RG_60M_2013.shp;data/bundle/ch_cantons.csv;data/bundle/eez/World_EEZ_v8_2014.shp;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3gdp.tsv.gz;data/bundle/nama_10r_3popgdp.tsv.gz;data/bundle/naturalearth/ne_10m_admin_0_countries.shp,-,ok,update pending
resources/regions_onshore.geojson,Sat Aug  5 10:27:59 2023,build_bus_regions,-,logs/test-tgi/build_bus_regions.log,resources/country_shapes.geojson;resources/networks/base.nc;resources/offshore_shapes.geojson,-,ok,update pending
resources/regions_offshore.geojson,Sat Aug  5 10:27:59 2023,build_bus_regions,-,logs/test-tgi/build_bus_regions.log,resources/country_shapes.geojson;resources/networks/base.nc;resources/offshore_shapes.geojson,-,ok,update pending
resources/profile_onwind.nc,Sat Aug  5 10:59:37 2023,build_renewable_profiles,-,logs/test-tgi/build_renewable_profile_onwind.log,cutouts/europe-2013-era5.nc;data/bundle/corine/g250_clc06_V18_5.tif;resources/country_shapes.geojson;resources/natura.tiff;resources/networks/base.nc;resources/offshore_shapes.geojson;resources/regions_onshore.geojson,-,ok,update pending
resources/profile_offwind-ac.nc,Sat Aug  5 11:03:04 2023,build_renewable_profiles,-,logs/test-tgi/build_renewable_profile_offwind-ac.log,cutouts/europe-2013-era5.nc;data/bundle/GEBCO_2014_2D.nc;data/bundle/corine/g250_clc06_V18_5.tif;resources/country_shapes.geojson;resources/natura.tiff;resources/networks/base.nc;resources/offshore_shapes.geojson;resources/regions_offshore.geojson;resources/shipdensity_raster.nc,-,ok,update pending
resources/shipdensity_raster.nc,Sat Aug  5 10:27:54 2023,build_ship_raster,-,logs/test-tgi/build_ship_raster.log,cutouts/europe-2013-era5.nc;cutouts/europe-2013-era5.nc;cutouts/europe-2013-era5.nc;cutouts/europe-2013-era5.nc;cutouts/europe-2013-sarah.nc;data/shipdensity_global.zip,-,ok,update pending
data/shipdensity_global.zip,Fri Jun 30 16:26:07 2023,retrieve_ship_raster,-,-,-,-,ok,no update
resources/profile_offwind-dc.nc,Sat Aug  5 10:31:52 2023,build_renewable_profiles,-,logs/test-tgi/build_renewable_profile_offwind-dc.log,cutouts/europe-2013-era5.nc;data/bundle/GEBCO_2014_2D.nc;data/bundle/corine/g250_clc06_V18_5.tif;resources/country_shapes.geojson;resources/natura.tiff;resources/networks/base.nc;resources/offshore_shapes.geojson;resources/regions_offshore.geojson;resources/shipdensity_raster.nc,-,ok,update pending
resources/profile_hydro.nc,Wed Aug 16 11:41:48 2023,build_hydro_profile,-,logs/test-tgi/build_hydro_profile.log,cutouts/europe-2013-era5.nc;data/eia_hydro_annual_generation.csv;resources/country_shapes.geojson,-,ok,update pending
resources/powerplants.csv,Sat Aug  5 10:28:11 2023,build_powerplants,-,logs/test-tgi/build_powerplants.log,data/custom_powerplants.csv;resources/networks/base.nc,-,ok,update pending
resources/load.csv,Wed Aug 16 11:38:58 2023,build_load_data,-,logs/test-tgi/build_load_data.log,data/load_raw.csv,-,ok,update pending
data/load_raw.csv,Fri Jun 30 16:20:42 2023,retrieve_load_data,-,-,-,-,ok,no update
