snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Coal,Oil,Methanol,Decentralized heat,Electricity,Centralized heat,Methane,Centralized heat,Ammonia,Electricity,Electricity,Electricity,Hydrogen,CO2 emissions,Methane,Decentralized heat,Electricity,Centralized heat,Electricity,Centralized heat,Centralized heat,Oil,Hydrogen,Decentralized heat,CO2 emissions,Decentralized heat,CO2 emissions,Electricity,Electricity,Ammonia,Centralized heat,Methanol,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Imports,Imports,Methanol production,Heat Pump,Nuclear,Waste Heat,Imports,Heat Pump,Haber-Bosch,Offwind,Onwind,Hydroelectricity,Electrolysis,Transport emissions,Storage,Biomass boiler,Biomass CHP,Biomass CHP,Solar,Storage,Solar thermal,Storage,Storage,Gas Boiler,Decentral heat production emissions,Resistive heater,Power supply emissions,Gas,Battery,Storage,Gas Boiler,Storage,Resistive heater,Storage,Oil Boiler
2035-03-23 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748861462069,19.323502097157423,61.02155084512563,15.792527275063348,7.235618168745717,20.93205390842267,47.326257783114194,396.9407706065672,52.29914877955844,111.72744463451144,56.17032233098556,14.320712256116634,530.5233599346725,9.909580088051102,6.9739574410074106,220.96222915016205,85.69810213208932,32.052521322564516,12.866040076368494,88.09927589642297,135.04719313011634,28.49602970012912,21.2567118814359,65.02969879616373,235.73502861775438,0.1424880017202181,11.106193172010222,203.92752505779265,12.983912155992057,412.4720319291359,105.54342871299957,75.29315365686111,5.653513280302782e-06,1.0307507280273981e-05,0.0001382010996534526,,45.293006391530895,0.0,4.474482353093826,0.0025205373937102,47.540275270183386
2035-03-23 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748838290188,19.323502355638976,61.021551083842745,15.792527336892642,7.235469080512227,20.931484500634195,47.04859958563794,397.0782151112037,52.4794166910943,110.68251436130524,102.86253682753295,14.120502134240594,531.6768426958498,9.849038751083848,6.761964206578919,222.75664885275518,87.62329037346767,41.35187182999846,12.759302636646405,74.96692017934654,166.05626502881194,29.68699167526347,29.073108706762692,88.89349855415156,60.52744196452302,2.586320455686331,2.216506468584963,184.1350242714882,7.962716824767235,446.2062983826047,119.71139742302023,61.10565265430107,0.2789800888890289,0.9017479035740635,1.109771515738653,0.0,41.477871792839395,0.0,0.4130116891458824,0.475487920722086,75.82163103703357
2035-03-23 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748850808438,19.32350221412706,61.02154146305679,15.792524849265954,7.199366371632522,20.793605849220302,47.54619290622576,397.1514814168014,52.77482502667435,106.46327144142842,102.86253706029183,14.368200168881925,531.8130890762019,9.561983810638772,6.997402713140886,224.3865496182464,94.85770277259752,56.258300900236726,12.75930050466409,45.05596912625111,191.7656925254986,29.719059484543976,30.06688990892643,91.93386837306782,,0.8013141161146677,,82.17119994115829,,452.6029825624864,125.21303199523994,52.36306222943978,3.6456060498911067,11.783772579280395,5.845295433364582,0.0,44.07445354104697,0.0,0.1682583216180604,0.1182856443105705,88.8259090179852
2035-03-23 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547488588407816,19.323502123585236,61.01300679454046,15.790309595812635,7.131982997378004,20.537202301116945,47.34302552077877,396.88446897450666,52.8356859672935,103.2562187014701,102.86253715386275,14.262446770409518,528.5355845336453,9.336910472225624,6.876703314939921,222.03680620062664,88.78792357988681,62.1639904827277,12.759298852603203,24.325523395238505,73.17547638280703,28.943441163785728,26.426999187548105,80.81277689148229,,2.0802225590490656e-05,,,,366.4306042396835,78.0123765477166,17.80424206350658,2.1784876354851934,7.0415714334942585,4.062877467324834,0.0,16.850074822647798,0.0,0.6451709177658695,0.0525244989095866,2.6912214648796926
2035-03-24 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748862473419,19.323502083003167,60.983071456201635,15.782539425155877,7.105476898930171,20.439270197544577,47.23340238283855,397.15529882816605,52.83568876815768,101.29431501069497,102.86253721507694,13.196960750708753,527.7849123732798,9.158918071782711,5.726809075478416,215.52760342396277,90.62473593606695,61.099614348754756,12.7592984491557,10.540283338598034,70.6457460228321,29.3267888208544,26.70238036055326,81.65370480277014,,1.7036985392303488e-05,,,,370.9178855336618,77.86342069507221,19.11779003208273,0.9823961361749025,3.1754170953061593,2.189886133794451,0.0,15.13807658010032,0.0,0.6451641313610208,0.0525238159921826,0.1370848336247916
2035-03-24 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748867811614,19.323502024109075,60.97316062640724,15.779966915413231,7.111254152132583,20.462425718937457,47.33094482994219,398.0126377284995,52.83565776556645,100.02067553685657,102.86253719200207,14.158729480041742,530.085020079154,9.029447557143207,6.76477227287447,215.3888448568129,91.55148121715094,58.28026387767654,12.759299451317808,10.352210251435627,200.6763198978051,29.84745077064095,30.87383587442468,94.40344030004428,0.3064371943028412,3.8751806161879374,,,,472.15496499855544,129.96990075878296,69.58626676157513,0.5495625640037932,1.7763591017396478,2.7141627040258647,,47.58343410208406,0.0,0.6577428658433063,17.56567503443566,89.30843975016603
2035-03-24 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547488920359164,19.323501754699283,60.995803242380205,15.785844150235468,7.158626781197014,20.64085235680743,47.053410074296934,398.4977125335362,52.72149760884707,101.24313365612717,102.86253069199475,14.341133099396133,529.5447618114544,9.117319670339738,6.973942500642899,217.1978698764999,90.0628734551934,35.167130711800525,12.7593217500081,30.13117302402489,191.4374270122778,29.440569962322467,28.864438006842953,88.26299340055898,109.40504056087312,5.534354245910442,0.728918859202629,65.9487610578537,,461.0465698890284,139.493525267168,82.32994474445186,6.4129790770278586e-06,1.2335261441011804e-05,0.00012482611305899058,,51.809903894162446,0.0,3.8730163051487816,2.951640885934608,127.68281645584467
2035-03-24 09:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547488999892025,19.32350166628902,61.02155096223502,15.792527305370893,7.235600633260163,20.931986925930545,47.421866674753915,398.6218919707681,52.47707875337725,106.96385221347902,72.49208552865329,14.415886892786494,528.1219524009077,9.577164587329936,6.973959511486611,218.40910552138627,87.08411409791832,36.411980451501606,13.243717293715052,72.77710403742887,143.64765405743665,24.34118464636277,22.59488579187867,69.11836683363863,256.72146847441513,3.0411217888015307,7.755106563812921,164.3105561094284,6.869802256081555,418.1367924019383,112.33999702731883,99.5423446840698,5.524647656787658e-06,9.70037796702715e-06,0.00010396036927273804,,45.72853275554593,0.0,5.998016846276838,2.1484475601924258e-05,67.03455340726293
2035-03-24 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547488916881264,19.323501759112347,61.02155094365233,15.792527300561702,7.235744585344003,20.932536694776697,47.27084670485655,398.6164945849117,52.37766577821768,111.0590963886063,76.3320249516006,14.405939086793087,527.2911174551464,9.939081495481064,6.973952819983651,224.4915517966462,102.42250713746093,36.43809838192027,13.243716963431972,86.20865004905953,133.6244444333145,24.28367207393871,21.489033939606415,65.73965603051212,222.87505825866768,1.271798585621403,8.86762393399972,195.53480851840973,11.96228155310436,409.34910725058495,104.78557440488805,98.66664279341131,5.596330345221506e-06,9.906057808923989e-06,0.00011250512915124224,,43.7652800570499,0.0,6.141101741159711,1.7570805327858863e-05,48.11327548073234
2035-03-24 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748866679228,19.323502038242882,61.02155098418132,15.792527311049952,7.2357547653690935,20.932575568875375,47.02253232855375,398.6638032110553,52.44452484918541,110.21910358957409,101.83653947665687,14.185443785557046,528.3356320040274,9.944013922556456,6.728774379568858,235.32531354814978,110.96484156713412,38.40237534236339,13.243712555743386,85.87458872375979,169.89690109912965,29.431793095625977,29.031942159053433,88.77117446715472,61.81500422123669,1.5823036892821238,1.867587287868867,228.1079959135056,11.627289714679554,444.3741348765774,120.67152696679486,74.11111576930489,0.22359086784089802,0.7227119514892731,0.0416661900949216,,44.231055754609706,0.0,0.1535940484620626,1.7164708733422105,78.641131137291
