config,cost_segment,capital,marginal
2045_de,Storage,3586274727.7171865,0.0
2050_de,Distribution,9833516710.06288,0.0
2050_de,Energy production,76745818802.56558,36971770967.92667
2050_de,Storage,3914121491.130136,0.0
2023_gb,Distribution,2475037332.905676,0.0
2023_gb,Energy production,29447596935.942955,15751968364.682749
2023_gb,Storage,571812700.8821886,0.0
2030_gb,Distribution,4510573631.087612,0.0
2030_gb,Energy production,37802354653.05582,43114311749.890526
2030_gb,Storage,1182405447.7251437,0.0
2035_gb,Distribution,4609812311.845487,0.0
2035_gb,Energy production,49665538985.914696,47869493841.41939
2035_gb,Storage,1201033516.5793986,0.0
2040_gb,Distribution,5712626052.136228,0.0
2040_gb,Energy production,67122652877.41902,42714186766.92195
2040_gb,Storage,1267171170.8755627,0.0
2045_gb,Distribution,6121742779.500566,0.0
2045_gb,Energy production,80716057711.40956,35201584216.1071
2045_gb,Storage,1445575817.8047242,0.0
2050_gb,Distribution,6399232483.192985,0.0
2050_gb,Energy production,107710085359.88414,21058854960.719482
2050_gb,Storage,2104449531.662582,0.0
2023_nl,Distribution,1052360067.1790537,0.0
2023_nl,Energy production,9555599085.21165,7848360174.613577
2023_nl,Storage,471313421.61709523,0.0
2030_nl,Distribution,1746155363.706885,0.0
2030_nl,Energy production,14607518100.26867,23317041429.45079
2030_nl,Storage,920322464.7575936,0.0
2035_nl,Distribution,1922144622.16453,0.0
2035_nl,Energy production,18172030301.248074,23873877399.471313
2035_nl,Storage,921630364.4244564,0.0
2040_nl,Distribution,2199159015.6331124,0.0
2040_nl,Energy production,24456621462.014202,22093237828.24801
2040_nl,Storage,933946125.4837205,0.0
2045_nl,Distribution,2483396230.4200315,0.0
2045_nl,Energy production,39602160365.756226,19218058439.776062
2045_nl,Storage,1127684294.2138634,0.0
2050_nl,Distribution,2643175822.594157,0.0
2050_nl,Energy production,61392755172.23498,18423939340.880276
2050_nl,Storage,1376255807.6560695,0.0
2023_lu,Distribution,44548525.32554416,0.0
2023_lu,Energy production,184552506.96854737,17409030.374184117
2023_lu,Storage,458659004.8052628,0.0
2030_lu,Distribution,85719458.7320917,0.0
2030_lu,Energy production,229340876.2621786,719197573.7043276
2030_lu,Storage,533559900.13294375,0.0
2035_lu,Distribution,94670561.08077177,0.0
2035_lu,Energy production,239598588.59849724,744749684.5481509
2035_lu,Storage,533540491.34451777,0.0
2040_lu,Distribution,99054762.72430152,0.0
2040_lu,Energy production,299963170.2085535,696529370.4327515
2040_lu,Storage,533587808.3456861,0.0
2045_lu,Distribution,118530714.83498062,0.0
2045_lu,Energy production,380367583.378264,560105431.5715623
2045_lu,Storage,533671446.7477748,0.0
2050_lu,Distribution,128327877.82073285,0.0
2050_lu,Energy production,409547107.9009893,512514805.517288
2050_lu,Storage,533702855.6996583,0.0
