snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Electricity,Centralized heat,Methane,Electricity,Ammonia,Methane,CO2 captured,Centralized heat,Electricity,Decentralized heat,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Decentralized heat,Centralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Fischer-Tropsch,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Onwind,Waste Heat,Imports,Solar,Haber-Bosch,Storage,Central heat production CC,Gas CHP CC,Gas CHP CC,Resistive heater,Gas Boiler,Decentral heat production emissions,Resistive heater,Battery,Storage,Storage,Gas Boiler
2050-07-18 15:00:00,2.374508766511247,0.325259039312778,1.0050311331873287,0.7804068092609058,0.7528128379669216,0.2078608701208696,1.3051687421080471,0.527295923273142,7.97103943523419,0.3683569941702413,0.2392269222462104,1.427323553768853,0.19176600316794684,1.5646126071373974,6.6384070745776675,1.678071286279001e-07,,5.3421105781153977e-08,6.820192709016282e-08,6.11185059926911e-08,1.424146504768711e-07,1.4724891291189708e-07,7.439291364611857e-08,7.53288917501071e-08,1.9429849368652216e-06,2.2177521709487153e-07,7.549279094566196e-07,6.97060328901754e-08
2050-07-18 18:00:00,2.374508766511247,0.325259039312778,1.0050311331771067,0.78040680928984,0.7528129671936431,0.2078601276081922,1.3051694528773026,0.2238535727065671,8.124259333446904,0.3683578760682347,0.2392249605915088,1.8261386401750892,0.19176561812382603,1.566007893895068,0.3368432012447475,1.757949359735528e-07,,5.594187311993992e-08,7.248321179455457e-08,6.495717614059441e-08,1.279534631133861e-07,1.490056919242887e-07,7.510361173193614e-08,7.162716296300624e-08,0.37397881986615705,5.738853238677195e-07,8.953051035985266e-07,7.131730848235986e-08
2050-07-18 21:00:00,2.374508766511247,0.325259039312778,1.0050311331727615,0.780406809303704,0.7528130322680116,0.2078603011390972,1.305169460205415,0.0798489922498563,8.099817104962252,0.3683543967308662,0.2392252342578336,1.9891741154379363,0.1917657078756479,1.5681907664982977,,1.8948817047643397e-07,,5.680468552633505e-08,7.36790657487109e-08,6.602934673730294e-08,1.28833256517008e-07,1.4951843611512818e-07,7.518982096258919e-08,7.397921532856538e-08,0.3744364416707914,3.90145436387482e-06,8.719169021580989e-07,7.236131218882142e-08
2050-07-19 00:00:00,2.374508766511247,0.325259039312778,1.0050311331725028,0.7804068093131247,0.7528130501453095,0.2078603468143963,1.3051694408138244,0.062860019884188,7.432184066945053,6.273959911256759e-06,0.2392253067692737,1.551500620668324,0.19176573253877138,1.5713679894426875,,1.939248986909033e-07,,5.7057558580906754e-08,7.40165030457867e-08,6.633196061390947e-08,1.2970923903055672e-07,1.5002047845550224e-07,7.537250942841493e-08,7.471348867782215e-08,0.004178053580759779,0.3683519878106701,8.785536786633107e-07,7.268358899860537e-08
2050-07-19 03:00:00,2.374508766511247,0.325259039312778,1.0050311331773385,0.7804068093018374,0.7528130595261103,0.2078604552804173,1.3051692068245286,0.3652150643649089,6.891186608515113,3.859060192283199e-06,0.2392257007900115,1.3415194279186196,0.19176581598804698,1.575589508052,,1.9823861823340892e-07,,5.703371962754978e-08,7.390861193166863e-08,6.623513489572247e-08,1.321526717939506e-07,1.5060818201193037e-07,7.564679028529072e-08,7.59737917917866e-08,1.4503460242282729e-05,0.3683543149315567,1.0206698218294557e-06,7.28524680077868e-08
2050-07-19 06:00:00,2.374508766511247,0.325259039312778,1.0050311331830857,0.7804068092881441,0.7528129674430486,0.2078610025279174,1.3051692293878612,0.459663333515574,5.577492152426786,0.3683571396913912,0.239227023609517,0.8475647968443716,0.1917660824793164,1.5799833595545325,6.599542564985814,1.9167858362707133e-07,0.0,5.441479428961521e-08,6.951280856859004e-08,6.229367653794028e-08,1.4748907872942425e-07,1.4886673088468616e-07,7.519487670087801e-08,8.082415222522748e-08,2.3161326503562347e-06,6.319477301467793e-07,9.261264143348302e-07,7.131299948977963e-08
2050-07-19 09:00:00,2.374508766511247,0.325259039312778,1.0050311331906652,0.7804068092554863,0.7528126269711597,0.2078615109513786,1.3051674370649258,0.5730387541920001,5.448384008566799,1.716627847920381,0.2392275349970616,0.966387817538302,0.1917661417972249,1.5840864048094674,13.787479067945835,1.7367254134582365e-07,2.687196461231506,4.861924641503598e-08,5.979165492402991e-08,5.3580573196671145e-08,1.920727373870991e-07,1.4362538860276206e-07,7.232373258815419e-08,9.768521320516773e-08,7.799381698519652e-07,1.4918706850394194e-07,8.228521212871664e-07,6.789346460177849e-08
2050-07-19 12:00:00,2.374508766511247,0.325259039312778,1.0050311331941995,0.7804068092364417,0.7528126403383827,0.2078616815521309,6.092855102456819,0.6648129830617651,7.257587918678956,1.8059079659431003,0.2392276332474622,1.4581000588348243,0.1917662067395688,1.586738453326482,12.868730876917109,2.058284260811424e-07,3.2464238540332877,4.641188656332655e-08,5.5613631756135674e-08,4.983545559986104e-08,2.4795228080897873e-07,1.3981549403050052e-07,7.066830083515848e-08,1.473731608766042e-07,2.757806665238995e-07,1.4906327925793193e-07,6.962745478288609e-07,6.798510453534662e-08
2050-07-19 15:00:00,2.374508766511247,0.325259039312778,1.0050311331905992,0.7804068092492397,0.7528128221676427,0.2078609885347027,0.3161497734554627,0.536920966990068,8.02130365627774,0.3683568484526542,0.2392270716866152,1.9650092949583975,0.19176604044791815,1.5876852122427454,6.234763582435196,1.6902227055433287e-07,0.0,5.291099222256327e-08,6.73047777362964e-08,6.031416632880583e-08,1.460404660179399e-07,1.4661776936637717e-07,7.407819072791654e-08,7.766355578418981e-08,2.2106754182746956e-06,2.398823022676545e-07,0.9890188642108078,6.950435155775259e-08
2050-07-19 18:00:00,2.374508766511247,0.325259039312778,1.0050311331765447,0.7804068092885638,0.7528129604995004,0.2078604225107676,0.4906380409628663,0.2526944691391683,8.1257712801619,0.3683574862127344,0.2392259756169305,2.793839719220401,0.19176582057285466,1.5881956657268854,0.3294857883281223,1.777646075865546e-07,,5.5469897427604576e-08,7.160004338117326e-08,6.416511065378845e-08,1.2987974173673693e-07,1.4812706378125118e-07,7.472895602977986e-08,7.33841341154098e-08,7.826347367032964e-06,7.550477711348665e-07,0.8145319587983573,7.118535935006534e-08
2050-07-19 21:00:00,2.374508766511247,0.325259039312778,1.0050311331716562,0.7804068093064975,0.7528130201802298,0.2078605494975127,0.49065665520027363,0.1116001489516823,7.863177587313335,1.0813026394165451e-05,0.2392261147344913,2.656454098542122,0.19176588051400068,1.5891682883504878,,1.896479232938806e-07,,5.6247798961785196e-08,7.26724764490113e-08,6.512703339063828e-08,1.310208077237203e-07,1.4911364661301297e-07,7.493559688508546e-08,7.536556085024424e-08,4.26226691639536e-06,0.36834731564623,0.8145133864536996,7.21234939812387e-08
2050-07-20 00:00:00,2.374508766511247,0.325259039312778,1.0050311331699877,0.7804068093184611,0.7528130318114675,0.2078605658153667,1.3051674761569094,0.0667841224359036,5.474483045872511,2.670491416486172e-06,0.2392261234518031,1.341098873106347,0.19176588726974667,1.5910486224740603,,1.910300066806905e-07,,5.642552689212581e-08,7.293307303584546e-08,6.536129073658942e-08,1.30986538573518e-07,1.4986592726613757e-07,7.517953934187752e-08,7.53174431986746e-08,3.451336213590354e-06,0.3683554445776771,2.6528315760211534e-06,7.232489311065607e-08
2050-07-20 03:00:00,2.374508766511247,0.325259039312778,1.005031133173566,0.780406809307991,0.752813040890858,0.2078602532415884,1.3051683837791508,0.1598901023929548,4.909407928544379,1.587402640488396e-06,0.239224887431935,1.1203283976440663,0.19176564686094805,1.5939098063742447,0.0868464855352266,1.8947853790245525e-07,,5.6988253437416455e-08,7.399217754970311e-08,6.631086930129484e-08,1.2835568479588185e-07,1.5108024707010624e-07,7.578522150438284e-08,7.314894127768253e-08,0.0008475432615739476,0.3683567631327518,1.742079604822562e-06,7.249989029664308e-08
2050-07-20 06:00:00,2.374508766511247,0.325259039312778,1.0050311331792885,0.7804068092899124,0.7528130034191581,0.207861029404223,1.305170148769891,0.400315765717692,4.88577094229456,0.3683571545454198,0.2392270393763713,0.8621624147341788,0.19176609850572823,1.5973037286208265,3.617544259623646,1.9500521921069338e-07,0.0,5.4826513619249316e-08,7.018490811610745e-08,6.289781461547006e-08,1.3612573452890177e-07,1.48922205841e-07,7.518103598060516e-08,8.002431092598129e-08,9.433641264440287e-07,7.855064377919102e-07,6.877413666483e-07,7.183980134218075e-08
2050-07-20 09:00:00,2.374508766511247,0.325259039312778,1.0050311331863755,0.7804068092582814,0.7528130004881209,0.2078607928267524,1.3051691406241435,0.502738248532632,4.992165433496501,0.3683567622852298,0.2392266378157679,0.6681378416215572,0.19176599539600434,1.6002738919889117,5.398502909335172,1.8817929895418042e-07,0.0,5.54696909027835e-08,7.142216717816987e-08,6.40063397044311e-08,1.333138915792627e-07,1.494872720286879e-07,7.552608908601419e-08,7.587572818487831e-08,1.4828790408707168e-06,5.88308859842399e-07,7.305708832521242e-07,7.177080172934887e-08
2050-07-20 12:00:00,2.374508766511247,0.325259039312778,1.0050311331873139,0.7804068092511365,0.7528129589839744,0.2078608180925609,1.3051679027546927,0.469479511450344,4.633097379933109,0.3683558265289758,0.2392267324387407,0.527753073198115,0.19176600027230714,1.6031550993630124,8.156215036592098,1.809769385128964e-07,0.0,5.482583141425941e-08,7.041408564093302e-08,6.310253499792293e-08,1.367005870592222e-07,1.4885525756763248e-07,7.524541355711695e-08,7.531336727796032e-08,1.2589740865636447e-06,3.2084435227671996e-07,6.730744893123262e-07,7.113286868364944e-08
2050-07-20 15:00:00,2.374508766511247,0.325259039312778,1.005031133182707,0.7804068092716939,0.7528129470495831,0.2078608075553345,1.3051693516818244,0.374964781885404,6.136516391414399,0.3683567232081119,0.2392267400243836,0.508595601466895,0.19176599466943242,1.6058121740831668,5.737701567294978,1.7806982641040658e-07,,5.475973175163847e-08,7.033120053887174e-08,6.302853593852314e-08,1.3417390325733926e-07,1.483615319409887e-07,7.498018999272269e-08,7.483637844988764e-08,1.2309910590913322e-06,2.731803763995307e-07,6.160407704103368e-07,7.098734658728903e-08
2050-07-20 18:00:00,2.374508766511247,0.325259039312778,1.0050311331729616,0.7804068093028096,0.7528130313663107,0.2078602245436666,1.305169854046571,0.1900011273150729,7.248418063056127,0.3683577626657914,0.2392248194037079,0.6181098213619012,0.1917656284286984,1.6080222868986889,0.3288809242835441,1.8674236145807934e-07,,5.681452244115344e-08,7.37869777389743e-08,6.612709737936676e-08,1.2488590437536616e-07,1.497487169333273e-07,7.550755007779174e-08,7.226292337152596e-08,0.24065812183635038,6.394860081870605e-07,7.052431350969146e-07,7.235617020107167e-08
