config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_be,Energy production,total,11162866873.486517,23855488154.709152,23855488154.709152,22625731884.447823,21246616030.217453,21111716920.121586
sto_be,Storage,capital,237109918.2919007,493522040.3104925,493522040.3104925,497629441.68208575,536558876.393461,536600692.37144196
sto_be,Storage,total,237109918.2919007,493522040.3104925,493522040.3104925,497629441.68208575,536558876.393461,536600692.37144196
distr_be,Distribution,capital,608214575.0188338,1282882550.5759196,1282882550.5759196,1420943251.3688855,1740320579.0803242,1837265276.4264996
distr_be,Distribution,total,608214575.0188338,1282882550.5759196,1282882550.5759196,1420943251.3688855,1740320579.0803242,1837265276.4264996
net_imp_be,Net_Imports,H2,0,21993632.039519075,21993632.039519075,-25179620.928130515,-3459571.5743492544,1095004388.9071274
net_imp_be,Net_Imports,elec,371033298.4967003,2278760099.025143,2278760099.025143,3419344931.5237474,4800552065.0442295,4572543815.509977
net_imp_be,Net_Imports,gas,-57607714.23764144,-157287740.53867298,-157287740.53867298,-109400876.46368223,44412307.25669949,104669073.6006138
net_imp_be,Net_Imports,total,313425584.25905883,2143465990.5259895,2143465990.5259895,3284764434.1319346,4841504800.72658,5772217278.017718
prod_fl,Energy production,capital,3286284148.086734,5927017293.681165,5927017293.681165,5835782031.240181,6572510506.869655,6926216441.979851
prod_fl,Energy production,marginal,4316982963.2934,11731899223.85982,11731899223.85982,11070119833.376354,9380447472.849087,8440415139.520525
prod_fl,Energy production,total,7603267111.380134,17658916517.540985,17658916517.540985,16905901864.616535,15952957979.718742,15366631581.500376
sto_fl,Storage,capital,2228971.681691259,171852374.8734795,171852374.8734795,174251545.2974775,199176798.25252298,199252518.31892213
sto_fl,Storage,total,2228971.681691259,171852374.8734795,171852374.8734795,174251545.2974775,199176798.25252298,199252518.31892213
distr_fl,Distribution,capital,366959689.82068187,770340105.7853168,770340105.7853168,855006495.516042,1039089896.1584632,1094475156.2099319
distr_fl,Distribution,total,366959689.82068187,770340105.7853168,770340105.7853168,855006495.516042,1039089896.1584632,1094475156.2099319
net_imp_fl,Net_Imports,H2,0,-51204422.555463694,-51204422.555463694,-82895000.2475585,-32577403.820413813,960916556.1002393
net_imp_fl,Net_Imports,elec,595353400.6658992,-306110.6501431465,-306110.6501431465,611768333.9432306,1264242626.4958954,1517678064.514453
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-788666628.4938098,-788666628.4938098,-677723712.8107032,-466599999.5834816,-261417474.75941736
net_imp_fl,Net_Imports,total,-413946989.9498975,-840177161.6994166,-840177161.6994166,-148850379.115031,765065223.092,2217177145.8552747
prod_fr,Energy production,capital,57841793917.94511,48274633935.52688,48274633935.52688,58198462112.06225,74146045589.50818,86441147790.79077
prod_fr,Energy production,marginal,13036926655.212057,42903895073.93662,42903895073.93662,36994552598.94536,25886156786.62807,21279770810.040745
prod_fr,Energy production,total,70878720573.15717,91178529009.4635,91178529009.4635,95193014711.0076,100032202376.13625,107720918600.83151
sto_fr,Storage,capital,2834271994.691971,3970428250.5364656,3970428250.5364656,3993679132.2168274,4161180912.0217857,4586686461.805235
sto_fr,Storage,total,2834271994.691971,3970428250.5364656,3970428250.5364656,3993679132.2168274,4161180912.0217857,4586686461.805235
distr_fr,Distribution,capital,3337457394.6765785,5639331294.240376,5639331294.240376,6340382536.338997,7293538869.556013,7728284000.848543
distr_fr,Distribution,total,3337457394.6765785,5639331294.240376,5639331294.240376,6340382536.338997,7293538869.556013,7728284000.848543
net_imp_fr,Net_Imports,H2,0,-59489834.81159687,-59489834.81159687,-16290105.954372019,-2080487324.5272756,-1263359336.5850477
net_imp_fr,Net_Imports,elec,-6307676961.545257,-3979247804.4193664,-3979247804.4193664,-5102339994.184145,-3906961052.2725086,-3276184859.123431
net_imp_fr,Net_Imports,gas,-322795514.8513141,-571830501.1033912,-571830501.1033912,-539904911.2106012,-304557528.9962969,-259154780.92622125
net_imp_fr,Net_Imports,total,-6630472476.396571,-4610568140.334354,-4610568140.334354,-5658535011.349118,-6292005905.796081,-4798698976.6347
prod_de,Energy production,capital,43046386448.806786,62074465802.69277,62074465802.69277,61608811639.995674,73426262964.19556,79959507206.5825
prod_de,Energy production,marginal,29341878384.49291,67045601350.274475,67045601350.274475,61721654969.982925,45701893277.33246,38280859234.23312
prod_de,Energy production,total,72388264833.2997,129120067152.96725,129120067152.96725,123330466609.9786,119128156241.52802,118240366440.81563
sto_de,Storage,capital,1883801574.676827,3619301685.7139816,3619301685.7139816,3632307794.722735,3888076331.023225,3920764681.190045
sto_de,Storage,total,1883801574.676827,3619301685.7139816,3619301685.7139816,3632307794.722735,3888076331.023225,3920764681.190045
distr_de,Distribution,capital,3622817850.951034,7080465011.124504,7080465011.124504,7861860862.727244,9277380388.090712,10037458653.370445
distr_de,Distribution,total,3622817850.951034,7080465011.124504,7080465011.124504,7861860862.727244,9277380388.090712,10037458653.370445
net_imp_de,Net_Imports,H2,0,-53874504.89459,-53874504.89459,-73613354.0985054,263771843.6878646,32827326.912393868
net_imp_de,Net_Imports,elec,1524575359.8821225,-459449689.19909096,-459449689.19909096,1150201239.7144222,2102611349.3442516,5038108418.084589
net_imp_de,Net_Imports,gas,-852606759.6138926,-497032925.68184596,-497032925.68184596,-331234739.9547966,-238440734.72353384,-130920908.2712023
net_imp_de,Net_Imports,total,671968600.26823,-1010357119.775527,-1010357119.775527,745353145.6611202,2127942458.3085825,4940014836.7257805
prod_gb,Energy production,capital,29447596528.622917,45385945391.85169,45385945391.85169,61083455081.16031,81499956797.65062,111388197443.2864
