imports_exports,countries,year,carriers,AL,AT,BA,BG,BX,CH,CZ,DE,DK,EE,ES,FI,FL,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,WL
imports,ES,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.010689299251188,0.0,0.0,0.0,0.0,0.0,0.0
imports,FI,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.693997629250952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2033487604612117,0.0,0.0,0.0
imports,FL,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861394887264292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.600694828547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185532904160102
imports,FR,2023,Electricity,0.0,0.0,0.0,0.0,0.0,38.87729384142433,0.0,30.19592337815621,0.0,0.0,14.867958837418858,0.0,0.0,0.0,12.1718811114244,0.0,0.0,0.0,0.0,13.689414004982774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.06722245971293
imports,GB,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8625843719233366,2.587024914890818,0.0,0.0,0.0,0.0,0.4531477137771938,0.0,0.0,0.0,0.0,0.0,0.0,4.406264928144038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,GR,2023,Electricity,2.095999352088712,0.0,0.0,2.851851016765027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08320363404107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,HR,2023,Electricity,0.0,0.0,7.176788166140535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730802781124985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999364588907135,0.0,0.0,0.0,0.0
imports,HU,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8947351340470544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.074969003676331,2.428727365257397,0.0,0.0,3.966043601683724,0.0
imports,IE,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864383540944604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,IT,2023,Electricity,0.0,0.5192164170032719,0.0,0.0,0.0,0.8451662315272956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.069255977739295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.674266082406525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.654055849883761,0.0,0.0
imports,LT,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.149021682416393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,LU,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9888976751395937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,LV,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499573508031522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,ME,2023,Electricity,1.6157138228455037,0.0,1.3264771384147878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797278447191077,0.0,0.0,0.0,0.0
imports,MK,2023,Electricity,0.0,0.0,0.0,1.045650186602371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7212101468790453,0.0,0.0,0.0,0.0
imports,NL,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.766456728689604,0.3393335116684123,0.0,0.0,0.0,0.6254702208374839,0.0,0.4004320773039765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,NO,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.955375323661595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.114138150259651,0.0,0.0,0.0,0.0,0.0,15.667157265293913,0.0,0.0,0.0
imports,PL,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.3028557151822678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869074361574292,0.0
imports,PT,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9665199728742796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,RO,2023,Electricity,0.0,0.0,0.0,0.3829096186459522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522085456374586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478597572483296,0.0,0.0,0.0,0.0
imports,RS,2023,Electricity,0.0,0.0,0.0,0.8820962442100707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1647307506959788,0.0,0.0,0.0,0.0,0.0,0.0,0.8792763902535765,0.0,0.0,0.0,0.0,5.178629962279476,0.0,0.0,0.0,0.0,0.0
imports,SE,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255996350870173,2.590277683325665,0.0,0.0,3.484262150458046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1319966036516895,0.0,0.0,0.0,0.0,0.0,0.993506919666176,5.255997498041946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,SI,2023,Electricity,0.0,0.3551309139809482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.847922801952386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,SK,2023,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,4.725829415767038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817143831133592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.469121665365696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,WL,2023,Electricity,0.0,0.0,0.0,0.0,5.8142788922378354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12635663664996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879046795944632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,AL,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873604633472301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.891811617802167,0.0,0.0,0.0,0.0,0.0,0.0,5.246259937464771,0.0,0.0,0.0,0.0
