snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Electricity,Electricity,Centralized heat,Ammonia,Methane,Methane,CO2 captured,Centralized heat,Electricity,Electricity,Decentralized heat,CO2 emissions,Decentralized heat,Centralized heat,Centralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Heat Pump,Transport emissions,Offwind,Heat Pump,Onwind,Solar,Waste Heat,Haber-Bosch,Imports,Storage,Central heat production CC,Gas CHP CC,Gas CHP CC,Battery,Gas Boiler,Decentral heat production emissions,Resistive heater,Resistive heater,Storage,Gas Boiler,Storage,Oil Boiler
2050-11-23 09:00:00,2.374508766511247,0.325259039312778,0.8425638512752813,0.6719082054109307,5.961328405696886,0.5306241797666879,4.415125131612351,1.623526061982946,0.7299804098529992,1.8263509065640497,1.2995659879074604,1.4025013860424131,5.617511279938675,0.0,0.23068215532707706,0.547566413204884,0.49256694633805,0.9467526633467367,0.8167536385002041,0.16501767458174257,0.7235801842805412,9.619911398359909e-08,5.5907316954582084e-08,1.88706287189088e-07,2.4784244932805233e-07,6.082745890810168e-08
2050-11-23 12:00:00,2.374508766511247,0.325259039312778,0.8425638512670977,0.671908205461676,6.101697567887632,0.5189076645387388,4.57668277897311,1.666057243182655,0.9121712542122188,1.8767143542674578,1.2995659202238623,1.4025014049370437,5.5515997821706735,0.0,0.16008029240203572,0.3799798856973127,0.3418133893305656,0.7741271907422487,0.6983532941139458,0.14109597284202133,0.4524340962400549,9.649515479499604e-08,5.652780135688238e-08,1.889284466120961e-07,2.1477532423084917e-07,6.110120582374261e-08
2050-11-23 15:00:00,2.374508766511247,0.325259039312778,0.8425638512750371,0.6719082054072144,6.031546718173331,0.441475616529894,5.141472228063527,1.6441730621123087,0.9441750309252024,0.0182026931721326,1.2995658946710087,1.4025013855488195,5.507084741540001,0.0,0.272856442231208,0.6476748517912202,0.5826201470807054,0.7161881214635782,0.8951078547074172,0.18084842672894252,0.8243064654677449,9.884607343942368e-08,5.74838099312188e-08,1.8859249927172177e-07,0.0052395512755249,6.436099235832895e-08
2050-11-23 18:00:00,2.374508766511247,0.325259039312778,0.8425638512764171,0.6719082054062386,5.8680635330431254,0.256882450919367,4.020756253171274,1.5930666188155025,0.8198198626189113,,1.2995682014334442,1.4025017622101,5.485422196651756,0.0,0.29998731362656894,0.7120749656738579,0.6405516907643347,1.3275816670027847e-06,0.926485402699134,0.18718797531063278,0.9831001105432222,1.0610749907924369e-07,6.51118799101964e-08,2.000715655921872e-07,0.006826130910773,6.580511439232736e-08
2050-11-23 21:00:00,2.374508766511247,0.325259039312778,0.8425638512777403,0.6719082054075527,5.611446647427397,0.1404507361232055,2.7669337428203526,1.5420356503867008,0.5218220450303492,,1.0326258766517187,1.1144164946066415,5.480250933300399,,2.811007753522554e-07,5.104820129895543e-07,4.578080608591677e-07,1.051387993084111e-06,2.30640207153021e-07,1.2489560422120927e-07,9.847399414206344e-08,8.888939028397541e-08,4.9512708615962234e-08,1.7081065818792046e-07,2.340190739668954e-07,4.5167809023601064e-08
2050-11-24 00:00:00,2.374508766511247,0.325259039312778,0.8425638512806594,0.6719082053932146,5.5256585448222,0.0593704251276063,5.095961025937871,1.5057567575574369,0.3688696052324177,,0.8612236307862525,0.9294357457882948,5.507633856001658,,2.6411596200941453e-07,4.718309986369465e-07,4.231184369074012e-07,9.256098283966327e-07,2.566776935320113e-07,1.317945276779523e-07,1.0923850391960948e-07,8.85467816062639e-08,4.9347536694314744e-08,1.699185720834179e-07,2.019696372609533e-07,4.6797173214472386e-08
2050-11-24 03:00:00,2.374508766511247,0.325259039312778,0.8425638512796106,0.6719082053972315,5.696412294141022,0.0600828569550038,6.747229019684325,1.5395887961537826,0.6416191791064461,,1.2995689635757763,1.4025020101285717,5.56791575826481,2.3208599169606896,0.3449126208050555,0.8187134368278921,0.7364790250134532,6.998053851512407e-07,0.9332073108363887,0.1885460799780363,1.0459935592537115,1.292673177297555e-07,9.862978731966949e-08,2.3706683638826598e-07,0.2219125116298813,6.337618482059352e-08
2050-11-24 06:00:00,2.374508766511247,0.325259039312778,0.8425638512763942,0.6719082054130676,5.875305682214446,0.1776081598976061,6.548253098595847,1.59569881455675,0.7032873649894232,0.2463079996144436,1.2995689621359308,1.4025020108807238,5.61424397853856,0.0,0.3337033085570441,0.7921060698484813,0.7125441940028784,6.887603977217816e-07,0.9632975135163848,0.1946255305849665,1.1056072858077448,1.2625710607816733e-07,9.98400469622118e-08,2.3621629787875353e-07,0.0160538912871453,6.459594658794024e-08
2050-11-24 09:00:00,2.374508766511247,0.325259039312778,0.8425638512703629,0.6719082054428368,6.100489977787167,0.4304468377061041,6.811532074612252,1.673264895340239,0.7346488089910385,3.0251940566216353,1.2995689901308536,1.4025020262092878,5.68000167946414,0.5737366957594059,0.13453640754961332,0.3193467415428482,0.2872704478877513,6.126488335886408e-07,0.5499433141007634,0.11111110867085473,0.4694352346805923,1.24633737262431e-07,1.0361034802397829e-07,2.3783054237414482e-07,3.0185490709164905e-07,6.08490465278179e-08
2050-11-24 12:00:00,2.374508766511247,0.325259039312778,0.8425638512711497,0.6719082054589135,6.265579646958303,0.502666242836439,7.073242437213618,1.7285517714958545,1.5769481677559904,2.0479184606550986,1.2995689960161363,1.4025020316625214,5.738445783079563,,0.06178890583544452,0.1466671455131812,0.131935387780734,6.160760960051141e-07,0.3214589699442954,0.0649479453050191,0.2831887542378959,1.2617445448932628e-07,1.0857874993106949e-07,2.3845475266349975e-07,3.2182890962823537e-07,6.09726559206592e-08
2050-11-24 15:00:00,2.374508766511247,0.325259039312778,0.8425638512791267,0.6719082053993116,6.165058809531361,0.5030395330444619,7.083775835753251,1.6900223379966963,2.125551568349333,,1.2995689767169591,1.4025020202707352,5.799304895726373,0.884750481625495,0.17523210143723061,0.4159454671691494,0.3741664633811987,6.793144486140291e-07,0.7573899382275315,0.15302379222863371,0.4384765922856168,1.2926683145621018e-07,1.1264585313570397e-07,2.3708991486586878e-07,3.109481612972105e-07,6.03858964106738e-08
2050-11-24 18:00:00,2.374508766511247,0.325259039312778,0.8425638512780818,0.6719082054111695,6.035626673039528,0.315188294779704,7.0830541307667385,1.6491074567690551,1.7248773224385043,,1.2995689743661316,1.4025020185457215,5.8607944259790505,1.0279998096172058,0.19772718328295186,0.4693416877965302,0.4221993829133253,6.820472815033496e-07,0.8287065334628253,0.1674326549762622,0.523134332373992,1.293310968940258e-07,1.1995589145840382e-07,2.367754019349651e-07,3.26458356425367e-07,6.02088347358448e-08
2050-11-24 21:00:00,2.374508766511247,0.325259039312778,0.8425638512776567,0.6719082054226261,5.84797670288561,0.116430718218971,7.03535309917553,1.6202574745582936,1.2933136078866398,,0.8186023704437508,0.8834377439125896,5.916005072853494,,1.9177549784545293e-06,4.383733131542175e-06,3.941173209990853e-06,9.308312073569184e-07,2.2990749915934038e-07,1.2618341275835193e-07,9.82404462786527e-08,9.323391090568923e-08,6.118126305029283e-08,1.7781113697615065e-07,2.516436487253269e-07,4.522893982942614e-08
2050-11-25 00:00:00,2.374508766511247,0.325259039312778,0.8425638512798777,0.6719082054231207,5.849570311435867,0.0588454375790022,6.848758413751683,1.5930506538844718,0.8889112557334147,,1.308149950494081e-05,2.2807058336102882e-07,6.011942390387602,,0.31893574315792844,0.7570525913310715,0.6810116081541772,0.0006789203951405679,2.561581974101099e-07,1.2734996108299361e-07,1.0872565830485276e-07,7.55099334052786e-08,4.452216295918931e-08,1.4689533084939545e-07,2.0303375244865325e-07,4.6747289239236136e-08
2050-11-25 03:00:00,2.374508766511247,0.325259039312778,0.8425638512825125,0.6719082054132718,5.822333975929876,0.2947742601816691,6.826458627800232,1.579747483329367,0.7832410517964868,,0.57296988278565,0.6183458609604662,6.1469651821463565,0.0,0.6620700690545247,1.571545094407632,1.4136936660617732,7.442704318187963e-07,0.9021071767689712,0.18226257277213018,0.6038057189610972,9.408566773490452e-08,6.741908364220201e-08,1.804324020317424e-07,0.7104624037167129,6.316745187675227e-08
2050-11-25 06:00:00,2.374508766511247,0.325259039312778,0.8425638512813771,0.671908205413764,5.805659471035579,0.5622199952727719,6.784671605437144,1.5746092959483529,0.6876155144028765,0.47831033801082246,0.6996901529373639,0.755105109320038,6.300650937133602,2.904271640678111,0.6620699315641362,1.5715447705220678,1.4136933751091816,6.938202621709883e-07,1.4752839026224818,0.2984966824436386,0.9824977611213604,9.099512479220885e-08,6.727148247630545e-08,1.7867191083656126e-07,0.0338172015842851,6.463791167633125e-08
