snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
carrier,Hydrogen,Decentralized heat,Oil,Electricity,Electricity,Centralized heat,Oil,Methanol,Oil,Oil,Solid biomass,Methane,Methane,CO2 captured,Electricity,Electricity,Oil,Electricity,Decentralized heat,Centralized heat,Solid biomass,Methane,Methane,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Agriculture,Industry,Industry,Agriculture,Industry,Aviation,Shipping,Agriculture,Shipping,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Central CHP production,Storage,Decentral heat production,Power supply,Storage charging,Decentral heat production,Storage charging
2035-07-19 00:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872183647,2.1993896755407523,0.6551713104957572,0.619625557532173,2.126685839329847,0.4458117664280487,0.6792847602040001,7.526379293439746e-07,1.041372550048877,0.1856219281034239,3.340885540943836e-07,2.8372044225081483,9.733841188184656e-07,1.3659242348449102e-06,5.307116250409473e-07,2.2376171077903266e-07,2.412948348066169e-06
2035-07-19 03:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387203427,2.199389675885087,0.655171315655878,0.6196257539629253,2.3551874696304083,0.5941988459156968,3.94662661381,1.6140858957589954e-06,1.041372550048877,0.1856219281034239,3.230379824576202e-07,2.9121590237644126,9.645782044680556e-07,1.2076341389092397e-06,5.256898306184455e-07,2.2263843492200158e-07,2.6977104347318623e-06
2035-07-19 06:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387193183,2.199389675954491,0.6551713365099563,0.6196252066727672,2.879042762951274,0.5639529479813004,4.967263737060001,2.36017290568712,1.041372550048877,0.1856219281034239,2.3738774535387603e-07,0.0,9.283109449938366e-07,7.446598027866351e-07,4.544864027040865e-07,2.2380937413154845e-07,2.4913867646128163e-06
2035-07-19 09:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871872542,2.199389675932709,0.6551713700069932,0.6196248210173728,2.975321539763308,0.8822746060102505,6.1924334966200005,2.4231067513874107,1.041372550048877,0.1856219281034239,1.6260216314677477e-07,,7.409910941702438e-07,4.838586699655153e-07,0.3077568433261256,1.9862701489739945e-07,0.99810989775646
2035-07-19 12:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871753211,2.199389676208721,0.6551713747472375,0.6196260497014456,2.863736906124744,1.6969009191383233,7.184174115939999,0.780017417321293,1.041372550048877,0.1856219281034239,1.623909429239983e-07,,7.453765108602183e-07,4.795485208185531e-07,0.3689198731612834,2.0031807248372154e-07,4.2270840943438
2035-07-19 15:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871736816,2.199389676290852,0.6551713557055021,0.6196263618446066,2.7109745802496503,0.5664169159491954,5.80213354978,2.389399335836236,1.041372550048877,0.1856219281034239,1.9891274625204358e-07,0.0,7.987423659727896e-07,6.992478823872811e-07,0.347431488972481,2.079239658666661e-07,2.8715620317741426e-06
2035-07-19 18:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872066757,2.1993896753655995,0.6551713531834358,0.61962573944626,2.4783255564864155,0.6135633635732812,2.7306943616900003,1.218845341465656,1.041372550048877,0.1856219281034239,2.0593207599899325e-07,0.0,8.148955250358105e-07,7.530953749749153e-07,0.294978672228007,2.0887745643653255e-07,2.5400427672106004e-06
2035-07-19 21:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872157032,2.1993896752703868,0.6551713527941837,0.6196254030256375,2.2859654977891406,0.6392495582860747,1.20598562582,2.11759382555768e-05,1.041372550048877,0.1856219281034239,2.071250566515715e-07,0.0,8.213316544083449e-07,7.561242402945063e-07,0.2331907978550467,2.084695834086003e-07,3.0110216571548056e-06
2035-07-20 00:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872170552,2.199389675173965,0.6551713479582459,0.6196256124010868,2.0029552676934577,0.28481553738803883,0.7216898225259999,6.103560723739461e-07,1.041372550048877,0.1856219281034239,2.434530340191121e-07,2.9901035720596556,8.76765313330083e-07,8.773621321608399e-07,1.08143833183845e-06,2.139373642165481e-07,2.2442050741641766e-06
2035-07-20 03:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872036312,2.199389675524273,0.6551713461772739,0.6196251728941469,1.9651349892124224,0.13104870883514347,1.7278217547900003,2.6683059243221417e-07,1.041372550048877,0.1856219281034239,3.131257096880895e-07,2.9482565257162787,9.487601541574124e-07,1.1528200883364906e-06,5.109707750619259e-07,2.2106365288036913e-07,1.7284264630077751e-06
2035-07-20 06:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871918409,2.199389675983493,0.655171350327784,0.6196249855523015,2.368024639872013,0.6483099094010484,4.325935617289999,1.3130418741014165,1.041372550048877,0.1856219281034239,2.104363247977751e-07,0.0,8.295335397049205e-07,7.561150722874467e-07,0.2138314784826637,2.1161871708633922e-07,6.385102169212677e-06
2035-07-20 09:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871879351,2.199389675944518,0.6551713494703326,0.6196251139656304,2.50449363428661,0.6354437162275582,5.43274455254,1.6498369958902726,1.041372550048877,0.1856219281034239,2.116717535507826e-07,0.0,8.288326464167043e-07,7.57908796548116e-07,0.24145689978521,2.119671869124491e-07,6.440381526748127e-06
2035-07-20 12:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871903251,2.1993896758614695,0.6551713504806398,0.6196257819593308,2.3682221347988066,0.6232968344541175,5.07334038302,1.432089521042473,1.041372550048877,0.1856219281034239,2.128870708266852e-07,0.0,8.26982396444144e-07,7.567145072295296e-07,0.2697468725293558,2.12186342777754e-07,9.314915509744023e-06
2035-07-20 15:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387196674,2.1993896756863185,0.6551713538738564,0.6196266229744742,2.364370983726326,0.6194417442710606,4.0519850680400005,1.037564260136894,1.041372550048877,0.1856219281034239,2.187223377227099e-07,1.334077178240448,8.34952125626706e-07,7.909440831553642e-07,0.2791517764853821,2.120673609017223e-07,2.1108120252628495e-05
2035-07-20 18:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313872081398,2.1993896753394835,0.6551713346739569,0.6196255652717292,2.2909028709589885,0.5584397611261172,2.05321077601,2.146541669817347e-07,1.041372550048877,0.1856219281034239,3.493890621237503e-07,2.6076159322432653,9.801236635429794e-07,1.523521951238055e-06,6.034311095841269e-07,2.265936617064735e-07,1.6788555494840289e-06
