country,sector,year,Curtailment,Available
AT,Solar,2050,943.7915682328932,25313079.82727656
BA,Onwind,2023,0.3963295864577649,50004.60746486551
BA,Onwind,2030,1.0193915508516922,50005.04299946893
BA,Onwind,2035,0.7718759177565976,50005.20577651963
BA,Onwind,2040,1.3310330482143828,50005.33560796658
BA,Onwind,2045,1.3097533766981035,50005.48577518688
BA,Onwind,2050,1.182410577532378,50005.61045846759
BA,Solar,2023,0.3928888379232764,144759.97847398568
BA,Solar,2030,22.29617934328512,2161099.648566556
BA,Solar,2035,2183.2186295069646,5107196.594157364
BA,Solar,2040,13121.856894241286,6411100.710266255
BA,Solar,2045,25321.301028429632,7567745.934837691
BA,Solar,2050,94505.53628141384,9520501.634997224
BE,Hydroelectricity,2023,0.9425035072280694,323968.5254147717
BE,Hydroelectricity,2030,0.1602586186109929,323968.5254147717
BE,Hydroelectricity,2035,0.078515261893828,323968.5254147717
BE,Hydroelectricity,2040,0.0375482357050493,323968.5254147717
BE,Hydroelectricity,2045,0.0415192740722026,323968.5254147717
BE,Hydroelectricity,2050,0.0309984175380034,323968.5254147717
BE,Offwind,2023,1.4847127574457004,7739554.770891165
BE,Offwind,2030,11.081860257047133,38150435.20677756
BE,Offwind,2035,1.7856146933647443,38150439.35611819
BE,Offwind,2040,0.6019254107045002,38150439.46442996
BE,Offwind,2045,4.6060917610169785,38152194.91805347
BE,Offwind,2050,14.771733143291328,38156800.90624753
BE,Onwind,2023,3.541583175204291,8354545.186157757
BE,Onwind,2030,44.35631083718894,11245064.37252983
BE,Onwind,2035,18.04584405496605,11245128.28538964
BE,Onwind,2040,35.212983080506376,11269748.22245679
BE,Onwind,2045,36.31591609631599,11287639.70248746
BE,Onwind,2050,103.89712510675344,13748041.28807862
BE,Solar,2023,2.153739840311528,9536665.918867365
BE,Solar,2030,487.26688117636866,9536842.752358817
BE,Solar,2035,72.22789165235346,11154343.784859952
BE,Solar,2040,30952.15668035398,25405422.76519733
BE,Solar,2045,57039.85677002175,30627633.71030088
BE,Solar,2050,376162.6821188843,30627658.172694013
BG,Hydroelectricity,2023,0.7170462249423648,216708.41938748528
BG,Hydroelectricity,2030,1.4484778704128578,216708.41938748528
BG,Hydroelectricity,2035,0.154477671014134,216708.41938748528
BG,Hydroelectricity,2040,1.1770445179817344,216708.41938748528
BG,Hydroelectricity,2045,5.2053881085768365,216708.41938748528
BG,Hydroelectricity,2050,5.026213203088211,216708.41938748528
BG,Offwind,2023,0.0,0.0
BG,Offwind,2030,0.8300436655406829,5.43122577315588
BG,Offwind,2035,0.6832995688413941,8.31629752496611
BG,Offwind,2040,0.5072995750291731,10.284585368245972
BG,Offwind,2045,0.7584099865136392,13.434257887570617
BG,Offwind,2050,0.7505453536989359,42.550137374392904
