config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
sto_be,Storage,capital,237109918.2919007,493053408.6104759,493959026.99973893,572548901.7674632,681966050.5140259,716851119.7303071
sto_be,Storage,total,237109918.2919007,493053408.6104759,493959026.99973893,572548901.7674632,681966050.5140259,716851119.7303071
distr_be,Distribution,capital,608214575.0188338,1200847623.0065253,1338057149.2584648,1481455857.8729856,1653463776.3541985,1834472179.178928
distr_be,Distribution,total,608214575.0188338,1200847623.0065253,1338057149.2584648,1481455857.8729856,1653463776.3541985,1834472179.178928
net_imp_be,Net_Imports,H2,0,0,-26801512.51115724,0,48456584.69347225,50369406.74811776
net_imp_be,Net_Imports,elec,371033298.4967003,2088244930.2538695,2773996599.772661,3584801486.494648,3845306873.9501505,4633131777.9335165
net_imp_be,Net_Imports,gas,-57607714.23764144,-116934923.70706409,-130648198.25265267,-142945855.74824154,-43428141.62871971,9084634.729615837
net_imp_be,Net_Imports,total,313425584.25905883,1971310006.5468054,2616546889.0088515,3441855630.7464066,3850335317.014903,4692585819.41125
prod_fl,Energy production,capital,3286283955.996078,5502855146.851887,5549068266.933838,5352813567.08187,5973435348.56964,6417431173.525563
prod_fl,Energy production,marginal,4316982808.098232,11152726845.964214,10940122748.2457,10373471106.82956,9396965114.981678,8000662495.989067
prod_fl,Energy production,total,7603266764.094311,16655581992.816101,16489191015.179539,15726284673.91143,15370400463.55132,14418093669.51463
sto_fl,Storage,capital,2228864.990650283,172447283.26547468,172815538.5503605,174408569.38072434,194202254.94957978,226118655.70295668
sto_fl,Storage,total,2228864.990650283,172447283.26547468,172815538.5503605,174408569.38072434,194202254.94957978,226118655.70295668
distr_fl,Distribution,capital,366959689.82068187,720225497.565292,802331780.9529821,889851472.2997795,997491984.4884226,1100561863.559326
distr_fl,Distribution,total,366959689.82068187,720225497.565292,802331780.9529821,889851472.2997795,997491984.4884226,1100561863.559326
net_imp_fl,Net_Imports,H2,0,-48637049.49115131,-80258878.72492155,-47588002.17786265,1443392.9909815602,22355054.333898626
net_imp_fl,Net_Imports,elec,595353400.6658992,258749236.39785528,667925099.533638,1187779080.190288,1447010323.298108,1749744262.1508846
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-801242849.5911764,-744806573.9010624,-686466387.6402036,-534329162.1959352,-278055636.0044781
net_imp_fl,Net_Imports,total,-413946989.9498975,-591130662.6844724,-157140353.09234595,453724690.3722218,914124554.0931544,1494043680.4803052
prod_fr,Energy production,capital,57841793905.177055,63457659246.6586,66459073341.56459,72378619998.44063,82675442593.67284,106762097157.63193
prod_fr,Energy production,marginal,13036926503.462044,41466252248.433174,37931401048.00111,31908336950.00895,25949529273.815174,21605734234.022636
prod_fr,Energy production,total,70878720408.6391,104923911495.09177,104390474389.5657,104286956948.44958,108624971867.488,128367831391.65457
sto_fr,Storage,capital,2834271930.1321707,3975514943.489782,3975547477.576899,3978918739.3146267,4008348312.971418,4118935270.458079
sto_fr,Storage,total,2834271930.1321707,3975514943.489782,3975547477.576899,3978918739.3146267,4008348312.971418,4118935270.458079
distr_fr,Distribution,capital,3337457394.6765785,5785436836.218894,6100658529.378388,6794959310.402868,7426290811.168167,7771772638.545715
distr_fr,Distribution,total,3337457394.6765785,5785436836.218894,6100658529.378388,6794959310.402868,7426290811.168167,7771772638.545715
net_imp_fr,Net_Imports,H2,0,0,26500390.43390247,-9025956.141088696,-86114276.02609323,-642826236.6942303
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8230410796.448833,-7528081890.293722,-7374374400.41063,-6790930400.304927,-4649894290.10652
net_imp_fr,Net_Imports,gas,-322795514.8513141,-490585448.7410631,-376941268.03752816,-281149115.9229913,-205840740.22424522,-138444967.09809837
net_imp_fr,Net_Imports,total,-6630472476.396571,-8720996245.189896,-7878522767.897347,-7664549472.47471,-7082885416.555265,-5431165493.898849
prod_de,Energy production,capital,43046386159.70929,60344657947.42518,62253161027.90203,58736806349.67141,66102756993.75416,76537809905.41524
prod_de,Energy production,marginal,29341878384.49291,60074580216.320656,56882622638.8988,53092237531.58807,44723151870.942505,34452852726.70993
prod_de,Energy production,total,72388264544.2022,120419238163.74583,119135783666.80084,111829043881.25949,110825908864.69666,110990662632.12517
sto_de,Storage,capital,1883801484.5422366,3591590861.5261655,3592209969.01515,3601951485.8600893,3989361395.3297887,5091927295.539022
