snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methanol,CO2 emissions,Hydrogen,CO2 captured,Coal,Electricity,Oil,Centralized heat,Centralized heat,Ammonia,Decentralized heat,Methane,Electricity,Electricity,Electricity,CO2 emissions,Centralized heat,Electricity,Methane,Decentralized heat,Hydrogen,Electricity,Centralized heat,Electricity,Oil,Electricity,CO2 emissions,Decentralized heat,Centralized heat,CO2 emissions,Ammonia,Centralized heat,Decentralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Methanol production,Methane production emissions,Steam Methane Reforming CC,Hydrogen production CC,Imports,Nuclear,Imports,Waste Heat,Heat Pump,Haber-Bosch,Heat Pump,Imports,Offwind,Onwind,Hydroelectricity,Transport emissions,Biomass CHP,Biomass CHP,Storage,Biomass boiler,Storage,Solar,Solar thermal,Battery,Storage,Gas,Power supply emissions,Gas Boiler,Storage,Decentral heat production emissions,Storage,Gas Boiler,Resistive heater,Resistive heater,Oil Boiler,Storage
2030-07-07 21:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985322186535,18.96968114611084,17.432315755948785,0.9110256792432343,31.747379160045732,8.199105748290073,43.61183656088301,108.66419027948422,612.8124423850088,5.07621192898447,7.096565343354397,3.596930869723004,92.62240065801092,282.1953595140528,84.23460055265974,50.74698455331156,88.3432422169292,17.34303948585593,16.67350179822744,5.458069296957653,,0.2431624305978517,0.4481291802557842,,,3.1470984294155233,,22.792810821314617,7.0515298074248145,4.477074895189982e-05,3.5366605601485475,1.7986886556778802e-05,0.0,1.4240030429082416e-05,2.0982764930387545e-05,7.263865354382587e-06,1.789963789153086e-05,8.753102404569297
2030-07-08 00:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985321928814,18.969681146615596,17.432317056783273,0.9110257026964649,31.74737974817886,8.199105900181845,43.955127926237026,108.66419020268833,613.3611870046918,5.0764923159745825,6.718083248287269,3.5972333044563487,102.22608648842231,282.2950967699082,86.27747690937954,41.058867277591226,88.75368767647382,16.630605537923653,19.35117992363005,6.334606987735294,,0.2749908656784616,0.4484772293991831,,,2.842800920053714,,16.48841563108687,5.101107549722475,4.622836136759711e-05,1.3092706634513314,1.8356286453823354e-05,0.0,1.4406446386901668e-05,2.1336873836663145e-05,7.338395051713384e-06,1.8049836783109224e-05,0.0501652068894817
2030-07-08 03:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532148008,18.96968114768976,17.432316069497457,0.9110257560241153,31.747380774503448,8.199106165241327,44.01340854999553,108.66419038788356,614.2353120698765,5.076495724835712,5.6978592458438415,3.5972371131806025,104.92822372127557,282.94302450095836,88.04856122344648,34.14527357664721,103.6293979561818,90.72997697618096,29.12156421723052,9.532941397490012,,0.2693861103736488,0.4484796100054323,8.313653900166004,,3.2547737030075385,0.0,19.369999300094403,5.992597505845147,4.768555773805022e-05,2.3161444974054755,1.870165620136871e-05,0.0,1.4400539692628448e-05,2.141324898906936e-05,7.247556056723327e-06,1.8224944744698017e-05,0.252643234343994
2030-07-08 06:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985321754,18.969681147811375,17.43233017848582,0.9110258293101927,31.747381857612975,8.199106444966139,45.915671863042256,108.66418798225544,614.3258280063668,5.138344502333554,6.829379891148874,3.663983613870709,104.54483829269338,282.7565351339248,89.14615428289456,23.951248376321946,51.36550433812004,105.9092763895346,16.55083855895329,5.4179154967392265,,0.1864049514483499,0.5251401167465832,168.88224209619995,1.8138190302778945,1.9339400766054369,44.15196369314194,11.733165248200091,3.629953130271964,4.164733266318262e-05,4.358699439481585,1.7686058938781423e-05,0.0,1.6740946589914863e-05,2.377029041219616e-05,9.662971085883052e-06,1.746659003774146e-05,0.0001845753993373
2030-07-08 09:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532219817,18.969681147462943,17.43234387837488,0.9110258706696145,31.74738272676213,8.199106669433352,47.44907452604227,108.66418365388182,614.417734334639,5.057421179990987,7.728279713977077,3.576646756350465,104.83553591992805,283.5434188548294,82.53734248383041,22.528885914240647,37.338542669222605,101.11614713925904,8.957250604132893,2.932155170473581,,0.1778792141670877,0.4248484933319629,306.0357983594721,10.883174078834786,7.796592215762447e-05,25.417001942157743,7.54715953451752,2.334908186495113,3.7358823517121944e-05,7.110016242049188,1.6952294165634468e-05,0.0,1.8629876258986033e-05,2.976101456735871e-05,0.0001462437156506,1.6750359145595025e-05,0.0001645650175259
2030-07-08 12:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532362169,18.969681145672745,17.432340549152745,0.9110258772839877,31.747383316859977,8.199106821832535,47.8279750812461,108.66418443043978,615.1106357142348,5.05741646355379,7.941055982664237,3.576642041571359,117.81761876847526,283.6441470658879,90.00045922567242,27.67338675475128,42.977910026913875,119.92186609274404,9.50716713365221,3.112170296389,,0.176588857735435,0.4248398248615437,264.07112611827284,9.943509624063758,8.86435462572909e-05,97.86964307212828,6.564313558025383,2.0308400579481725,3.747105566856586e-05,6.5120207284465925,1.686999700940162e-05,0.0,1.8011105950317968e-05,2.8724916124274103e-05,1.733108658546956e-05,1.6781736974230883e-05,0.0001514921676714
2030-07-08 15:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985323717854,18.96968114527018,17.432309935965574,0.9110258523147354,31.74738363464103,8.199106903902944,46.42876833217171,108.66418974613867,615.5294485387584,4.9460302035419295,7.558777725628535,3.4564366596201954,97.44248482659455,284.0495700583384,98.9345274644595,32.6312482396926,65.94008513817292,104.04786852939816,14.15783369301534,4.634565571552261,,0.1754376238370634,0.2867731610262021,116.05532634818927,2.072372104769589,0.0339174935903572,35.70832857227326,19.038764043185367,5.890121799103939,4.141869784192606e-05,3.5474576963044204,1.7184319405286406e-05,0.0,1.42190789888396e-05,2.0965263039337134e-05,7.453412827147704e-06,1.7504464378739937e-05,7.933119103141162
2030-07-08 18:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.4529853255481,18.96968114224846,17.43229286090056,0.9110258417859841,31.74738398891823,8.199106995398882,46.05928599191804,108.66419058986966,614.0589963119112,4.946018039123343,7.109977082997649,3.456425557110194,101.68432932427015,282.4271275331745,106.66334993511677,35.049881347481694,107.15751196651723,42.035030779441136,15.356968477557082,5.027102234193638,,0.174277058801865,0.286742921288918,4.307901572909763,1.1843163362163989e-07,5.035968021264794,,37.0234351700289,11.454129167259019,4.365681061306126e-05,4.646749054804851,1.7705021052769676e-05,0.0,1.4055998707327082e-05,1.9844842700771457e-05,6.936001560678209e-06,1.7813734554254042e-05,1.800461665672005
2030-07-08 21:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532554275,18.96968114197187,17.432308579170446,0.9110258704985371,31.747384537938835,8.19910713718942,48.368915551352416,108.66419031011904,613.8058601076772,5.011645030377751,6.579701183003118,3.527249783632272,101.6973380408532,281.86832313083846,100.47390846747493,37.256728326397955,103.6081652454047,15.273282631307016,15.930190487988044,5.214746407165522,,0.4069570049165359,0.3680944215260644,,,3.4809570174286772,,27.392859110583803,8.474669724053781,4.513429830195614e-05,4.1584498165496075,1.8117129728790027e-05,0.0,1.440854572959591e-05,2.0415341020256227e-05,7.1205437448894965e-06,1.7974650843901167e-05,0.0265383797777909
2030-07-09 00:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532576794,18.969681141823706,17.432294798112242,0.9110262601740389,31.747393223103806,8.19910938022768,49.44010845081935,108.6641904168545,614.0244336348596,5.079869953584849,6.214911659120119,3.6008810854239037,102.9318108915109,281.9097316628423,81.32253302652377,27.8086147058049,111.17328180088018,14.097908885263854,19.876865298222576,6.506690047289598,,0.271372024593434,0.4526282657222067,,,2.321117347318089,,22.99999924570561,7.115628683949841,4.632760562151037e-05,1.7249770775920186,1.843090621207241e-05,0.0,1.453382584517716e-05,2.039297409614672e-05,6.986586078644709e-06,1.814046384546563e-05,0.2097514927228696
