snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Methane,Electricity,Electricity,Centralized heat,Ammonia,Decentralized heat,CO2 captured,Centralized heat,Electricity,Decentralized heat,Methane,Electricity,Centralized heat,CO2 emissions,Centralized heat,Decentralized heat,Centralized heat,Electricity,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Imports,Onwind,Solar,Waste Heat,Haber-Bosch,Resistive heater,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Storage,Hydroelectricity,Storage,Decentral heat production emissions,Resistive heater,Storage,Gas Boiler,Gas,Biomass CHP,Oil Boiler
2050-04-11 21:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225174937266,1.9613743919235307,5.726562428497629,0.152040747315495,0.0533459875460249,1.1577137979471708,2.70585903525923e-07,2.671490858567381,0.4590815438131299,,3.1501941398982655e-05,3.8130416420518227e-07,3.2683087876367964e-07,0.5748790375765142,1.3645808833490278,1.2275176526450242,0.0012641932768258,2.409002530066648,1.3742285316918468,1.71722129330134e-07,0.00025563161575158213,1.2012102073162949e-07,1.2184236001071464e-05,3.07464665463292e-07,5.742864445232652e-06,2.962038021277795e-07,1.4876223302073178e-07
2050-04-12 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225174909987,1.9613743918515563,6.783751917763814,0.1203029442075189,2.534779389255399,2.6986492960107253,3.406334478863217e-07,2.6506959277467317,1.5908043196656538,,3.1528063169057645e-05,6.885882414058762e-07,6.621006380992899e-07,0.1355637826001819,0.3217851782422706,0.289463955936461,0.0012420497366912,0.1175843075059586,0.40660143286727374,2.051891485264726e-07,0.0002511596522439821,1.5499432698523596e-07,9.5259653865615e-07,3.415253002318658e-07,3.414487376536886e-06,3.0380399939574577e-07,1.4927434981855944e-07
2050-04-12 03:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522517493437,1.9613743917096578,9.671489809000828,0.6988725623529364,5.9561131942812375,2.7017796380932375,5.247921521909222e-07,2.6315986284579354,3.203518174400735,,1.7280349347983694,1.8648970566865168,0.0293291517326375,1.3776943488725528e-06,2.7403509842069663e-06,2.4596128042308177e-06,4.321506147507608e-06,0.0,0.06633349706738459,0.0070170891063298,1.1136333909203382e-06,2.7775198760380724e-07,0.0918611250009156,4.356482211901622e-07,1.3985371465944015e-06,3.426103048301558e-07,1.681622376619383e-07
2050-04-12 06:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522517493242,1.9613743915356978,8.93440822111778,0.8665283669558597,7.035529582080086,2.796358981089677,4.374883314583545e-06,2.6140216087168273,6.257717049371576,5.018435851113526,1.2750542194332763,1.376030665153192,0.0368632382401491,4.1238607746153265e-07,5.794067216993342e-07,5.190907514402458e-07,1.394557011718064e-06,0.0,0.0662969939252392,5.605207141360876e-07,5.000122366496518e-07,2.67556406593332e-07,0.0308935160174963,3.71306979923646e-07,7.462711206022195e-07,2.757536293325551e-07,1.589482228644085e-07
2050-04-12 09:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.49352251749704,1.961374391345609,8.24595091458769,1.03873609373798,7.08399992692145,2.925707534887356,0.1101929288850415,2.598381752217436,6.906487518229399,8.955458836037412,0.8050780539484105,0.8544903438330593,0.0164306444741611,3.009007960671945e-07,4.008348390602402e-07,3.590499074939419e-07,7.440965952722534e-07,0.0,0.06629680733436939,2.824202885503518e-07,3.242317266983281e-07,7.99710064480899e-07,7.877289504079049e-07,3.037956081728158e-07,6.648340748023421e-07,2.3136394149052234e-07,1.3201960193972484e-07
2050-04-12 12:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225174928024,1.9613743912466803,8.209222321623477,1.1772867197990284,7.08399994330706,3.0020877586876935,0.1101997168376981,2.5844967310770164,7.153502504530627,9.799174101927562,0.7119951385273612,0.7540320632384142,0.0109337305413923,2.875227374086805e-07,3.762246714250258e-07,3.3700378737017085e-07,6.990239343197891e-07,0.0,0.0602130576855738,3.004971061355754e-07,3.109915301076195e-07,1.2461138415439368e-06,8.305526173867095e-07,3.011056786773171e-07,6.338982213579266e-07,2.272851843016909e-07,1.2851446552685796e-07
2050-04-12 15:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522517492451,1.9613743911211923,8.646113105330883,0.9546920446244964,7.081410397966473,2.9621050505638817,0.1101948710143407,2.5727550651905746,7.224570829702883,4.112394904464442,0.962969020702993,1.0248890533123851,0.0415771338173397,3.1392183287144097e-07,4.190608050745266e-07,3.75386265140393e-07,7.484476213273483e-07,0.0,0.0670911604793846,0.0009712812561901,3.269858963610859e-07,8.152921329602184e-07,1.082994382969368e-06,3.146813405746016e-07,6.705680332433644e-07,2.386199819865209e-07,1.320927502398511e-07
2050-04-12 18:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225175046813,1.9613743908541608,7.896229949932561,0.4640085902368731,7.082717431684956,2.8532272625208006,0.1101939668727017,2.562121667831509,6.742828918590497,,0.7127350835230889,0.7548306488878507,0.0059105068642489,2.940697335789332e-07,3.891644877658408e-07,3.485972847093355e-07,6.606580206065105e-07,0.0,0.06707977211155951,5.141662663791074e-07,2.989398065775629e-07,7.391057241468803e-07,1.155989976083661e-06,3.0085670392236796e-07,6.56175761050328e-07,2.2898917121666946e-07,1.2319437402261696e-07
2050-04-12 21:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225175027471,1.9613743906957186,6.026603569289728,0.2116462248477444,5.790498703522949,2.7526496782394436,0.0976236089917891,2.5533079772855647,5.635257872809292,,0.08517860569241821,0.0791885255729244,0.0011149150489969,2.710446249978575e-07,3.6150319932536834e-07,3.2381090467127857e-07,5.699923700768931e-07,,0.0670576006465102,2.9477649929913784e-07,2.692292204050444e-07,5.725482185382564e-07,1.1558008610603916e-06,2.757084940387006e-07,6.690144098124858e-07,2.151498138747924e-07,1.143777434487916e-07
2050-04-13 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522517507402,1.9613743904500465,6.288352045923981,0.1273539293883733,5.255564631241803,2.72001290704903,0.0955455279834977,2.545769362075155,4.605700245226159,,0.16733112899428224,0.1681181790703008,0.0011902767745438,2.707768189695279e-07,3.603304413703661e-07,3.227511107388542e-07,5.712635607931029e-07,,0.06700349305663383,2.9420520012113724e-07,2.6903860391248185e-07,5.2566756176598e-07,1.1177054027680418e-06,2.729051966188708e-07,6.683295028625242e-07,2.150702602939918e-07,1.1450188034813737e-07
