snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
carrier,Methanol,Coal,Oil,Decentralized heat,Hydrogen,Oil,Methanol,Ammonia,Centralized heat,Electricity,Electricity,Oil,Decentralized heat,Oil,Solid biomass,Methane,Methane,Methane,Methane,CO2 captured,Electricity,CO2 captured,Hydrogen,Electricity,Electricity,Hydrogen,Electricity,Electricity,Oil,Hydrogen,Electricity,Centralized heat,Decentralized heat,Methane,Methanol,Electricity,Solid biomass,Solid biomass,Oil,Electricity,Methane,Ammonia,Centralized heat,Methane,Hydrogen,Electricity,Decentralized heat,Oil
sector,Industry,Industry,Shipping,Industry,Industry,Aviation,Shipping,Industry,Industry,Industry,Agriculture,Industry,Agriculture,Agriculture,Industry,Industry CC,Industry,Hydrogen production CC,Hydrogen production,CO2 sequestration,Methanol production,Methanol production,Methanol production,Residual electricity consumption,Ammonia production,Ammonia production,Compression losses,Decentral heat production,Transport,Transport,Hydrogen production,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Storage,Transport,Central CHP production,Decentral heat production,Storage,Hydroelectricity,Decentral heat production,Storage,Storage charging,Power supply,Storage,Battery charging,Storage charging,Decentral heat production
2035-06-11 15:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794046205933,74.24775686164794,14.704416086739243,65.87107450347968,10.240644128705824,22.105994844057857,10.4802545905787,9.592885994258282,44.018977600374185,208.15656386372984,1.2302102523483616,5.712791968446659,0.1143119892311201,49.31242163733144,311.7121825070101,12.974821809935664,16.008797715141146,24.34545519330159,118.05162930395026,92.7787783829521,3.080467143058777,18.721467312191837,24.350898834844784,2.737259802866141,,0.441607212870318,0.7315883584843356,0.0,14.333191125233917,40.10373075258859,0.0,1.3680924847414793,0.7121560191516885,9.850922149830062e-06
2035-06-11 18:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940463798966,74.24775685901237,14.704416089111293,65.87105086293606,10.196961581674492,22.041637711192852,10.564019707519035,9.669558675266115,44.370806344077046,196.8383190279016,0.5895404023492602,2.737679733351761,0.1001076437367128,43.77931931607609,127.1996539237232,5.294604884133554,18.113455669579487,23.28518416251547,114.2505668273362,73.19002370863268,3.3896190605163574,1.8065224832863416,32.77713105249277,2.4603594255219825,106.1489777317047,,0.7046918263378442,,17.173051786477824,60.52124423355305,7.771863261068832,6.70498734858132e-05,0.0151680787424563,9.89785912379016e-06
2035-06-11 21:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794046465617,74.24775685564288,14.704416092143743,65.87104266892153,10.18681485962592,22.04081742510756,10.564023094449812,9.669561775423707,44.37082056980302,167.02756697565025,1.321103123403539,6.13487596812222,0.15087637958325129,44.2219521956353,47.55061498120491,1.979264176883017,18.805413743240727,20.33855923425169,100.11410144141382,129.79874440855605,3.389631559371948,8.464805887321134,18.696224391861385,1.297904098666196,186.0235369758606,,0.5457048434656631,0.0795420178851927,8.988378775078969,3.8658662672072976,8.164918065075605,9.558613361553402e-05,0.1799907200022622,9.767142879122113e-06
2035-06-12 00:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794046447868,74.24775685684337,14.704416091063392,65.87104321222968,10.186586163950404,22.06868930071883,10.532936157260414,9.641106985342876,44.240249773075014,147.25109917158323,1.3445324381313983,6.2436759076025,0.166179255856643,42.179671971381964,41.1684635670994,1.7136111738589956,18.504811894443556,18.92640839680639,91.15535927422832,131.9748054082446,3.2748990011215207,48.628369048184865,14.46987961994635,2.028877921471761,192.46101850414277,,0.15877072605709677,0.1742824058811748,5.050964949651044,1.997741718376423,8.242499407438938,9.05473655263429e-05,0.7178782623802504,9.670777175837371e-06
2035-06-12 03:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940462947984,74.24775686051306,14.704416087760585,65.87108548426636,10.244833542510886,22.07313156930015,10.52755330547186,9.636179902409411,44.21764081541481,169.67533261438734,1.2878419411054718,5.980419268764755,0.1752164226956899,44.83198951806821,251.737603352956,10.478418007584708,17.779123874010754,21.558657890306364,103.10349617862504,130.718865492781,3.2550325107574465,48.562365746656255,17.879117590209002,4.349933098954205,0.0,,1.4576078793510827,0.0,5.373320020148306,1.9552386609327983,0.0,7.896419438102581e-05,7.841145342750287e-05,1.0244679555806568e-05
2035-06-12 06:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940461853386,74.24775708224261,14.70441588820403,65.8710854962156,10.244833158720136,22.249954176650785,10.333936741554256,9.45895695346204,43.40441599186785,217.009931137776,1.3272487533235715,6.1634147525951875,0.1892160220684514,44.69263329884183,308.786714287631,12.853051051566425,17.032173407371545,21.00631375308323,101.44803268321049,132.14679158514875,2.5404518575668336,105.10175437156798,6.265517193509565,3.047081560447211,,15.864354889140216,0.973727594589301,0.1043925337943074,2.5311031792941043,3.3058304716516276e-05,0.0,0.00014927124817454632,0.0351947525467108,9.595460577650284e-06
2035-06-12 09:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794046159035,74.2477570776592,14.704415892329052,65.87108509824233,10.244832560310108,22.232787685630196,10.35236593216394,9.4758257349365,43.48182194814779,225.01282210655089,1.1786784663143832,5.473491106815356,0.2325524240027162,52.170963182337424,296.096263436811,12.324819087218565,17.90909743638522,20.32835546345844,98.32073402433448,132.99036042277604,2.6084684705734253,108.83128573550538,2.380370638507568,1.306339676079984,,52.19488721311575,0.17842863987852653,0.0,16.428719080337807,2.1386331601301236e-05,0.0,8.180412285233313,14.23449951208459,8.399265117107638e-06
2035-06-12 12:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794046155615,74.24775707074376,14.704415898552956,65.8710857606882,10.244834240550457,22.19060313564802,10.398145199867615,9.517728848280404,43.67410320832071,218.10784035304135,1.1388967533050298,5.288754676488057,0.2330318173695391,66.52613395363551,366.659308875128,15.26196108008086,18.51561595127484,20.29640054758248,97.9246567834621,132.97544831244926,2.7774260149002075,80.64017209749565,2.4718933761022117,1.049185892144532,,52.31925070335093,0.12178149068905941,0.0,19.67460730197204,2.1042691747255742e-05,0.0,7.877788249367491,33.18669089340763,8.288536320934579e-06
2035-06-12 15:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940462209205,74.24775707947104,14.704415890698485,65.87108540683123,10.244833078880884,22.0384882153053,10.564023347505389,9.669562007052932,44.37082163268252,211.5561614475561,1.1533018826060768,5.355648532085802,0.1877110326679382,50.78199320269421,326.335725639014,13.583517513912366,18.011033241106823,20.72261010872219,99.81213577720648,130.9992480734261,3.389632493972779,14.901324745538624,5.559353216885929,1.8820343693090291,,26.614029735417915,1.8628576264514933,0.0,7.247419999992979,2.5651360016832903e-05,0.0,0.00019058749728359027,23.75989885631165,8.579650835535735e-06
2035-06-12 18:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940463915715,74.24775707630008,14.704415893552252,65.8710581035092,10.168411344963776,22.06853089758596,10.530982592921047,9.63931883031019,44.23204444713066,200.017871030747,1.1890461750262873,5.5216361803485166,0.1695950447958144,30.340677085107515,137.6596819034169,5.729996911715625,17.23279881104388,19.95957788715148,97.38011429882246,130.328593300338,3.2676889820098873,1.4006784774744736,12.328451330276692,1.590219933418548,96.58224696922302,,1.2849035320858313,0.0,5.792766983725294,2.132028860472605,4.055330539472437,8.365839843418925e-05,0.0045983805634841,8.872523346350539e-06
