config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
net_imp_be,Net_Imports,H2,0,0,12904255.10037366,23476898.439723052,-11497828.13042488,409242803.74811256
net_imp_be,Net_Imports,elec,371033298.4967003,1877789433.067367,2618294184.314798,3437987289.314068,4357444984.833471,4634103831.442288
net_imp_be,Net_Imports,gas,-57607714.23764144,-173018748.60939968,-160943959.41167334,-135462521.26482883,-13683391.873317271,25703876.247749172
net_imp_be,Net_Imports,total,313425584.25905883,1704770684.4579673,2470254480.003498,3326001666.488962,4332263764.829729,5069050511.43815
prod_fl,Energy production,capital,3286283803.799794,5467910163.4440975,5511682622.664445,5359645867.953458,6152719808.488387,6484650024.028062
prod_fl,Energy production,marginal,4316982808.098232,11520458620.08476,11428476506.939436,10727472017.53277,9386321597.335514,8460202762.90195
prod_fl,Energy production,total,7603266611.898026,16988368783.528858,16940159129.603882,16087117885.486229,15539041405.823902,14944852786.930012
sto_fl,Storage,capital,2228971.681691259,174282304.33282116,174568396.99329454,175817580.21404365,177187598.84531602,177985971.16899937
sto_fl,Storage,total,2228971.681691259,174282304.33282116,174568396.99329454,175817580.21404365,177187598.84531602,177985971.16899937
distr_fl,Distribution,capital,366959689.82068187,700060103.5572523,783465731.71716,864645734.9603783,1024168284.5103459,1098161370.249101
distr_fl,Distribution,total,366959689.82068187,700060103.5572523,783465731.71716,864645734.9603783,1024168284.5103459,1098161370.249101
net_imp_fl,Net_Imports,H2,0,-49842208.867830105,-63861636.80265252,-33381410.906767026,-42287036.7701547,156131740.0771876
net_imp_fl,Net_Imports,elec,595353400.6658992,152895855.3993702,574792322.3736053,1065592177.8174558,1675598329.0270033,1838944782.9645605
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-867961116.0751456,-794859102.0477427,-706429623.7022789,-502687881.9392437,-328591338.2924422
net_imp_fl,Net_Imports,total,-413946989.9498975,-764907469.5436056,-283928416.47679,325781143.2084099,1130623410.317605,1666485184.7493057
prod_fr,Energy production,capital,57841793686.36784,62060987118.68013,65897285892.90822,75312249797.58385,95955615007.12209,116622222540.08066
prod_fr,Energy production,marginal,13036926655.212057,44788509993.50501,42906963827.99145,36864192035.81188,27147068801.032196,23404956997.315434
prod_fr,Energy production,total,70878720341.5799,106849497112.18515,108804249720.89966,112176441833.39572,123102683808.15428,140027179537.3961
sto_fr,Storage,capital,2834271768.233366,3971080144.295017,3972763974.594958,3981820264.2058325,4091699513.0095687,4179990267.9663486
sto_fr,Storage,total,2834271768.233366,3971080144.295017,3972763974.594958,3981820264.2058325,4091699513.0095687,4179990267.9663486
distr_fr,Distribution,capital,3337457394.6765785,5584377747.708822,5842075277.565121,6533388091.210814,7413076984.563089,7790088166.710885
distr_fr,Distribution,total,3337457394.6765785,5584377747.708822,5842075277.565121,6533388091.210814,7413076984.563089,7790088166.710885
net_imp_fr,Net_Imports,H2,0,-6940721.615779168,-42654089.522676975,-81287002.80869773,-1860957811.6619825,-1453230638.6206043
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8267399682.623112,-7705416134.682135,-7491515850.785921,-6090212426.367546,-4971426577.24243
net_imp_fr,Net_Imports,gas,-322795514.8513141,-613574038.8955004,-522295290.06875706,-454360645.792384,-261672581.4116247,-172386850.99181956
net_imp_fr,Net_Imports,total,-6630472476.396571,-8887914443.134392,-8270365514.273569,-8027163499.387003,-8212842819.441154,-6597044066.854854
prod_de,Energy production,capital,43046386448.806786,58342672198.14306,60803004628.389915,58978519297.23152,70681601465.54001,78174974517.20406
prod_de,Energy production,marginal,29341878415.492176,64441950966.17747,63556608069.81351,58082162211.12233,45123475808.41224,38015233843.935875
prod_de,Energy production,total,72388264864.29897,122784623164.32053,124359612698.20343,117060681508.35385,115805077273.95224,116190208361.13992
sto_de,Storage,capital,1883801574.676827,3553079790.416284,3554217244.2637396,3562462144.858922,3594062743.2735906,3775842247.094491
sto_de,Storage,total,1883801574.676827,3553079790.416284,3554217244.2637396,3562462144.858922,3594062743.2735906,3775842247.094491
distr_de,Distribution,capital,3622817850.951034,6882592197.104925,7281857782.354231,8021002177.686654,9362986652.948713,10052984913.084187
distr_de,Distribution,total,3622817850.951034,6882592197.104925,7281857782.354231,8021002177.686654,9362986652.948713,10052984913.084187
