config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
sto_fr,Storage,capital,2834271768.233366,3976029381.8719487,3976908619.373689,3979727901.7041593,4017925753.9135556,4128403632.9037833
sto_fr,Storage,total,2834271768.233366,3976029381.8719487,3976908619.373689,3979727901.7041593,4017925753.9135556,4128403632.9037833
distr_fr,Distribution,capital,3337457394.6765785,5773218376.851382,6076886710.358011,6819717724.05705,7512231870.3589525,7870619476.880401
distr_fr,Distribution,total,3337457394.6765785,5773218376.851382,6076886710.358011,6819717724.05705,7512231870.3589525,7870619476.880401
net_imp_fr,Net_Imports,H2,0,0,0,0,-53681327.85015781,-380600363.34428394
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8134398789.438005,-7652623099.097282,-7510224543.840468,-6861425852.499041,-5093277904.456123
net_imp_fr,Net_Imports,gas,-322795514.8513141,-488915822.1446612,-381654914.302986,-292771912.65056264,-215322045.44967192,-140653102.66862237
net_imp_fr,Net_Imports,total,-6630472476.396571,-8623314611.582666,-8034278013.400269,-7802996456.491031,-7130429225.79887,-5614531370.469029
prod_de,Energy production,capital,43046385944.86246,60344219471.85071,62371973088.12421,59589208930.4019,67355216097.08702,76067229843.30655
prod_de,Energy production,marginal,29341878384.49291,60061767471.00169,57139724302.34661,53573145504.86056,44716930153.49765,35064495532.75221
prod_de,Energy production,total,72388264329.35536,120405986942.8524,119511697390.47083,113162354435.26245,112072146250.58467,111131725376.05876
sto_de,Storage,capital,1883801574.676827,3607311843.0911226,3607875154.5653644,3619079326.998126,3632478687.5051136,3670175508.181882
sto_de,Storage,total,1883801574.676827,3607311843.0911226,3607875154.5653644,3619079326.998126,3632478687.5051136,3670175508.181882
distr_de,Distribution,capital,3622817850.951034,7033058334.931814,7527142793.589238,8260256363.432989,9194051172.95782,10157544500.331758
distr_de,Distribution,total,3622817850.951034,7033058334.931814,7527142793.589238,8260256363.432989,9194051172.95782,10157544500.331758
net_imp_de,Net_Imports,H2,0,0,226758415.14662406,262890687.11624515,166608744.19470614,-248128570.43322623
net_imp_de,Net_Imports,elec,1524575359.8821225,120760008.59173393,2954386249.388342,5077381255.645416,3786692635.3659153,4397790164.860746
net_imp_de,Net_Imports,gas,-852606759.6138926,-518329579.40720737,-511779844.7250494,-394955732.0720677,-247951991.20317808,-137765289.30168027
net_imp_de,Net_Imports,total,671968600.26823,-397569570.81547344,2669364819.8099165,4945316210.689594,3705349388.3574433,4011896305.12584
prod_gb,Energy production,capital,29447597006.37227,38406132345.59321,47231106505.623566,57557174842.546394,66339266092.37713,86084622577.60571
prod_gb,Energy production,marginal,15751968558.564613,40581239887.59051,38694892326.12536,32518611326.791264,27462270655.580757,20200926271.28373
prod_gb,Energy production,total,45199565564.93688,78987372233.18372,85925998831.74893,90075786169.33766,93801536747.95789,106285548848.88943
sto_gb,Storage,capital,571812700.8821886,1176583874.0074196,1196628218.0605674,1224635232.5015817,1309453233.2946887,1861094221.2101376
sto_gb,Storage,total,571812700.8821886,1176583874.0074196,1196628218.0605674,1224635232.5015817,1309453233.2946887,1861094221.2101376
distr_gb,Distribution,capital,2475037332.905676,4544766716.212621,4854606419.222226,5683863279.518311,6144195876.367774,6428294178.464136
distr_gb,Distribution,total,2475037332.905676,4544766716.212621,4854606419.222226,5683863279.518311,6144195876.367774,6428294178.464136
net_imp_gb,Net_Imports,H2,0,8868993.963096559,4890128.969082786,3390404.3404954327,-211354245.65961897,-356212955.00483394
net_imp_gb,Net_Imports,elec,140157535.9376688,115378676.9062717,-66070162.16476941,-302526565.50510573,-967056566.6280243,-1597502007.2911367
net_imp_gb,Net_Imports,gas,75130484.2693372,0,0,69853098.07660969,45925834.743431434,19457644.71471361
net_imp_gb,Net_Imports,total,215288020.207006,124247670.86936826,-61180033.19568662,-229283063.08800066,-1132484977.544212,-1934257317.581257
prod_nl,Energy production,capital,9555599346.084675,15544070377.27917,18276308573.330727,23820319629.28984,26858096807.523354,51886415486.88577
prod_nl,Energy production,marginal,7848360322.804538,23083775052.228703,22894856006.60627,20326360709.750916,18573263574.622677,16508803275.089529
prod_nl,Energy production,total,17403959668.889214,38627845429.50787,41171164579.937,44146680339.04076,45431360382.14603,68395218761.9753
sto_nl,Storage,capital,471313421.61709523,930718476.9758726,931046926.572521,938318986.7927731,944627707.3754079,1316241508.6399226
sto_nl,Storage,total,471313421.61709523,930718476.9758726,931046926.572521,938318986.7927731,944627707.3754079,1316241508.6399226
distr_nl,Distribution,capital,1052360067.1790537,1736327154.5116553,1910587583.562659,2296284169.3245916,2517436047.6154704,2686153025.2971354
distr_nl,Distribution,total,1052360067.1790537,1736327154.5116553,1910587583.562659,2296284169.3245916,2517436047.6154704,2686153025.2971354
