snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
carrier,Oil,Oil,Methanol,Decentralized heat,Oil,Hydrogen,Methanol,Oil,Electricity,Electricity,Centralized heat,Solid biomass,Methane,Methane,CO2 captured,Electricity,Hydrogen,Electricity,Hydrogen,Oil,Decentralized heat,Centralized heat,Electricity,Methane,Solid biomass,Methane,Methane,Electricity,Centralized heat,Oil,Decentralized heat
sector,Shipping,Agriculture,Industry,Agriculture,Aviation,Industry,Shipping,Industry,Industry,Agriculture,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Methanol production,Decentral heat production,Ammonia production,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Decentral heat production,Central CHP production,Storage,Power supply,Hydroelectricity,Storage charging,Decentral heat production,Storage charging
2040-01-16 03:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333323767,2.477168401560751,0.6552174845682871,0.7507698414461064,2.767296572306897,0.0138700625226928,3.022647680290825,2.1208311400094393e-06,3.7565812806346,33.690401285868845,8.205943563169042,1.0923858320466364,16.58769321114128,1.951172929773693,1.952518356799957,3.0456507972025553,,1.0790550863915258e-07,14.934848489747436,8.206448628641028e-08
2040-01-16 06:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333042739,2.4771684018608444,0.655217476712447,0.7507698792153952,3.703849282823252,0.0138700509500801,4.7854384619168755,1.3299798469900302e-06,8.157250033896,34.91611348074069,8.504508412382146,1.3705069501100866,16.587693247653903,1.95117293505864,1.717981996932317,3.0456508361677077,,1.060059517041283e-07,14.934848500820856,7.645669521258138e-08
2040-01-16 09:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233326400026,2.4771684022513387,0.6552174745818089,0.7507698632609823,4.069413833615067,0.0138700397253365,3.926464950882669,9.566897344604265e-07,6.840931752984,30.564933470548237,7.444627179894691,4.023054078034586,16.58769321829583,1.951172938378804,3.262399468317306,3.0456508688969777,0.0,1.261297674104656e-07,14.9348484983782,1.126446617071171e-07
2040-01-16 12:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223332649564,2.4771684022300917,0.6552174731259988,0.7507698411926764,4.041227029987548,0.0138700406040858,2.805916874002441,1.2195441692182244e-06,7.95668098777,29.1770226493714,7.106553227595676,2.546055613554369,16.587693224115494,1.9511729422155124,3.0573208954185453,3.0456508697697005,0.0,1.2388561752802193e-07,14.93484848836866,0.6544710173729539
2040-01-16 15:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333004325,2.4771684019172406,0.6552173647891217,0.7507700482372571,4.2850621343281325,0.0138699792059436,3.35234231235852,1.7750329976086428e-07,8.932089634933,31.101435339934127,7.575310886666341,3.0159553861623414e-08,16.587693319997005,1.9511729714898296,2.9731568090228926,3.0456510674955575,,9.865019146911263e-08,14.93484851939304,5.3870152205003706e-08
2040-01-16 18:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.17922333328624,2.477168401615159,0.6552174625167716,0.7507699816142727,4.128124941028918,0.0138700395697206,4.063427931504367,1.4658000221811872e-06,4.2676626890142,30.74086224127224,7.487480777590823,0.1030461423615266,16.58769324845855,1.9511729461110103,1.0844704164955474,3.0456508759800878,0.0,1.1292840742407705e-07,14.9348484949597,1.2901620694813112e-07
2040-01-16 21:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333421843,2.4771684017329276,0.6552175052778633,0.7507698825758525,4.327026176248382,0.0138700864666181,1.036084077831055,4.132934111425746e-07,1.7127365978133002,20.765579928510736,5.057653767831157,4.253706080074674,16.587692559093785,1.9511728755112177,0.0,3.045650663731304,5.2260042875621844e-08,1.3878861537970602,14.76870181092666,5.480120339706417
2040-01-17 00:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233334475566,2.4771684016710163,0.655217497471081,0.7507699024379242,3.64915219676269,0.0138700762721684,2.764643961640617,3.8087577920829297e-07,0.7851088817912001,19.973848342592305,4.86565506589598,3.203020533993275,16.587692659218494,1.9511728828628776,0.0,3.0456507076931407,2.2324693859845983e-08,1.5798848965671182,14.9348479475494,9.56329521626568
2040-01-17 03:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333316976,2.4771684017965057,0.655217885168065,0.7507699510144725,2.8927632369601644,0.0138700458762405,3.0754313469915218,0.1322968825699285,3.6467233724867,33.93202491669099,8.266310094463023,3.6486221860449786,16.587693244805518,1.9511729416273709,0.0,3.045650834191907,0.0,9.952382025900057e-08,14.934848487858003,9.44243214449826e-08
2040-01-17 06:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233329931743,2.477168402136005,0.6552177883938834,0.7507701716249948,3.8200367160497266,0.0138700428213883,4.425078051942543,0.0774676241451007,7.954811800711,35.16701479486008,8.567192852380172,1.1625909678043604,16.587693280084007,1.9511729457043272,0.0,3.0456508549569286,0.0,9.64248590888148e-08,14.934848496849074,7.871416671728913e-08
