country,sector,year,cfs
AT,Decentral heat production,2023,0.5255946502965135
AT,Decentral heat production,2030,0.6029248215312937
AT,Decentral heat production,2035,0.6047892276839091
AT,Decentral heat production,2040,0.5793401608061968
AT,Decentral heat production,2045,0.4763953941074465
AT,Decentral heat production,2050,0.4418621014577412
AT,Direct Air Carbon Capture,2030,0.2327557236277064
AT,Direct Air Carbon Capture,2035,0.1189147760871305
AT,Direct Air Carbon Capture,2040,0.084778225119133
AT,Direct Air Carbon Capture,2045,0.2407302147112633
AT,Direct Air Carbon Capture,2050,0.4241185640279832
AT,Fuel Cell,2030,0.4115558691144659
AT,Fuel Cell,2035,0.2048022704277139
AT,Fuel Cell,2040,0.1372303988164138
AT,Fuel Cell,2045,0.1329400825265641
AT,Fuel Cell,2050,0.0918983282829511
AT,Gas,2023,0.5429999602505872
AT,Gas,2030,0.2045549571681393
AT,Gas,2035,0.1052985001532998
AT,Gas,2040,0.1054918296212861
AT,Gas,2045,0.0936036667668583
AT,Gas,2050,0.0441203653138434
AT,Gas CC,2030,0.2927458189199857
AT,Gas CC,2035,0.1402356949455271
AT,Gas CC,2040,0.1382140873030053
AT,Gas CC,2045,0.1276524561698896
AT,Gas CC,2050,0.0747952723232205
AT,Gas CHP,2023,0.4074054390902676
AT,Gas CHP,2030,0.2194033177279191
AT,Gas CHP,2035,0.1036539450254686
AT,Gas CHP,2040,0.103973321691316
AT,Gas CHP,2045,0.0429663721135453
AT,Gas CHP,2050,0.0214380293809625
AT,Gas CHP CC,2023,0.5857853333839993
AT,Gas CHP CC,2030,0.5024873846420658
AT,Gas CHP CC,2035,0.2391252843733702
AT,Gas CHP CC,2040,0.2228441125191763
AT,Gas CHP CC,2045,0.2441131582208254
AT,Gas CHP CC,2050,0.1416146990072708
AT,Hydroelectricity,2023,0.3393150887385943
AT,Hydroelectricity,2030,0.5012844556357394
AT,Hydroelectricity,2035,0.5558741784127889
AT,Hydroelectricity,2040,0.5426311454304996
AT,Hydroelectricity,2045,0.5301839328508924
AT,Hydroelectricity,2050,0.5205164969076502
AT,Hydrogen production,2023,0.0231726838911701
AT,Hydrogen production,2030,0.4079599069699887
AT,Hydrogen production,2035,0.4645886677702227
AT,Hydrogen production,2040,0.5479637360074102
AT,Hydrogen production,2045,0.5172839389969499
AT,Hydrogen production,2050,0.582106838141863
AT,Hydrogen turbines,2030,0.171848641579311
AT,Hydrogen turbines,2035,0.0724352197360979
AT,Hydrogen turbines,2040,0.0732081446316786
AT,Hydrogen turbines,2045,0.0748524026799925
AT,Hydrogen turbines,2050,0.0596276065634157
AT,Methanol production,2023,0.989994237500104
AT,Methanol production,2030,0.6924917045325277
AT,Methanol production,2035,0.7158333271909153
AT,Methanol production,2040,0.6906534552278357
AT,Methanol production,2045,0.6204545574383454
AT,Methanol production,2050,0.6552089479882149
AT,Micro gas CHP,2030,0.5601538203218025
AT,Micro gas CHP,2035,0.5367633123794371
AT,Micro gas CHP,2040,0.514134058545892
AT,Micro gas CHP,2045,0.3889305375923745
AT,Micro gas CHP,2050,0.2727389262882662
AT,Onwind,2023,0.0659113788837557
AT,Onwind,2030,0.0659113627913458
AT,Onwind,2035,0.0659113897390639
AT,Onwind,2040,0.0659114218722152
AT,Onwind,2045,0.0659110189793095
AT,Onwind,2050,0.0659109890926973
AT,Solar,2023,0.1195169449369708
AT,Solar,2030,0.1197313102431954
AT,Solar,2035,0.1196740178414122
AT,Solar,2040,0.1193877021176893
AT,Solar,2045,0.1188632216193431
AT,Solar,2050,0.1188441481080361
AT,Transport,2023,0.0594264894366531
AT,Transport,2030,0.0594264893073966
AT,Transport,2035,0.0594264893066365
AT,Transport,2040,0.059426489306677
AT,Transport,2045,0.0594264893065225
AT,Transport,2050,0.0594264893063277
BA,Ammonia production,2023,0.6780244179509821
BA,Ammonia production,2030,0.2842529352632769
BA,Ammonia production,2035,0.4026153417350374
BA,Ammonia production,2040,0.3930898096617892
BA,Ammonia production,2045,0.1524965446700175
BA,Ammonia production,2050,0.2111067697380362
BA,Battery,2023,0.2991524174648657
BA,Battery,2030,0.2123132600303845
BA,Battery,2035,0.1594639023741206
BA,Battery,2040,0.1560528113539301
BA,Battery,2045,0.1937101389148772
BA,Battery,2050,0.2056272350172273
BA,Battery charging,2023,0.3148955702771887
BA,Battery charging,2030,0.2359035059204462
BA,Battery charging,2035,0.177182092930575
BA,Battery charging,2040,0.1733919871709492
BA,Battery charging,2045,0.2152334695844363
BA,Battery charging,2050,0.2284746879124292
BA,Biomass CHP,2023,0.9917013877455694
BA,Biomass CHP,2030,0.5252204980549358
BA,Biomass CHP,2035,0.4732709470478999
BA,Biomass CHP,2040,0.4153961065550817
BA,Biomass CHP,2045,0.3081895850218972
BA,Biomass CHP,2050,0.2722881726640089
BA,Biomass CHP CC,2023,0.7936858070586351
BA,Biomass CHP CC,2030,0.3703406438834802
BA,Biomass CHP CC,2035,0.1416637182650323
BA,Biomass CHP CC,2040,0.1317269403856591
BA,Biomass CHP CC,2045,0.426360374803155
BA,Biomass CHP CC,2050,0.4351142011191973
BA,Central heat production,2023,0.1682654474679378
BA,Central heat production,2030,0.2937378089144629
BA,Central heat production,2035,0.3995368043187807
BA,Central heat production,2040,0.4681214710236179
BA,Central heat production,2045,0.3976802254961986
BA,Central heat production,2050,0.3553190364732572
BA,Compression losses,2023,0.002424555475765
BA,Compression losses,2030,0.3215352021626146
BA,Compression losses,2035,0.3083270780163844
BA,Compression losses,2040,0.3006331035787953
BA,Compression losses,2045,0.1964146057824033
BA,Compression losses,2050,0.0948220211918539
BA,Decentral heat production,2023,0.4483206705839441
BA,Decentral heat production,2030,0.6179301876093171
BA,Decentral heat production,2035,0.6084231469568537
BA,Decentral heat production,2040,0.5982652440023982
BA,Decentral heat production,2045,0.4407457376964383
BA,Decentral heat production,2050,0.40613714167347
BA,Direct Air Carbon Capture,2030,0.236036340789519
BA,Direct Air Carbon Capture,2035,0.1205786192465005
BA,Direct Air Carbon Capture,2040,0.0860227533468263
BA,Direct Air Carbon Capture,2045,0.2585180596507793
BA,Direct Air Carbon Capture,2050,0.4186081207530268
BA,Fuel Cell,2030,0.3617825810758825
BA,Fuel Cell,2035,0.2039209328566677
BA,Fuel Cell,2040,0.1352347362620254
BA,Fuel Cell,2045,0.1065007392088723
BA,Fuel Cell,2050,0.0924906951813805
BA,Gas,2023,0.2358961738404584
BA,Gas,2030,0.3319082418107429
BA,Gas,2035,0.1636021145256756
BA,Gas,2040,0.14531225053583
BA,Gas,2045,0.0939302719330439
BA,Gas,2050,0.0487508208036187
BA,Gas CC,2030,0.3037944049407789
BA,Gas CC,2035,0.1332441216126216
BA,Gas CC,2040,0.128712661677837
BA,Gas CC,2045,0.109854823069668
BA,Gas CC,2050,0.066516869297913
BA,Gas CHP,2023,0.4263461301190943
BA,Gas CHP,2030,0.1728704352717082
BA,Gas CHP,2035,0.0977132109034057
BA,Gas CHP,2040,0.0985358893520632
BA,Gas CHP,2045,0.0386148162690148
BA,Gas CHP,2050,0.022598802510052
BA,Gas CHP CC,2023,0.583644543002321
BA,Gas CHP CC,2030,0.4238081004912904
BA,Gas CHP CC,2035,0.2146915563678795
BA,Gas CHP CC,2040,0.209252865581298
BA,Gas CHP CC,2045,0.2343657608124515
BA,Gas CHP CC,2050,0.1438939800750577
BA,Hydroelectricity,2023,0.2279430704518534
BA,Hydroelectricity,2030,0.2281266012510183
BA,Hydroelectricity,2035,0.22816842781294
BA,Hydroelectricity,2040,0.2281673434964225
BA,Hydroelectricity,2045,0.2281770814808631
BA,Hydroelectricity,2050,0.2281691312710841
BA,Hydrogen production,2023,0.1190805958473159
BA,Hydrogen production,2030,0.3749350063858019
BA,Hydrogen production,2035,0.4369293047558001
BA,Hydrogen production,2040,0.5415499674673696
BA,Hydrogen production,2045,0.6078245953684939
BA,Hydrogen production,2050,0.6867886862661442
BA,Hydrogen turbines,2030,0.1781872053490919
BA,Hydrogen turbines,2035,0.073534926635962
BA,Hydrogen turbines,2040,0.0726697402221191
BA,Hydrogen turbines,2045,0.0621578413363435
BA,Hydrogen turbines,2050,0.0567739094941077
BA,Methanol production,2023,0.850779143505754
BA,Methanol production,2030,0.675951231692589
BA,Methanol production,2035,0.7123137199694347
BA,Methanol production,2040,0.6978144371102059
BA,Methanol production,2045,0.5987640418281549
BA,Methanol production,2050,0.6679005811196913
BA,Micro gas CHP,2030,0.5498885742756805
BA,Micro gas CHP,2035,0.5136118194050624
BA,Micro gas CHP,2040,0.492622648109238
BA,Micro gas CHP,2045,0.3732857876885339
BA,Micro gas CHP,2050,0.2563436539629272
BA,Onwind,2023,0.0423774556814027
BA,Onwind,2030,0.0423768031799931
BA,Onwind,2035,0.0423771322912066
BA,Onwind,2040,0.0423770051825698
BA,Onwind,2045,0.0423721467259542
BA,Onwind,2050,0.0423679483837113
BA,Solar,2023,0.1335682739057988
BA,Solar,2030,0.1356309120957378
BA,Solar,2035,0.1355437967649819
BA,Solar,2040,0.1354380500552656
BA,Solar,2045,0.1331799911304187
BA,Solar,2050,0.1309728134165149
BA,Transport,2023,0.0238162615524392
BA,Transport,2030,0.0238162611768085
BA,Transport,2035,0.0238162611756475
BA,Transport,2040,0.0238162611756003
BA,Transport,2045,0.0238162611751764
BA,Transport,2050,0.0238162611747437
BE,Ammonia production,2023,0.7660283120050849
BE,Ammonia production,2030,0.6706653266261597
BE,Ammonia production,2035,0.5807231308424711
BE,Ammonia production,2040,0.520825516204272
BE,Ammonia production,2045,0.3725269167824763
BE,Ammonia production,2050,0.3431037916667612
BE,Battery,2023,0.3148031179690468
BE,Battery,2030,0.2849290632838306
BE,Battery,2035,0.1923733261556164
BE,Battery,2040,0.1771805518182102
BE,Battery,2045,0.1495734052875909
BE,Battery,2050,0.1566191218009937
BE,Battery charging,2023,0.3313693184881401
BE,Battery charging,2030,0.3165877885982693
BE,Battery charging,2035,0.2137480895032002
BE,Battery charging,2040,0.1968672254491381
BE,Battery charging,2045,0.1661926634190124
BE,Battery charging,2050,0.1740212376288857
BE,Biomass CHP,2023,0.721814937057234
BE,Biomass CHP,2030,0.4743308013432027
BE,Biomass CHP,2035,0.3787801189565455
BE,Biomass CHP,2040,0.2761727451155631
BE,Biomass CHP,2045,0.0396534265719823
BE,Biomass CHP,2050,0.0251187133093909
BE,Biomass CHP CC,2023,0.7633228124920962
BE,Biomass CHP CC,2030,0.3627774509672381
BE,Biomass CHP CC,2035,0.1290161197244169
BE,Biomass CHP CC,2040,0.1258627885832467
BE,Biomass CHP CC,2045,0.2037961708779574
BE,Biomass CHP CC,2050,0.1693076468700187
BE,Central heat production,2023,0.2873654221833763
BE,Central heat production,2030,0.5210339002122084
BE,Central heat production,2035,0.5029117172001835
BE,Central heat production,2040,0.4958663264488282
BE,Central heat production,2045,0.4107831452948762
BE,Central heat production,2050,0.3775509241850078
BE,Compression losses,2023,0.4051001437909443
