config,cost_segment,capital,marginal
2040_be,Energy production,7275150205.717626,14602534887.71265
2040_be,Storage,500473857.0563183,0.0
2045_be,Distribution,1740141743.2380698,0.0
2045_be,Energy production,8938725759.555326,11499008541.470613
2045_be,Storage,507211839.3840038,0.0
2050_be,Distribution,1830979102.2486248,0.0
2050_be,Energy production,9870287278.63793,10496680641.670572
2050_be,Storage,507266897.6444785,0.0
2023_fl,Distribution,366959689.82068187,0.0
2023_fl,Energy production,3286283820.280935,4316982765.764832
2023_fl,Storage,2228971.681691259,0.0
2030_fl,Distribution,683512364.7692542,0.0
2030_fl,Energy production,5288891957.637973,11946784111.925653
2030_fl,Storage,177092038.49407756,0.0
2035_fl,Distribution,758638029.428007,0.0
2035_fl,Energy production,5357228773.270145,11927971644.163631
2035_fl,Storage,177326883.45505917,0.0
2040_fl,Distribution,839966985.5090159,0.0
2040_fl,Energy production,5266624815.120164,11040671712.585829
2040_fl,Storage,178074115.2707365,0.0
2045_fl,Distribution,1033884081.860409,0.0
2045_fl,Energy production,6139584704.931691,8992077725.989365
2045_fl,Storage,180946182.54103634,0.0
2050_fl,Distribution,1079090266.0658302,0.0
2050_fl,Energy production,6386528499.383898,8298780529.941044
2050_fl,Storage,180946531.44720083,0.0
2023_fr,Distribution,3337457394.6765785,0.0
2023_fr,Energy production,57841793686.36784,13036926655.212057
2023_fr,Storage,2834271768.233366,0.0
2030_fr,Distribution,5509409927.412825,0.0
2030_fr,Energy production,54684595716.23474,49060794329.422005
2030_fr,Storage,3977277584.9294953,0.0
2035_fr,Distribution,5733604031.964893,0.0
2035_fr,Energy production,57460723448.65646,48372924932.00274
2035_fr,Storage,3981581067.398114,0.0
2040_fr,Distribution,6304636410.722126,0.0
2040_fr,Energy production,66358694268.534355,41744008905.04055
2040_fr,Storage,4006191786.8041625,0.0
2045_fr,Distribution,7338939192.818338,0.0
2045_fr,Energy production,94611057225.60564,29432961741.586094
2045_fr,Storage,4202567700.932843,0.0
2050_fr,Distribution,7617279145.4861555,0.0
2050_fr,Energy production,104352514578.52716,25579924609.427635
2050_fr,Storage,4223682349.6044025,0.0
2023_de,Distribution,3622817850.951034,0.0
2023_de,Energy production,43046386058.677444,29341878381.855846
2023_de,Storage,1883801574.676827,0.0
2030_de,Distribution,6833288934.747499,0.0
2030_de,Energy production,57101192971.45038,66875132754.998474
2030_de,Storage,3508947315.407553,0.0
2035_de,Distribution,7135402547.502763,0.0
2035_de,Energy production,58597358215.38825,67087564666.37241
2035_de,Storage,3512203143.5700617,0.0
2040_de,Distribution,7879428792.667461,0.0
2040_de,Energy production,57465368213.01036,59683416257.797264
2040_de,Storage,3522022229.960452,0.0
2045_de,Distribution,9302335323.945139,0.0
2045_de,Energy production,70633407924.81975,43745946229.9611
2045_de,Storage,3555361872.688172,0.0
2050_de,Distribution,9865834562.447802,0.0
2050_de,Energy production,81483558833.68767,37076168264.577446
2050_de,Storage,3624324069.2740164,0.0
2023_gb,Distribution,2475037332.905676,0.0
2023_gb,Energy production,29447597156.540314,15751968444.225418
2023_gb,Storage,571812700.8821886,0.0
2030_gb,Distribution,4507489688.460208,0.0
2030_gb,Energy production,37050010792.453514,43013678369.62024
2030_gb,Storage,1183924893.8786912,0.0
2035_gb,Distribution,4698244628.471892,0.0
2035_gb,Energy production,46407300453.29185,41379553119.56354
2035_gb,Storage,1204850028.9645386,0.0
2040_gb,Distribution,5712941583.373807,0.0
2040_gb,Energy production,59724167960.55783,33358014738.44675
2040_gb,Storage,1276785573.2448087,0.0
2045_gb,Distribution,6256236713.76433,0.0
2045_gb,Energy production,75756369030.41255,23773277612.257015
2045_gb,Storage,1503369621.9248881,0.0
2050_gb,Distribution,6463263253.799414,0.0
2050_gb,Energy production,120725936580.72932,19922443166.24667
2050_gb,Storage,2457663548.9623938,0.0
2023_nl,Distribution,1052360067.1790537,0.0
2023_nl,Energy production,9555599201.717838,7848360217.010734
2023_nl,Storage,471313421.61709523,0.0
2030_nl,Distribution,1736991380.7814622,0.0
2030_nl,Energy production,14609848476.21159,23467823764.77333
2030_nl,Storage,925737511.3257146,0.0
2035_nl,Distribution,1895254889.5247114,0.0
2035_nl,Energy production,17488995832.110497,23642969445.666317
2035_nl,Storage,926909413.1478678,0.0
2040_nl,Distribution,2189599970.6034594,0.0
2040_nl,Energy production,23548874274.566853,21648543224.097904
2040_nl,Storage,947424006.58453,0.0
2045_nl,Distribution,2514302490.501501,0.0
2045_nl,Energy production,39839727136.56962,18868811367.682518
2045_nl,Storage,1147194725.0676675,0.0
2050_nl,Distribution,2643572138.3877425,0.0
2050_nl,Energy production,60679918607.54214,17989216559.80421
2050_nl,Storage,1461499750.415669,0.0
2023_lu,Distribution,44548525.32554416,0.0
2023_lu,Energy production,184552294.0156064,17409030.374184117
2023_lu,Storage,458658732.9053118,0.0
2030_lu,Distribution,85736697.76853122,0.0
2030_lu,Energy production,229597432.23546627,718866285.5474185
2030_lu,Storage,533560751.0680314,0.0
