config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
net_imp_be,Net_Imports,H2,0,8077868.324474263,-14234566.041479662,59493270.10491149,19613615.422418997,1818530325.6178527
net_imp_be,Net_Imports,elec,371033298.4967003,1668918162.5102887,2298654026.2474833,3274026777.6188326,4482305975.163517,4290027744.327285
net_imp_be,Net_Imports,gas,-57607714.23764144,-235916037.68001556,-228851717.73921853,-193471426.05690366,-45983260.61251286,25917210.359738335
net_imp_be,Net_Imports,total,313425584.25905883,1441079993.1547475,2055567742.4667852,3140048621.66684,4455936329.973423,6134475280.304875
prod_fl,Energy production,capital,3286283820.280935,5288891957.637973,5357228773.270145,5266624815.120164,6139584704.931691,6386528499.383898
prod_fl,Energy production,marginal,4316982765.764832,11946784111.925653,11927971644.163631,11040671712.585829,8992077725.989365,8298780529.941044
prod_fl,Energy production,total,7603266586.045767,17235676069.563625,17285200417.433777,16307296527.705994,15131662430.921055,14685309029.324942
sto_fl,Storage,capital,2228971.681691259,177092038.49407756,177326883.45505917,178074115.2707365,180946182.54103634,180946531.44720083
sto_fl,Storage,total,2228971.681691259,177092038.49407756,177326883.45505917,178074115.2707365,180946182.54103634,180946531.44720083
distr_fl,Distribution,capital,366959689.82068187,683512364.7692542,758638029.428007,839966985.5090159,1033884081.860409,1079090266.0658302
distr_fl,Distribution,total,366959689.82068187,683512364.7692542,758638029.428007,839966985.5090159,1033884081.860409,1079090266.0658302
net_imp_fl,Net_Imports,H2,0,-47011241.83321366,-73981580.02719533,-21448744.344950616,-11025319.339710288,1129058083.4237761
net_imp_fl,Net_Imports,elec,595353400.6658992,26276532.10989499,436623610.65416956,1005170342.7113409,1772332112.7426896,1842945979.8582478
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-933277783.8809131,-873664131.0011678,-748980547.9337451,-432142864.0172363,-282908194.45134646
net_imp_fl,Net_Imports,total,-413946989.9498975,-954012493.6042318,-511022100.37419355,234741050.43264508,1329163929.3857431,2689095868.8306775
prod_fr,Energy production,capital,57841793686.36784,54684595716.23474,57460723448.65646,66358694268.534355,94611057225.60564,104352514578.52716
prod_fr,Energy production,marginal,13036926655.212057,49060794329.422005,48372924932.00274,41744008905.04055,29432961741.586094,25579924609.427635
prod_fr,Energy production,total,70878720341.5799,103745390045.65674,105833648380.65921,108102703173.5749,124044018967.19173,129932439187.9548
sto_fr,Storage,capital,2834271768.233366,3977277584.9294953,3981581067.398114,4006191786.8041625,4202567700.932843,4223682349.6044025
sto_fr,Storage,total,2834271768.233366,3977277584.9294953,3981581067.398114,4006191786.8041625,4202567700.932843,4223682349.6044025
distr_fr,Distribution,capital,3337457394.6765785,5509409927.412825,5733604031.964893,6304636410.722126,7338939192.818338,7617279145.4861555
distr_fr,Distribution,total,3337457394.6765785,5509409927.412825,5733604031.964893,6304636410.722126,7338939192.818338,7617279145.4861555
net_imp_fr,Net_Imports,H2,0,-24282669.36419955,-22089720.720694147,-174763226.2284027,-3838862370.6873007,-2585823216.1820207
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8258658283.551018,-7610433400.246113,-7004097705.976486,-5524389330.286732,-4646289994.841048
net_imp_fr,Net_Imports,gas,-322795514.8513141,-722684047.822926,-627263529.1475344,-530451383.2764525,-247706781.0480194,-161240220.6466251
net_imp_fr,Net_Imports,total,-6630472476.396571,-9005625000.738144,-8259786650.114342,-7709312315.481341,-9610958482.022053,-7393353431.669695
prod_de,Energy production,capital,43046386058.677444,57101192971.45038,58597358215.38825,57465368213.01036,70633407924.81975,81483558833.68767
prod_de,Energy production,marginal,29341878381.855846,66875132754.998474,67087564666.37241,59683416257.797264,43745946229.9611,37076168264.577446
prod_de,Energy production,total,72388264440.5333,123976325726.44885,125684922881.76067,117148784470.80762,114379354154.78085,118559727098.2651
sto_de,Storage,capital,1883801574.676827,3508947315.407553,3512203143.5700617,3522022229.960452,3555361872.688172,3624324069.2740164
sto_de,Storage,total,1883801574.676827,3508947315.407553,3512203143.5700617,3522022229.960452,3555361872.688172,3624324069.2740164
distr_de,Distribution,capital,3622817850.951034,6833288934.747499,7135402547.502763,7879428792.667461,9302335323.945139,9865834562.447802
distr_de,Distribution,total,3622817850.951034,6833288934.747499,7135402547.502763,7879428792.667461,9302335323.945139,9865834562.447802
net_imp_de,Net_Imports,H2,0,-92819435.19803001,340397843.1195694,176717721.25433868,295343065.2927636,-216384812.87383363
net_imp_de,Net_Imports,elec,1524575359.8821225,-512427051.2678127,1854389482.3621902,4503112765.194556,5165141050.3353405,4738935562.346281
net_imp_de,Net_Imports,gas,-852606759.6138926,-602128933.7210464,-453349023.5469855,-328493422.53065413,-214414147.6007762,-153202258.2712661
net_imp_de,Net_Imports,total,671968600.26823,-1207375420.1868892,1741438301.934774,4351337063.918241,5246069968.0273285,4369348491.201181
prod_gb,Energy production,capital,29447597156.540314,37050010792.453514,46407300453.29185,59724167960.55783,75756369030.41255,120725936580.72932
prod_gb,Energy production,marginal,15751968444.225418,43013678369.62024,41379553119.56354,33358014738.44675,23773277612.257015,19922443166.24667
prod_gb,Energy production,total,45199565600.76573,80063689162.07376,87786853572.85538,93082182699.00458,99529646642.66957,140648379746.97598
sto_gb,Storage,capital,571812700.8821886,1183924893.8786912,1204850028.9645386,1276785573.2448087,1503369621.9248881,2457663548.9623938
sto_gb,Storage,total,571812700.8821886,1183924893.8786912,1204850028.9645386,1276785573.2448087,1503369621.9248881,2457663548.9623938
distr_gb,Distribution,capital,2475037332.905676,4507489688.460208,4698244628.471892,5712941583.373807,6256236713.76433,6463263253.799414
distr_gb,Distribution,total,2475037332.905676,4507489688.460208,4698244628.471892,5712941583.373807,6256236713.76433,6463263253.799414
net_imp_gb,Net_Imports,H2,0,7129734.028128998,22608821.954444718,227166.51020476967,-475209300.42869115,-1433630639.4536242
net_imp_gb,Net_Imports,elec,140157535.9376688,126917527.23580599,114784286.20986545,-190364331.17046905,-833540991.06392,-768967455.0727603
net_imp_gb,Net_Imports,gas,75130484.2693372,0,0,78254766.59265071,43516635.320804805,24426063.432974014
net_imp_gb,Net_Imports,total,215288020.207006,134047261.26393498,137393108.16431016,-111882398.06761357,-1265233656.1718063,-2178172031.0934105
prod_nl,Energy production,capital,9555599201.717838,14609848476.21159,17488995832.110497,23548874274.566853,39839727136.56962,60679918607.54214
prod_nl,Energy production,marginal,7848360217.010734,23467823764.77333,23642969445.666317,21648543224.097904,18868811367.682518,17989216559.80421
prod_nl,Energy production,total,17403959418.728573,38077672240.984924,41131965277.77681,45197417498.66476,58708538504.25214,78669135167.34634
sto_nl,Storage,capital,471313421.61709523,925737511.3257146,926909413.1478678,947424006.58453,1147194725.0676675,1461499750.415669
sto_nl,Storage,total,471313421.61709523,925737511.3257146,926909413.1478678,947424006.58453,1147194725.0676675,1461499750.415669
distr_nl,Distribution,capital,1052360067.1790537,1736991380.7814622,1895254889.5247114,2189599970.6034594,2514302490.501501,2643572138.3877425
distr_nl,Distribution,total,1052360067.1790537,1736991380.7814622,1895254889.5247114,2189599970.6034594,2514302490.501501,2643572138.3877425
net_imp_nl,Net_Imports,H2,0,0,-14734212.538566105,-45813063.62373436,-3847640.191611707,-692060658.4027419
net_imp_nl,Net_Imports,elec,597428898.7244401,-1391922674.2360923,-3280959097.6626844,-4083961351.3403845,-5889505744.058468,-6303271136.85392
