snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
carrier,Oil,Electricity,Hydrogen,Methanol,Decentralized heat,Oil,Oil,Methanol,Centralized heat,Electricity,Methane,CO2 emissions,Solid biomass,Electricity,CO2 captured,Hydrogen,Hydrogen,Oil,Electricity,Decentralized heat,Centralized heat,Electricity,CO2 captured,Electricity,Hydrogen,Methane,Methane,Methane,Electricity,Centralized heat,Decentralized heat,Methane,Solid biomass,Oil
sector,Agriculture,Industry,Industry,Shipping,Agriculture,Aviation,Industry,Industry,Industry,Agriculture,Industry CC,Industry emissions,Industry CC,Residual electricity consumption,Efuels production,Efuels production,Methanol production,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Transport,CO2 sequestration,Ammonia production,Ammonia production,Central CHP production CC,Storage,Decentral heat production,Hydroelectricity,Storage charging,Storage charging,Power supply,Central CHP production,Decentral heat production
2050-06-08 00:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303140499391,1.0277735627763187,2.950278017646396,3.3408659053019125,0.2194206912673749,1.0681413380269429,0.0639643021790613,0.46155531628646,0.2717418436158786,1.6701941064130186,0.7731061043676895,5.591862698034635e-07,0.0449987499359213,8.884104798451928e-08,4.125558411056286e-07,5.852126031875756e-07,0.0962532434278073,9.912928260702804e-07,,4.812895725787729e-07,2.134418686870199e-06,1.074400652480131e-06,1.997535583944946e-07,1.246912608408103e-07
2050-06-08 03:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303139817255,1.0277735627422646,2.950278017545502,3.3222457706801416,0.2194207079654519,1.0681414193132894,0.0639640758622327,1.1190731802388,0.5783905788040576,1.754568948070912,0.8127830609679672,5.016407919135395e-07,0.0450252160662909,8.862122418000333e-08,4.1153503375784803e-07,5.915601386842212e-07,0.0964143138948911,1.0054044268325928e-06,,4.76597870216165e-07,1.962653407207912e-06,1.0859402742518744e-06,2.004202435551099e-07,1.258264582553136e-07
2050-06-08 06:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303138516754,1.0277735626204685,2.9502780171858656,4.149718252221371,0.2194203490526897,1.0681396721236516,0.0639663838206835,2.7351788718475003,2.0219780548149733,1.7299787123750792,0.8012195937623029,1.8093142336788264,0.0449415153297987,1.1616764127239312e-07,5.394537777485493e-07,4.122337051066438e-07,0.0966762892938934,8.998085724630572e-07,0.4148406307361625,2.6416434894885517,3.992008905342211e-05,7.507003307978557e-07,1.779894355534681e-07,1.1738274829605903e-07
2050-06-08 09:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303137935837,1.0277735625478737,2.950278016973727,4.293683484474271,0.2194203751366958,1.0681397991007615,0.0639663857716546,3.4136048717618,4.240411668076023,1.7077344678770612,0.7907593202232738,7.977536275749744,0.0450152109126958,1.1842926128071715e-07,5.499561813779844e-07,4.1109693792357595e-07,0.0969168908318066,9.023199979301682e-07,1.3079904940904494,3.61940451966624,5.3068131545455985,7.472959704347846e-07,1.7786317515204997e-07,1.1869907449881263e-07
2050-06-08 12:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303137713834,1.0277735625237898,2.950278016902702,4.085385528052161,0.2194203951071962,1.0681398963172857,0.0639663841658551,3.1832367558490007,5.416786911544432,1.7086941527667634,0.7912106084861076,7.5333679283659825,0.0450169634445055,1.191693477935451e-07,5.53392959992346e-07,4.119358723610963e-07,0.0969022325116522,9.045550095521678e-07,0.4749490401857045,3.8568738030740337,9.819179863006784,7.48426950010233e-07,1.780457310255769e-07,1.1905493337638095e-07
2050-06-08 15:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303138452562,1.0277735626287985,2.9502780172114793,3.957074819376,0.2194203403605238,1.0681396298101318,0.0639661794135092,2.5307275121847,2.4414562780710356,1.7257975104840766,0.7992533990684041,3.543726466002642,0.0450449604431746,1.0028772374618943e-07,4.657113706030084e-07,4.48301327447734e-07,0.0965202958071499,9.246959736562832e-07,2.1596683240904853e-07,3.207199287025108,1.7040847387676237,8.218859434295041e-07,1.8266563983938929e-07,1.1995731288682538e-07
2050-06-08 18:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303139684829,1.0277735626273443,2.9502780172060556,3.776726123043221,0.2194206015635658,1.0681409013482226,0.0639645266238897,1.2849524507317,0.4369545812708314,1.7049870623425285,0.7894673629524205,3.531758926370608e-06,0.0452091788973898,8.606108519926706e-08,3.996463818958281e-07,5.732417167601181e-07,0.096076769225646,9.879716498769773e-07,,7.666050048125692e-07,1.9309345646303747e-06,1.058419451352795e-06,1.9806713117392487e-07,1.2459615170620676e-07
2050-06-08 21:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303140329146,1.0277735626906623,2.9502780173911085,3.5365567230295607,0.2194207916561351,1.0681418267200742,0.0639635007193883,0.6914295207502,0.4067636842571609,1.64379102616949,0.760690153731791,8.765292229836462e-07,0.0452549363493349,9.222880192177719e-08,4.282877320136228e-07,6.089864150204213e-07,0.0958478412838905,1.0016863405337856e-06,,4.539538183157736e-07,1.789286282441023e-06,1.1087772145447532e-06,2.030291041010185e-07,1.2541586766839204e-07
2050-06-09 00:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303140401648,1.0277735627419444,2.950278017541367,2.987275006101925,0.2194208209170856,1.068141969162569,0.0639634006380788,0.30490548011254,0.2942740112819235,2.8934073812004386,1.338047269200737,8.318637730405634e-07,0.0452891770170521,9.355736028812624e-08,4.344572282850148e-07,6.13843796431757e-07,0.0958896222402871,1.0099674092182634e-06,,4.549106059658949e-07,1.8886126478326715e-06,1.11441731754526e-06,2.0378339716493354e-07,1.261367699130774e-07
2050-06-09 03:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303139849547,1.027773562733124,2.9502780175151515,2.8832523296235357,0.2194208372193992,1.0681420485223372,0.0639637522310724,0.50890569729166,1.1537664279897502,3.7052117166724905,1.7136876139573385,9.1435895419336e-07,0.0453146361819046,9.502822712891995e-08,4.4128756989426475e-07,6.123091278300359e-07,0.09613649591279,1.0255243113939927e-06,,4.6040860912493044e-07,1.8765790383837452e-06,1.106810061521044e-06,2.038961455522341e-07,1.2743998592987317e-07
