countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
ES,gas,25.77015912667169,0.0886649627765734,25.753336068512404,0.1230152957161957,25.72286650480157,0.1120806386672577,25.68267948154505,0.1094246654220639,25.67699122585185,0.1023802999050439
FI,gas,26.10471081884102,1.5091354282099532,25.876631993408303,1.4845779559939545,25.525989489986376,1.0584294086713162,25.01724847842845,0.2419510461831779,24.99999104422651,3.653657682756341e-06
FL,gas,24.999999615161197,3.3142723744726186e-07,24.99999983734534,1.693043174671637e-07,24.9999995329167,3.7963463897960393e-07,24.999999383922543,5.428503560911932e-07,24.999998407050654,1.0933402766387736e-06
FR,gas,24.999999934459822,2.637134624425117e-07,24.999999981036044,3.7554913147759726e-08,24.99999990908043,2.2784553711428106e-08,24.99999984345167,1.0436725821418594e-08,24.99999968108638,3.4921423916204766e-09
GB,gas,25.88133894175506,2.725373317866435e-05,25.938828390561035,5.610742150093806e-07,25.959078081260003,2.190870308431408e-07,25.723581974993856,1.4385110708653466e-07,25.688595347323577,4.7836151663688494e-08
GR,gas,24.999997726339014,1.4362134567395707e-06,24.99999857121792,7.14128753631113e-07,24.99999839217902,7.28002414579173e-07,24.999998400296867,6.606205960142946e-07,24.999998068027224,5.79213978095301e-07
HR,gas,27.58686550674261,1.031971003677747,26.76730436810408,4.013480132421718e-06,26.803937788373037,1.439623409019115e-06,26.720603685800008,2.4566352833952507e-06,26.467282491669035,5.433344171721232e-07
HU,gas,24.99999967207958,2.583488097407931e-07,24.999999892678694,9.200932162296553e-09,24.999999720002354,8.601684328333294e-09,24.999999646838287,9.839435770022916e-09,24.99999912720024,1.3119833516574262e-08
IE,gas,24.999998996841388,3.740141909826562e-07,24.999999488711055,7.539875771857429e-08,24.999999160622945,9.964868638139272e-08,24.999999259919452,8.809856659811888e-08,24.999997787397906,5.3845096068380964e-08
IT,gas,24.99999777142061,2.2599551056567767e-06,24.999998507333164,1.5149857915914102e-06,24.99999641737547,3.5323454765627906e-06,24.99999320158825,5.037014745117539e-06,24.99997543957272,1.5521870337279605e-05
LT,gas,24.99999440633633,2.295411844448145e-06,24.99999664647867,1.2029229712332586e-06,24.999996593088,1.030969743050351e-06,24.99999699451613,8.122485550974371e-07,22.814862879207126,1.054292187242939
LU,gas,27.788827486026147,0.7885417111079475,27.504779057783377,0.8520996930789846,27.17939435535754,0.822508667574322,26.9556764949858,0.7291808620351945,26.65644857009137,0.5058995534946318
LV,gas,24.999986262287333,4.965612416794672e-06,24.999991952635693,5.7088218148216574e-09,24.999976820650907,4.201802643766315e-09,24.99991376897195,7.85594728423321e-10,23.528011998170296,9.850915150734348e-09
ME,gas,29.06698795737625,1.704737292018611,27.81613597893499,0.6381606205837888,27.814270808940368,0.59157815974437,27.56373307424178,0.3742394312005564,25.986718446609547,0.0995866042012619
MK,gas,27.089196883438134,1.1067463668341675,26.44868752121413,0.1272047325616268,26.429987985195876,0.1509273225120452,26.42308450916053,0.1832947386860977,26.41499994269286,0.1978968809470299
NL,gas,24.999999784355307,1.6451171373184446e-07,24.999999950990663,1.618889650582688e-08,24.999999772093663,7.669971795827437e-09,24.999999769120663,8.93180379535187e-09,24.99999943552487,2.890118431237905e-09
NO,gas,24.999999771222974,4.6602817578190574e-08,24.999999938932294,1.3810326307365472e-08,24.9999998901968,1.2077436415663781e-08,24.99999988364552,3.3335018235822224e-08,24.999997140595372,6.290328149732042e-07
PL,gas,25.00000810973028,8.065397964929755e-06,25.000000131437947,7.008631852812243e-08,25.000000029814103,2.1547048940617885e-08,24.99999992239379,8.75200247363289e-09,24.99999975555942,4.128377265307603e-09
PT,gas,24.99999799378041,1.0626998189095651e-06,24.999998687372383,4.41838305909567e-07,24.99999672453129,2.5516383793308505e-07,24.999996420869593,1.3635703439126638e-07,24.999994843669533,5.261157930039402e-08
