country,sector,2030,2040,2050
CZ,Hydroelectricity,1.8802102845560065,1.8802102845560065,1.8802102845560065
CZ,Nuclear,4.290000423799202,2.2500004579029858,2.250000324797058
CZ,Oil,6.151270282661101e-07,5.358373310319304e-07,2.520593447084143e-07
CZ,Onwind,0.3394233849998201,5.459044877084706e-06,6.70267646016811e-06
CZ,Solar,9.39065699810392,25.79927325280588,36.16497878298711
CZ,Solid Biomass,2.7421988798370154e-07,2.4009950855378125e-07,1.0895600427723289e-07
CZ,V2G,11.34045,27.21708,38.55753
DE,Battery,6.309924986026142e-06,1.4259661718627718e-05,1.1294492813824509e-05
DE,Coal/Lignite,26.11708799637225,20.252624673759065,7.521052284142606
DE,Fuel Cell,3.314386418205726e-07,4.806841691182106e-07,3.3956390792121666e-07
DE,Gas,26.98588523079875,24.48395902271461,14.222309262935497
