snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Coal,Oil,Electricity,Methanol,Decentralized heat,Centralized heat,Methane,Centralized heat,Ammonia,Electricity,Electricity,Electricity,Hydrogen,CO2 emissions,Methane,Electricity,Centralized heat,Decentralized heat,Hydrogen,Electricity,Centralized heat,Centralized heat,Oil,Decentralized heat,Methanol,CO2 emissions,CO2 emissions,Electricity,Ammonia,Decentralized heat,Electricity,Centralized heat,Centralized heat,Hydrogen,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Imports,Imports,Nuclear,Methanol production,Heat Pump,Heat Pump,Imports,Waste Heat,Haber-Bosch,Offwind,Onwind,Hydroelectricity,Electrolysis,Transport emissions,Storage,Biomass CHP,Biomass CHP,Biomass boiler,Storage ,Solar,Solar thermal,Storage ,Storage,Gas Boiler,Storage,Decentral heat production emissions,Power supply emissions,Gas,Storage,Resistive heater,Battery,Gas Boiler,Resistive heater,Imports,Storage,Oil Boiler
2035-10-17 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772913721659,19.128742199451718,42.37011499666493,10.951570487225172,4.868005750667022,13.944146477950094,55.902895125692226,480.49979596342894,112.25652979597868,30.23896318017074,164.44504078179685,13.316080870468456,341.4277680558784,10.617866139639986,7.247599965395138,186.0422159903659,75.04693845719224,68.45804999631042,4.298808538607241,38.22550503242027,,10.413778397981549,31.813615718076935,13.805117371790496,1.9011152132031683,,,6.883737980374412,,68.43870473684605,0.0,13.992959119204155,12.356464799166417,39.940083245465004,0.0,7.644253315867558,5.861641090583279,0.8695222879839242,2.8623566537404023e-05,6.1584411112917045e-06,1.9162806655871096,8.594544647480954e-06
2035-10-17 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772913869462,19.128742197593116,42.370108862500246,10.951568901810296,4.858017682517197,13.90600175655334,55.332852697716085,480.60690355433,112.25653036215948,24.862174162887367,157.62347181424076,12.828131834208468,339.8124474972707,9.191497855526377,6.288532502610529,174.95169587355065,72.49822447602047,69.98773425931677,4.298803200177828,14.34028663366357,,8.409634298502876,25.69109178100099,10.798340129659838,0.0,,,3.6347412467707465,,29.584909527790025,4.175190475463867,6.009087159568902,9.174678667164834,29.655522175341687,0.0,4.796986815585889,1.3157860518567686,0.1666327362741954,2.80132349598372e-05,5.023322210049015e-06,0.4600080499282593,8.357896167277295e-06
2035-10-18 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772914074461,19.1287421953079,42.37010874810533,10.951568872271954,4.860138315022693,13.91410066710318,55.36833319407734,480.40646963767,112.25653060102528,25.4697857003279,157.54840501817966,11.474564375876533,340.0838161184818,7.064565659791203,3.7525824800800978,165.75708363544453,66.08029196017205,68.8547418848452,5.092253682895212,11.14732171855126,,13.908780341677865,42.492614336410654,15.053346076627658,0.0,,,0.1907863008638205,,52.796812690268176,3.5675789380073546,10.904709150441548,6.7524904600907885,21.826227904942815,1.509985611253898,8.393131762664863,1.3983369041554323,1.2479705234560003,2.7624972214986676e-05,5.075167586508908e-06,1.6989942853698627,8.488603107212572e-06
2035-10-18 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787729142508816,19.128742193598374,42.37012766500219,10.951573763913602,4.87740872452725,13.980055964955506,55.79942067871538,479.9607401391968,112.25653065393087,31.366732186472177,162.22331785886587,11.406104720776002,343.6249426270375,8.088564256984146,4.154582218867221,161.51597830462418,59.66393824783717,75.04522993844489,5.3946981430043595,60.44791044028663,3.1331678080185146,22.072344256131203,67.46070775247092,20.027798898316547,7.10400727098843,,,0.8985203000059997,0.0,137.25987071690037,0.0,28.220435015900886,7.443508195508911,24.05982138258596,1.107987178444212,10.957179275649205,3.1937306497399254,2.5649911775748984,2.7653637164191093e-05,0.0103100307785041,0.9371186670514308,9.028799312367644e-06
2035-10-18 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.7877291465557,19.128742189700922,42.370129389972206,10.951574210305791,4.877418288462668,13.9800923050806,55.927614559676094,479.49790900165885,112.25653031751546,31.44693759810926,161.83041358679952,12.783829200325023,342.7348882212414,8.158689300202706,4.154578532239951,149.9207911306369,53.91534635630729,55.68863647184375,5.698698911896372,79.24924110125808,,15.732448868904177,48.08605743073061,18.607438591280776,14.01097115413666,121.7841138597179,1.5676157720029418,3.989323900904707,54.34794220542908,121.61120251800604,0.0,24.958686298399538,1.7753312934210839,5.738440157818366,1.1079910158527435,8.125644743239539,0.6302788571282782,2.0393237270618245,2.7894890892373603e-05,0.1781231724405078,0.0183296496039304,8.97601426477015e-06
2035-10-18 09:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787729153072966,19.128742182715957,42.37012778666024,10.95157379527507,4.8774196115614865,13.980097527550669,55.14409987822546,479.2463954950477,112.25652493749831,31.65627994083755,167.0377645907853,13.489248661220364,341.61630731406973,10.982157661687541,5.285222789655472,141.94227971788786,51.1398942045004,37.46141451373286,14.287545095261116,92.91433252184213,,11.780025878473982,35.990504016622076,15.86727582543449,12.172125437473737,278.20758153009467,14.714593655112438,3.1704205253331676,107.75033533000943,92.92436004420216,,19.05036415612429,1.0060191547040975,3.2517721704202005,0.0,12.036776649947504,6.562616084533367e-05,1.4488937830563926,0.4987478638706875,0.2614864228627427,0.001404593935757,8.307892108733149e-06
2035-10-18 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787729152443006,19.128742183292395,42.370129006115086,10.95157411072308,4.87741554044842,13.980081848684302,55.22023268046479,479.0120755915788,108.69203021377103,31.56191463408446,172.62021226295616,13.597259836477864,340.8837659547027,8.133269028396256,2.367471408529565,137.61733212765202,50.67092888906757,42.698330200946394,13.6224581494249,106.28075099765648,,12.074448608232151,36.90406950359454,14.418435833487198,14.522165631181332,221.1177484190352,15.174067629597182,5.437976560469325,159.9738367164135,79.15948260089999,,16.29120567468726,0.4149959581902235,1.341394483084034,2.895098435385159,26.725212410707694,7.297313811519026e-05,1.5639689403442618,0.2844623746108785,0.299338980896925,0.1144678532969227,8.460415295739941e-06
2035-10-18 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772915061929,19.128742185026688,42.370127079831335,10.951573612444475,4.8773877119530065,13.979975776049876,56.358035571752566,479.0860523712343,106.54104592314458,31.913013868977057,169.44821963282573,9.617043544304204,342.69959500086907,8.503397913736233,3.0354381637153947,143.1884094304357,52.655348713819805,111.17745378148466,12.23360737655811,87.29705020458812,0.0,20.96306304500561,64.09773053830935,17.81523528159004,9.789217811142104,30.765357540022592,2.257995844357706,3.8102531995056417,86.0620509121418,99.83512716265577,,20.502851806639402,12.208357689222765,39.46135676849378,2.2271313789863787,13.264718928054297,2.3333038845061607,1.7442456793757737,0.0001240236756693,0.2296766289512862,1.4953214206197414,8.632467839809454e-06
2035-10-18 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.7877291514764,19.128742183592017,42.29329575128904,10.931631427278669,4.705209071988635,13.33087135491805,56.04753039307821,479.2507579546801,102.8835331926457,32.137635229280896,163.72779976146057,7.992897269145468,342.11253406520626,9.681693462693687,4.326217033608822,156.52284773328068,65.11710033087957,109.80734399595704,12.036853859760148,43.330824248087175,,21.63725655293774,66.16389252606128,15.525335447003888,0.0,,,4.1257186620972615,,83.95544880963331,,17.11081904931888,7.883491034963393,25.48198926916691,0.9363501868623032,13.704015399802046,6.630556909298588,0.7794115450358402,2.808291669411711e-05,5.344117992914691e-06,0.2328306494922505,8.615056943189015e-06
2035-10-18 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787729108070955,19.12874223414455,41.53264548621858,10.734196400101212,4.548776585128657,12.817221102042424,55.33629036184387,479.2823630529346,102.883539551368,32.30880897461904,155.0028832524874,12.780261134309512,340.45655693130504,9.334118871597212,3.79268680930852,194.59582583522038,74.69850948204208,69.81175282718038,12.671573293443323,19.82312610252822,,13.438218809117089,41.053835795904504,11.122934487842723,,,,1.355475232451089,,40.95459160240497,,8.306625526642337,6.0176788451297,19.4510789125356,1.469880259488396,6.348394473024823,1.3850889197542096,0.1687261406534635,2.85828435145254e-05,3.968550616655792e-06,1.694704646040333,8.279710586498981e-06
2035-10-19 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772911098649,19.128742230974176,41.051458369876656,10.6094083915701,4.536838656231242,12.824582042396992,55.54977802935137,479.1526168789453,103.83615950914333,32.30881151427664,140.05671902822849,12.576409055938026,340.786311700736,10.967504442600026,5.142875581304635,210.45042686260172,65.08423413060888,70.06428327819093,14.542866421908316,11.795758812303426,,14.900102100016582,45.51939087631179,15.871541314420426,,,,0.0339835103081967,,57.75328800830042,,11.929031803940932,5.286431790246663,17.087451588929916,0.1196914088061218,8.366169681554382,1.3642232020694947,1.3683184865590452,2.82612103803049e-05,3.9244998473657635e-06,0.6423258592859507,8.341659745457449e-06
2035-10-19 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772911577324,19.1287422259471,40.9710011506609,10.588409762870254,4.611997530422446,13.120531606243992,57.33592781048412,478.7582819914245,103.98821498287796,32.229261391915465,152.80663385324084,12.612834324337255,344.2788717412012,10.916458226668851,5.096371329665727,216.4253311915143,58.457884599296946,69.85115985006445,14.5428649777379,27.3516522147958,0.0,18.401924684065648,56.22646465155598,18.742977047443055,,0.10133250161772989,,0.4135652596296659,,115.43826177706924,,23.753067251771107,6.096837429190592,19.70694445688418,0.1661957883041787,10.237683064598253,1.9144221477372925,2.257656041881571,2.866654654754539e-05,5.338914089999958e-06,0.9794269311465468,8.553690219013242e-06
2035-10-19 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78772909836505,19.12874224597595,40.90019551076763,10.570031033471516,4.760357821344172,13.694932642355097,57.91826250261938,478.0183814177965,103.47810030137735,31.98897236485548,152.37151771090942,12.821649995420074,342.5490664442297,11.217392501113693,5.447075498199048,222.23364086247085,57.45785085030801,18.143076474952764,14.542884003399164,67.24373684400443,,10.76201353552602,32.87748272689115,15.975306077279331,4.547732405072917,126.7606904479401,0.9678676542025644,10.27040733355687,9.131611927032472,74.17933856729924,,15.312156138837919,6.665033796755097e-06,1.3781148891361867e-05,0.0,35.456795155455644,0.8085878548528606,1.7065383856507617,4.023337691765091,6.396031004946351e-06,6.548685886232207e-05,7.983588217421826e-06
