country,sector,2030,2040
GB,Offwind,23.731113506876863,48.094074197933935
GB,Oil,2.0880153825713024e-06,3.5554146900141167e-06
GB,Onwind,21.2579593029031,51.3212738662677
GB,Solar,42.7476043493553,103.10451634848968
GR,Battery,1.8410931600108995,3.3598782327742627
GR,Biomass CHP,0.4229040421986022,0.422905079490132
GR,Biomass CHP CC,1.9758963051129465e-07,2.99765079476068e-07
GR,CHP,2.0987476002326243e-06,3.690557819423774e-06
GR,Coal/Lignite,9.063583433585044e-07,1.3495232193446406e-06
GR,Fuel Cell,3.025417647546048e-07,5.011229518013837e-07
GR,Gas,4.170146771253931,3.2421494674905587
GR,Hydroelectricity,3.3681,3.3681
GR,Hydrogen,1.4653400331358182e-06,2.470386213079681e-06
GR,Nuclear,1.0289988489314934e-06,1.7465657693816702e-06
GR,Offwind,7.326146916040621,8.35456097871172
GR,Oil,0.0944872653418099,0.0944879976316792
GR,Onwind,4.653137292854652,4.3881406891310935
GR,Solar,13.80128031344508,22.0460825387017
HR,Battery,0.5236815943094814,0.9440163784803078
HR,Biomass CHP,0.3869675497712445,0.3869686848763668
HR,Biomass CHP CC,2.0195843574299785e-07,3.060658993373226e-07
HR,CHP,1.937964309603953e-06,3.803642323729831e-06
HR,Coal/Lignite,9.08438149889102e-07,1.3573985979167813e-06
HR,Fuel Cell,2.861949325342973e-07,4.94460187049976e-07
HR,Gas,0.0780044602036485,0.0780075290118809
HR,Hydroelectricity,2.383272188890403,2.383272188890403
HR,Hydrogen,1.4257421865091417e-06,2.4789944493282032e-06
HR,Nuclear,9.84896243543079e-07,1.77138631836393e-06
HR,Offwind,5.537807219524246e-06,8.407018759250449e-06
HR,Oil,1.0453843305724417e-06,1.7789726353504152e-06
HR,Onwind,1.0369035237198283,1.036905311787623
HR,Solar,3.352366324726916,7.07492480565618
HU,Battery,0.2229722035755281,1.2134602924288105
HU,Biomass CHP,1.4755144525202182,1.7788715767871304
HU,Biomass CHP CC,2.020983743664674e-07,3.1078969459977725e-07
HU,CHP,1.940840894605389e-06,3.617049036060253e-06
HU,Coal/Lignite,0.2304851430873045,1.3546493082245311e-06
HU,Fuel Cell,2.883697615964115e-07,4.928769091815965e-07
HU,Gas,1.7242044976356934,1.7242076596645213
HU,Hydroelectricity,0.0477,0.0477
HU,Hydrogen,1.4458411415684252e-06,2.5111026992329253e-06
HU,Nuclear,1.8989009465845137,1.8989017808212312
HU,Oil,0.170001044912587,0.1700017787383191
HU,Onwind,0.3350053654304114,0.3180084230409236
HU,Solar,7.452250114708126,17.318737047329467
IE,Battery,0.0123786401619061,0.0464160114014446
IE,Biomass CHP,0.1339907644926139,0.1574237478948861
IE,Biomass CHP CC,1.942930687894442e-07,3.030886169558111e-07
IE,CHP,2.245729062611574e-06,6.705326531675217e-06
IE,Coal/Lignite,0.2530008749003705,0.2530013323125601
IE,Fuel Cell,3.1104613025279186e-07,5.13348743441149e-07
IE,Gas,3.2610044479858726,3.2610087113266477
IE,Hydroelectricity,0.609,0.609
IE,Hydrogen,1.4536237383346276e-06,2.4530522394522283e-06
IE,Nuclear,1.0162231788989606e-06,1.8012539808965312e-06
IE,Offwind,4.252000217017265,6.170000087420278
IE,Oil,0.2080010429246042,0.2080017769380857
IE,Onwind,4.477345184012451,4.125750253247484
IE,Solar,0.6447590760948291,4.8340271575224065
IT,Battery,6.010212596290477,25.76226741821165
IT,Biomass CHP,2.1117261605500817,1.7116072115688992
IT,Biomass CHP CC,1.934589082497022e-07,2.955600742447211e-07
IT,CHP,2.8776783261996346e-06,2.78564340329578
IT,Coal/Lignite,1.8534199915359109e-06,2.7900307575229823e-06
IT,Fuel Cell,6.376320610860296e-07,1.043338760182915e-06
IT,Gas,39.12021022252945,28.535763350368363
IT,Hydroelectricity,19.07129,19.07129
IT,Hydrogen,2.997978653179047e-06,5.1971553872496825e-06
IT,Nuclear,3.1114307439493416e-06,1.5902798365760689
IT,Offwind,9.000001615373833,12.50000135999144
IT,Oil,0.1500020917660322,3.563837659174416e-06
IT,Onwind,11.386755354443606,16.65596769578203
IT,Solar,115.51533917604137,174.30822701171374
