imports_exports,countries,year,carriers,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
imports,FR,2030,Electricity,0.0,0.0,0.0,26.541727977366868,0.0,39.79183196919925,0.0,25.02132087587411,0.0,0.0,7.176366852185044,0.0,0.0,5.9759309835706915,0.0,0.0,0.0,0.0,27.555901267909796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,GB,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841452972079296,0.0,0.0,0.0,0.0,3.366087152753742,0.0,0.0,0.0,0.0,0.0,0.0,2.5122209101265423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,GR,2030,Electricity,4.651784955492392,0.0,0.0,0.0,3.7512104311885706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5419053355138783,0.0,0.0,0.0,0.0,10.337650820404647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,HR,2030,Electricity,0.0,0.0,15.186366683418768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.607237717491106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232734214002184,0.0,4.922762964499306,0.0
imports,HU,2030,Electricity,0.0,1.7063248467487255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.986191389852332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67866599080898,5.657027171296086,0.0,0.0,11.053641824311825
imports,IE,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2147441132680856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,IT,2030,Electricity,0.0,0.4358311175797756,0.0,0.0,0.0,4.456904706993901,0.0,0.0,0.0,0.0,0.0,0.0,1.6015412880704984,0.0,0.4773789703655869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.925966795966011,0.0
imports,LT,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987622080466812,0.0,0.0,0.0,0.0,11.08253530110704,0.0,0.0,0.0,0.1786322784309099,0.0,0.0
imports,LU,2030,Electricity,0.0,0.0,0.0,1.3219147605818642,0.0,0.0,0.0,2.897954191336915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,LV,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0527966108941886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94493371150905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,ME,2030,Electricity,2.407398620321045,0.0,3.398364597512737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47454845610926,0.0,0.0,0.0
imports,MK,2030,Electricity,0.0,0.0,0.0,0.0,1.2906825145746486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323340679038946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.515307702350807,0.0,0.0,0.0
imports,NL,2030,Electricity,0.0,0.0,0.0,10.140026564426664,0.0,0.0,0.0,25.86762844267806,0.0,0.0,0.0,0.0,0.0,3.119213226152212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1072003330917517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
