country,carrier,2030,2040
NL,H2 Fuel Cell,6.025737877930218e-07,1.021565424524121e-06
NL,air heat pump,1.3914738834260163,1.6621077085584448
NL,battery charger,4.649030214956489e-06,8.392172887904427e-06
NL,ground heat pump,0.7631550932053605,0.8404820784929317
NL,home battery charger,0.661448791203603,0.6730029562761723
NL,water tanks charger,16.669293634134423,11.962094030935624
NO,BEV charger,3.784906025098478,8.516038556471575
NO,H2 Fuel Cell,5.4654401559647e-07,9.064941111385326e-07
NO,PHS,0.2823,0.2823
NO,air heat pump,0.7767646298585895,0.7097851453333028
NO,battery charger,4.848899515843625e-06,8.156357930796308e-06
NO,ground heat pump,0.2069181332866536,0.2540715554320678
NO,home battery charger,0.820262726968639,0.9117901891266428
NO,hydro,28.295874200000007,28.295874200000007
NO,water tanks charger,4.246879000569883,5.815871511521993
PL,BEV charger,36.47322448,82.06475507999998
PL,H2 Fuel Cell,6.264475531771545e-07,1.04169026987559e-06
PL,PHS,1.798,1.798
PL,air heat pump,1.007953222412485,1.4059898179034795
PL,battery charger,4.78846677327721e-06,8.424889675944255e-06
PL,ground heat pump,1.1315454632313258,1.2417077284152482
PL,home battery charger,0.3008659155819707,0.8340181567613183
PL,hydro,0.1401019108280254,0.1401019108280254
PL,water tanks charger,23.046391259282306,21.306660915994232
PT,BEV charger,8.312414879999999,18.702933479999995
PT,H2 Fuel Cell,6.308009323926571e-07,1.0124514010763143e-06
PT,PHS,3.703,3.703
PT,air heat pump,0.2148128816389728,0.3345502854698683
PT,battery charger,4.941861429953502e-06,8.796402284550334e-06
PT,ground heat pump,0.143173385383027,0.1498825453465699
PT,home battery charger,0.9836306535023196,3.323796100656077
PT,hydro,0.8814000000000001,0.8814000000000001
PT,water tanks charger,1.9319685864669165,3.266657705850721
RO,BEV charger,9.0728,20.4138
RO,H2 Fuel Cell,5.697120703043398e-07,9.543706621657298e-07
RO,air heat pump,0.2180080927328163,0.2180206787499797
RO,battery charger,4.827490643535747e-06,8.612685185605124e-06
RO,ground heat pump,0.2533805704817507,0.2948153801695263
RO,home battery charger,0.5367647262115631,4.735212695281683
RO,hydro,4.44994,4.44994
RO,water tanks charger,10.417174765787117,9.136829827806094
RS,BEV charger,5.37294200452058,12.089119510171304
RS,H2 Fuel Cell,5.627086690304639e-07,9.534088583585012e-07
RS,PHS,0.614,0.614
RS,air heat pump,0.1031265155222891,0.1161123650098404
RS,battery charger,4.524474554066601e-06,8.225003764219054e-06
RS,ground heat pump,0.082922529310332,0.1029062866351022
RS,home battery charger,0.7029987147542213,1.6154831995556982
RS,hydro,0.7901,0.7901
RS,water tanks charger,1.9162152454986487,2.190647486435118
SE,BEV charger,8.21614112,18.486317519999997
SE,H2 Fuel Cell,5.652854542671779e-07,9.289740973175312e-07
