countries,carrier,2030,2030_std,2040,2040_std
SK,gas,24.99999987319873,1.0422835837576702e-08,24.999999973472505,1.8305118540230002e-09
AL,elec,67.52308304088497,16.959164627867743,63.568236623132734,31.28798680934421
AT,elec,65.61125446123712,17.599990118286975,66.76870730141555,31.433180255919105
BA,elec,67.3748787844669,16.74515975133118,65.36578117993753,31.60066221199084
BE,elec,57.493479165153495,23.149842866399947,62.66039821255703,40.84597522544189
BG,elec,66.77498178937074,17.232327388546867,63.11678489046145,30.817278327899505
CH,elec,59.21901768322841,22.737565507841797,61.05000356244723,32.4114614513007
CZ,elec,64.01131453522758,20.53815814524314,65.30928379646504,34.3566541400339
DE,elec,57.593093834428736,23.915277172903973,62.26759656510989,37.70521699622455
DK,elec,42.17250154147018,17.407493466674474,47.11715556538353,26.909793431504692
EE,elec,51.90067389378283,18.692844985552487,52.99365627511302,26.010524103707088
ES,elec,58.32655841893118,27.602511581784455,58.155784804236504,28.71188908609249
FI,elec,36.34969902710926,4.639999051578935,45.63316212672133,11.061784233001251
FR,elec,56.80636964630417,22.253656832110508,57.91271918613385,33.26093288211815
GB,elec,55.13409752481787,32.65852304891254,61.139658475319216,45.58494309569084
GR,elec,66.26253431895674,18.49875348402332,61.84403056346053,31.24392663102137
HR,elec,67.28075590397391,16.760941964948152,66.37832455307688,31.801639739970135
HU,elec,65.850109734205,17.3426615540609,65.85607018003849,32.10378508141105
IE,elec,50.80893307342478,35.770821505758015,61.3071218352234,45.94815620187381
IT,elec,70.48659723280814,21.93336859744955,81.33798380842657,40.00276337966156
LT,elec,51.90067545587048,18.692846694562423,52.969963319018326,26.02555661306702
LU,elec,57.78818869025182,23.27307936698558,62.891767047766926,38.31760722326596
LV,elec,51.900675193943506,18.69284646297877,52.96996319759115,26.02555653612779
ME,elec,67.51316024376935,16.852039963891446,64.25026760129991,31.37615828769398
MK,elec,66.71297707123647,17.648855478849406,63.00202073169665,31.883379057869497
NL,elec,57.50672873956013,23.566800262937413,58.91926048059192,41.08946445135969
NO,elec,35.95012441958531,2.834040559338786,44.704048621596144,4.485567874148777
PL,elec,62.77046505504998,20.579920345703044,62.94114286619596,35.60081160853783
PT,elec,67.59971601069518,18.909948846460622,63.591478634476374,23.741973587620503
RO,elec,66.77403593477791,17.106935556350194,63.29930516034405,30.705591780843672
RS,elec,67.2689264819894,16.99448917710392,63.854479738775055,31.17246116025102
SE,elec,35.772761829468415,3.314683995504931,43.67102623470075,8.744758344764442
SI,elec,67.59738936097662,16.80981376120659,67.98155860004847,31.783566853149317
SK,elec,64.67163550913813,19.277103621054888,65.73794260081789,33.99852084983372
AL,H2,68.16265070255052,2.0146548353946434,78.88870563290989,2.2145711111312347
AT,H2,67.24819029411964,2.973621364866933,75.53768143660511,3.841117852279442
BA,H2,67.12510600117496,2.2837466187096664,78.19190498825144,2.5753608754343578
BE,H2,67.94162309661617,4.8920844991011885,75.37561253740562,4.424873927632782
BG,H2,68.12621345657605,1.9410274536065384,75.1234887712908,2.647045032555367
CH,H2,68.8461098454366,4.193980226364789,77.51819365702278,4.79458263900419
CZ,H2,68.01777350405085,3.687507377083111,74.84711732565736,4.652529476772978
DE,H2,68.94429418783655,4.7885511057234815,76.41819315887243,4.794583606541534
DK,H2,69.33172586227738,4.741668842127185,73.91747315326553,5.664435981780992
EE,H2,68.02536428840358,4.230580949382072,76.6803188012705,4.664532632931064
ES,H2,68.12190878061796,4.218526815636018,76.18161724493812,3.9660304126950168
FI,H2,70.7205172806768,5.961382007127566,76.39959742383986,7.142011047449505
FR,H2,68.76549375229993,4.618472347511105,76.12765759021751,4.131103558027097
GB,H2,68.39647634973431,5.259455742665109,74.96443600541843,5.275798304661332
GR,H2,68.94413465199351,1.8773237404982188,77.36832053863405,2.9551236684792066
HR,H2,68.46531007334303,2.664548407387962,75.96125366289935,3.5637380871021964
HU,H2,67.68127539168248,2.746322689633376,75.11060075436012,3.3985590036365294
IE,H2,69.74109875905765,5.0549699111891,77.89811863688115,8.612208686047342
IT,H2,69.10474016991537,2.396397187540722,79.12180102286725,1.7502227635268015
LT,H2,67.76618531006734,3.344810875329364,74.32407224798872,4.012835285385298
LU,H2,69.25847076790456,4.847122784020807,76.66242691752868,4.192679429695464
LV,H2,67.67979813808954,3.411776068481394,74.82227020075592,4.052390101993906
ME,H2,68.54476855762046,2.1617561691185903,81.00667908387781,2.401078052743867
MK,H2,70.47035238019559,1.9676483951119188,79.48878027657273,2.3203197792725727
NL,H2,68.94429643138669,4.862444209806684,75.31819473814545,4.794584909328245
NO,H2,68.94429918167664,4.487384973820553,75.71692883269328,4.81116477537285
PL,H2,68.70245763655952,3.69010430037733,75.94710410899016,4.652529162771924
PT,H2,62.512154444166576,2.1036431555390855,76.58487051920055,3.2664917885741325
RO,H2,68.9442612292078,1.9387130228508105,76.51663457261735,2.445062790008815
RS,H2,70.47020078220106,2.157204000590939,79.64835332014414,2.542937203137566
SE,H2,71.21052891636096,3.5394610977254333,75.09948248602134,4.795925474318983
SI,H2,68.30323474193575,2.705274397301611,76.07378035389766,3.6265717776494855
SK,H2,68.78028805018374,2.98787626918178,77.76075269798903,3.602524305665591
