countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
CZ,elec,64.56747830019826,18.72114794157596,64.23528920858837,23.584703235040724,66.2662835069486,31.12335112783114,74.24716439578421,48.18202020968648,75.55344365471741,59.46566519375011
DE,elec,60.633178595632785,22.354148585801404,60.57532187024778,26.921382774138436,64.35803337594264,35.3781234658728,71.27600293710888,53.073350772346224,73.36290172350668,64.98986532860634
DK,elec,49.94929464485588,17.28675757487027,46.59169321745772,21.899906797637097,47.9927574503228,28.565232325247823,52.81129943156787,43.14619768108034,54.0290244506422,53.01811433695925
EE,elec,61.099964345175565,16.582856715432253,53.62983258515415,20.02003352932099,49.24037455359316,22.453556894301514,54.19857771530139,30.848543333422008,58.08417368472521,45.52511536346235
ES,elec,55.380610345134514,26.87398318840253,61.08965485300648,29.70733360932527,64.15383887042361,30.190891347646296,68.24660527456888,29.938853405338733,65.89083746458925,32.71187134968024
FI,elec,49.027127252790585,9.762631363706806,46.70291979409847,12.38853057761882,48.54294540569262,13.70007490972371,52.02903161738946,18.121136054268867,49.74968332000097,19.71824931226634
FL,elec,59.30069469526986,22.11568221682276,59.073052397928954,27.757114003917707,63.5595128567146,48.085005890344945,68.50733470603183,56.224791139316416,67.5235217955941,62.823666884608535
FR,elec,54.77112336771607,19.925443123731924,53.982532246726855,23.62706356173884,52.0483458066119,24.981243921701633,51.491638071029186,27.680005176352612,50.56927233111107,27.241108410627984
GB,elec,53.149117515429914,30.57896389955784,52.33794627096529,32.599104815801034,51.320789550931025,34.35525009956433,57.61424068903473,49.72674940284718,56.83173771612399,72.89626128873553
GR,elec,66.5676396405076,21.04043408387663,64.34243406717903,25.995548770854477,62.42109774561098,30.05638508940922,65.63247439048415,39.336729019625416,66.23678869033951,44.10316774973081
HR,elec,69.16255585562851,16.087098074449358,67.49551425117248,21.181543160919915,66.29947943084996,26.817629849654505,71.37121743805366,41.7853778137183,71.4652096414908,47.92876947939579
HU,elec,67.82814176238209,16.478248729791375,66.3991090422714,21.727230776203744,66.2511516732685,27.916459392181117,71.60247419273784,42.55647151181781,71.92785800022864,49.20866098632458
IE,elec,51.59630488873339,32.37590716949142,50.772789689142,34.018202776241885,49.59212689986053,34.52333883522252,57.03911704342489,48.29393069964365,58.46377172832586,93.06963756243108
IT,elec,69.18534123228994,23.224772657534945,70.15238884265774,28.85700285552393,71.8939694645946,33.70273402994533,79.23292690684193,48.08385969310845,77.16134507524933,58.5977853402484
