config,cost_segment,capital,marginal
2050_fr,Storage,4020844592.140593,0.0
2030_de,Distribution,7165308811.6945305,0.0
2030_de,Energy production,58010343918.04741,64550592804.171
2030_de,Storage,3538750751.0097885,0.0
2035_de,Distribution,7579298761.537701,0.0
2035_de,Energy production,60449318683.452965,63769010777.08259
2035_de,Storage,3540250673.3702083,0.0
2040_de,Distribution,8561653218.116917,0.0
2040_de,Energy production,58343956449.26288,58333619122.904816
2040_de,Storage,3548843932.627052,0.0
2045_de,Distribution,9892976396.301296,0.0
2045_de,Energy production,70052212119.97253,47106495758.46854
2045_de,Storage,3575026760.4341145,0.0
2050_de,Distribution,10540125275.370924,0.0
2050_de,Energy production,76606251023.54933,52076362950.03922
2050_de,Storage,3732406620.8661437,0.0
2030_gb,Distribution,4505553732.41859,0.0
2030_gb,Energy production,38093185782.398125,42021296840.9592
2030_gb,Storage,1188240285.0993574,0.0
2035_gb,Distribution,4703379664.149586,0.0
2035_gb,Energy production,48275461791.85768,42143273792.19114
2035_gb,Storage,1208661585.6832554,0.0
2040_gb,Distribution,5887626376.733619,0.0
2040_gb,Energy production,62500221354.31331,35457565576.14142
2040_gb,Storage,1272735443.128659,0.0
2045_gb,Distribution,6387080675.512572,0.0
2045_gb,Energy production,72985403222.25566,29247425357.37108
2045_gb,Storage,1386981153.6490388,0.0
2050_gb,Distribution,6597685176.6087265,0.0
2050_gb,Energy production,84579118017.48332,25104912613.082634
2050_gb,Storage,1540093687.4354105,0.0
2030_nl,Distribution,1730556387.4640179,0.0
2030_nl,Energy production,15209313643.41432,23270563176.58486
2030_nl,Storage,932447480.7939218,0.0
2035_nl,Distribution,1911799015.2464046,0.0
2035_nl,Energy production,18303798560.505577,23544937552.619904
2035_nl,Storage,933256596.1017731,0.0
2040_nl,Distribution,2304904957.2484226,0.0
2040_nl,Energy production,24451151845.513535,21450450463.102448
2040_nl,Storage,942956545.7074286,0.0
2045_nl,Distribution,2590790321.570374,0.0
2045_nl,Energy production,32062844469.162727,19028822582.80198
2045_nl,Storage,983134713.9823763,0.0
2050_nl,Distribution,2728170512.327523,0.0
2050_nl,Energy production,46326937884.72031,18961866853.03166
2050_nl,Storage,1120706956.4925432,0.0
2030_lu,Distribution,90739295.61582252,0.0
2030_lu,Energy production,235825677.9488752,708275919.7102379
2030_lu,Storage,533608128.63681257,0.0
2035_lu,Distribution,99594019.42093652,0.0
2035_lu,Energy production,244612761.67261592,733240420.2368736
2035_lu,Storage,533578449.0821246,0.0
2040_lu,Distribution,106278478.3191212,0.0
2040_lu,Energy production,302649459.192772,695524499.1296196
2040_lu,Storage,533559171.3208729,0.0
2045_lu,Distribution,126893692.62105604,0.0
2045_lu,Energy production,384785037.3863004,568857002.6248975
2045_lu,Storage,533722980.0637794,0.0
2050_lu,Distribution,135952690.71665183,0.0
2050_lu,Energy production,410461524.77444655,527373724.90443397
2050_lu,Storage,533756196.7791746,0.0
