config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_de,Energy production,marginal,29341878339.312733,66695926556.482666,67737629840.936005,61977141512.768814,45958311644.96737,36871456372.69349
prod_de,Energy production,total,72388264509.35825,123852816816.71428,126643336625.08644,119868163355.71854,116373657278.62424,113681911679.83511
sto_de,Storage,capital,1883801574.676827,3542322951.2688246,3547935736.5426326,3555268987.316097,3587585659.596291,3905701660.84482
sto_de,Storage,total,1883801574.676827,3542322951.2688246,3547935736.5426326,3555268987.316097,3587585659.596291,3905701660.84482
distr_de,Distribution,capital,3622817850.951034,6863211982.995934,7146634241.490759,7878873900.08014,9138272016.452568,9823515415.180748
distr_de,Distribution,total,3622817850.951034,6863211982.995934,7146634241.490759,7878873900.08014,9138272016.452568,9823515415.180748
net_imp_de,Net_Imports,H2,0,-99406446.51200113,-16479634.568065941,-194355660.74911267,-21070276.838210344,-217661907.47080156
net_imp_de,Net_Imports,elec,1524575359.8821225,-462126175.960907,1985826895.484005,4408502409.823636,3209164171.9347267,4637427285.778484
net_imp_de,Net_Imports,gas,-852606759.6138926,-598752370.4538538,-436772361.14734447,-326130169.449167,-189258315.85171336,-105795353.47727402
net_imp_de,Net_Imports,total,671968600.26823,-1160284992.926762,1532574899.7685947,3888016579.6253567,2998835579.2448034,4313970024.830409
prod_gb,Energy production,capital,29447596935.942955,37801202066.29812,49667074255.738785,67135499225.5576,80738545585.01149,108145573099.11458
prod_gb,Energy production,marginal,15751968364.682749,43117741936.47483,47883697088.68126,42753344404.10893,35233150341.58776,21014064959.416946
prod_gb,Energy production,total,45199565300.6257,80918944002.77295,97550771344.42004,109888843629.66653,115971695926.59924,129159638058.53152
sto_gb,Storage,capital,571813002.4195865,1181709231.0333276,1200311720.279944,1266449290.4057357,1446073447.5524669,2090232662.0451565
sto_gb,Storage,total,571813002.4195865,1181709231.0333276,1200311720.279944,1266449290.4057357,1446073447.5524669,2090232662.0451565
distr_gb,Distribution,capital,2475037332.905676,4510568124.652998,4609817516.151803,5712242699.766218,6121819723.419575,6425952154.838589
distr_gb,Distribution,total,2475037332.905676,4510568124.652998,4609817516.151803,5712242699.766218,6121819723.419575,6425952154.838589
net_imp_gb,Net_Imports,H2,0,14642746.479284005,-3578506.890234351,4323492.840158798,-18950892.225910325,-824596443.4776244
net_imp_gb,Net_Imports,elec,140157535.9376688,98686192.50864172,138014565.59164584,-133965915.81044292,-929060008.8549554,-1060041339.4700196
net_imp_gb,Net_Imports,gas,75130484.2693372,0,0,77470510.17293067,41615104.25487695,21714073.772677816
net_imp_gb,Net_Imports,total,215288020.207006,113328938.98792572,134436058.7014115,-52171912.79735346,-906395796.8259888,-1862923709.174966
prod_nl,Energy production,capital,9555599085.21165,14606790088.252054,18172598530.028446,24455531375.826443,39589673343.741264,61696289034.25412
prod_nl,Energy production,marginal,7848360174.613577,23317915335.539333,23872159832.829857,22095913568.922104,19217840448.429955,18412599549.91349
prod_nl,Energy production,total,17403959259.825226,37924705423.79139,42044758362.85831,46551444944.74855,58807513792.17122,80108888584.1676
sto_nl,Storage,capital,471313421.61709523,919998851.1309202,921301163.1488504,933870316.8890593,1127588404.9929066,1376978644.7198026
sto_nl,Storage,total,471313421.61709523,919998851.1309202,921301163.1488504,933870316.8890593,1127588404.9929066,1376978644.7198026
distr_nl,Distribution,capital,1052360067.1790537,1746155146.47689,1922176977.682513,2199015814.3495846,2483574388.6362348,2650184007.6254916
distr_nl,Distribution,total,1052360067.1790537,1746155146.47689,1922176977.682513,2199015814.3495846,2483574388.6362348,2650184007.6254916
net_imp_nl,Net_Imports,H2,0,-6989835.393234436,-674236.5081063211,-25172164.734873407,-416365930.1572199,-560145438.5011225
net_imp_nl,Net_Imports,elec,597428898.7244401,-1411843417.2935364,-3681560670.762265,-4272130570.917637,-5759700185.620364,-6814174730.700232
net_imp_nl,Net_Imports,gas,0,0,0,0,0,0
net_imp_nl,Net_Imports,total,597428898.7244401,-1418833252.686771,-3682234907.2703714,-4297302735.652511,-6176066115.777584,-7374320169.201354
prod_lu,Energy production,capital,184552294.0156064,229354746.06899148,239601542.23308253,300152948.2522723,380376895.78020763,409905003.080376
prod_lu,Energy production,marginal,17409030.374184117,719190897.7840466,744721150.894676,696520328.4997789,560121962.3180375,511847941.9651007
prod_lu,Energy production,total,201961324.38979053,948545643.8530381,984322693.1277585,996673276.7520511,940498858.0982451,921752945.0454767
sto_lu,Storage,capital,458659004.8052628,533559955.0790937,533540607.6313826,533584667.29055965,533667738.63227636,533707375.7833953
sto_lu,Storage,total,458659004.8052628,533559955.0790937,533540607.6313826,533584667.29055965,533667738.63227636,533707375.7833953
distr_lu,Distribution,capital,44548525.32554416,85714121.36334983,94673873.0350214,99047361.44859271,118529873.90267794,128125753.32002388
distr_lu,Distribution,total,44548525.32554416,85714121.36334983,94673873.0350214,99047361.44859271,118529873.90267794,128125753.32002388
net_imp_lu,Net_Imports,H2,0,0,18518405.524434324,72145063.76749021,58682242.36583964,51016573.22274502
net_imp_lu,Net_Imports,elec,280959001.78743446,462699688.5709056,510818375.95220953,552132604.9156094,700020610.6812813,731024323.4058838
net_imp_lu,Net_Imports,gas,147873120.85170788,122165475.89588737,130655278.07330775,109323086.52493453,76023510.22224388,54280085.81632842
net_imp_lu,Net_Imports,total,428832122.63914233,584865164.4667931,659992059.5499516,733600755.208034,834726363.2693648,836320982.4449573
