country,sector,year,Curtailment,Available
BG,Hydroelectricity,2030,0.4599880529238186,216708.41938748528
BG,Hydroelectricity,2035,0.0909767560052147,216708.41938748528
BG,Hydroelectricity,2040,1.441051152115444,216708.41938748528
BG,Hydroelectricity,2045,10.492404961917146,216708.41938748528
BG,Hydroelectricity,2050,10.821959006871024,216708.41938748528
BG,Offwind,2023,0.0,0.0
BG,Offwind,2030,0.7912463217892292,5.146858808609823
BG,Offwind,2035,0.5456137507852394,7.548741013770753
BG,Offwind,2040,0.8511151240848014,10.672204036662144
BG,Offwind,2045,0.865697277557888,15.132077587232898
BG,Offwind,2050,24.582473096841422,10134593.418222103
BG,Onwind,2023,0.773928745017042,497001.85055129806
BG,Onwind,2030,2.193017553761372,497003.5114564546
BG,Onwind,2035,2.002443495173779,497004.4657574486
BG,Onwind,2040,3.0277713043908836,497005.68782973266
BG,Onwind,2045,10.53023814255915,151766.42330549593
BG,Onwind,2050,0.3605185611109869,5.386128793516916
BG,Solar,2023,0.6609936177350391,3786313.020371491
BG,Solar,2030,16.709294641155218,12116063.426575882
BG,Solar,2035,298.3674536055757,12997015.252841473
BG,Solar,2040,2497.0035303032073,16434912.306654468
BG,Solar,2045,74267.05683666005,22651061.30668291
BG,Solar,2050,59294.555918758706,22651064.636408713
CH,Hydroelectricity,2023,1.5606821053041529,11903585.117926303
CH,Hydroelectricity,2030,1.1933921700468773,11903585.117926303
CH,Hydroelectricity,2035,1.2621869104069248,11903585.117926303
CH,Hydroelectricity,2040,77211.03502582824,11903585.117926303
CH,Hydroelectricity,2045,56845.87021806836,11903585.117926303
CH,Hydroelectricity,2050,10864.74215347336,11903585.117926303
CH,Onwind,2023,0.3663277121007501,14656.574060307656
CH,Onwind,2030,1.7846273030801296,14656.873699900323
CH,Onwind,2035,1.8026032222170536,14657.013539796091
CH,Onwind,2040,81.38033169352218,14657.182743325448
CH,Onwind,2045,289.3991980532015,8794.6484494653
CH,Onwind,2050,30.04648043254476,5277.1491704954215
CH,Solar,2023,0.7870977692597817,6347270.508246636
CH,Solar,2030,52.65211604152024,7031229.621028979
CH,Solar,2035,15246.290485026364,13776635.748726605
CH,Solar,2040,256847.64231386248,20965864.561633684
CH,Solar,2045,283375.58233128587,22831361.598496895
CH,Solar,2050,185247.3981947345,22818323.119417775
CZ,Onwind,2023,0.784105778934027,501048.6007035204
CZ,Onwind,2030,3.547640568483244,501056.0062475324
CZ,Onwind,2035,2.546665684876972,501060.1113241913
CZ,Onwind,2040,3.258563752023925,468590.456554722
CZ,Onwind,2045,10.062661048846955,186649.75626894363
CZ,Onwind,2050,18.79887124080051,13642154.6313517
CZ,Solar,2023,0.6095055729549479,2395968.8664754946
CZ,Solar,2030,12.46877761628299,2396000.616758032
CZ,Solar,2035,319.334796739666,5264678.724622885
CZ,Solar,2040,8865.870802281805,10832872.240507044
CZ,Solar,2045,75141.77401723825,22201399.066949517
CZ,Solar,2050,88315.91783240596,22201403.918115955
DE,Hydroelectricity,2023,1.5132679802168227,18220736.49081754
DE,Hydroelectricity,2030,0.7825292625052855,18220736.49081754
DE,Hydroelectricity,2035,5180.490369987583,18220736.49081754
DE,Hydroelectricity,2040,452.3217864735944,18220736.49081754
DE,Hydroelectricity,2045,20990.103054351795,18220736.49081754
DE,Hydroelectricity,2050,44755.412136273946,18220736.49081754
DE,Offwind,2023,1.506425760647384,36518678.174686424
DE,Offwind,2030,35.93930754742464,345110919.46309835
DE,Offwind,2035,6611.276063111788,345110979.31202865
DE,Offwind,2040,10014.739426270393,368829132.8403236
DE,Offwind,2045,171014.43214476595,387323366.48192185
DE,Offwind,2050,131073.57283179756,373410041.7552091
DE,Onwind,2023,1.5517990449841492,100963218.01429734
DE,Onwind,2030,14.539542213026536,90883810.1762937
