snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
carrier,Oil,Electricity,Methanol,Centralized heat,Oil,Ammonia,Methanol,Electricity,Decentralized heat,Oil,Hydrogen,Methane,CO2 emissions,Solid biomass,Solid biomass,CO2 emissions,Solid biomass,Electricity,Methane,Electricity,Hydrogen,Electricity,CO2 captured,CO2 captured,Electricity,Electricity,CO2 emissions,Centralized heat,Hydrogen,Oil,Electricity,Centralized heat,Decentralized heat,Oil,Solid biomass,CO2 emissions,Centralized heat,Methanol,Electricity,Electricity,Electricity,Hydrogen,Hydrogen,Ammonia,Solid biomass,Ammonia,Solid biomass,Methane,Electricity,Methane,Methane,Decentralized heat,Methane,Oil
sector,Industry,Industry,Shipping,Industry,Aviation,Industry,Industry,Agriculture,Agriculture,Agriculture,Industry,Industry CC,Industry emissions,Industry CC,Solid biomass methanation,Solid biomass methanation emissions,Industry,Residual electricity consumption,Storage,Compression losses,Methanol production,Methanol production,Methanol production,CO2 sequestration,Hydrogen production,Direct Air Carbon Capture,Direct Air Carbon Capture,Direct Air Carbon Capture,Transport,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Central CHP production CC,Central heat production emissions,Storage charging,Storage,Transport,Hydroelectricity,Ammonia production,Ammonia production,Storage,Hydrogen production,Decentral heat production,Storage,Central CHP production,Central CHP production CC,Battery charging,Decentral heat production,Hydrogen production CC,Storage charging,Power supply,Decentral heat production
2050-12-27 18:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832976529931,29.89192297441155,85.80633442513123,1.506306055966831,0.5179669213052491,2.979778469718133,197.74066345009095,16.15338336821374,1.4699622803476156,174.45039976093753,41.53400879777164,38.017302713210434,17.47431252867457,493.2044585301488,0.297583979798304,0.5410617814514618,0.7574795719513158,67.50552567795444,71.99015850269382,198.4741935107609,129.11431650071998,379.2717899895987,0.0,3.06858612069226,1.0689876079567429,39.86175132246129,35.803878089427954,34.64818080809653,15.41452934841124,8.049027571570358,37.37769212774525,66.74869793358607,6.404380993903129,23.183170446118215,15.608997063740622,15.974208407333585,13.216866109335848,0.08138862991496779,36.30034746558609,0.0021164478031467,0.0176523718146868,2.064988365547263e-05,2.96352818049683e-06
2050-12-27 21:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329765257284,29.891922973705285,85.8063344230822,1.5063060540177549,0.5179669207446752,2.979778471620067,175.44292451009224,42.74971565363046,1.35201274665609,174.45040807349469,41.534010776866104,38.01730452473396,17.292174137305242,490.863433907105,0.2975842833346129,0.5410623333356598,0.7574799799230085,31.52315080732857,33.617346140680496,142.62987234755622,93.42350882565232,273.60740082799964,31.227421574532983,2.547128430583011,0.887330037254395,63.73717516908942,35.80388539433479,83.6662225126033,16.82982643952628,8.00167979669785,37.15782077851925,101.19699330880825,6.404373980950846,11.836275255152543,15.417545221557845,8.56784629943277,13.21686511772146,2.5304419090497103,9.061809182293256,2.558972866304029e-05,13.88224560116656,2.0965980572988252e-05,2.5815578325892905e-06
2050-12-28 00:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329765078277,29.89192297333135,85.80633442201339,1.5063060519032456,0.5179669203711504,2.979778472970648,143.22219291851917,44.55989306420807,1.3434482939667143,174.5098422715803,41.54816116293321,38.03025679026751,17.285656969554378,489.90845041364935,0.2975842146952894,0.5410622085368897,0.7574799429857355,14.463089976198562,15.42392462498796,162.95729552816576,92.22559303883196,270.36640822189975,49.37685697829723,2.5660277229102664,0.8939138789740061,65.6286654450569,35.85611022245884,72.6346522637173,13.14040042323879,8.10545201131293,37.63971326240102,117.01448388165376,6.4043741114419745,16.240088530974965,15.837165853793731,9.897906884890247,13.216866058865977,1.498591277780958,7.243349467422345,2.558971247538047e-05,36.51233176879377,2.1061345468262423e-05,2.633815898360912e-06
2050-12-28 03:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329763825263,29.891922968105575,85.80633440689901,1.5063060445708685,0.5179669185034529,2.9797784861527497,124.45632540444292,13.304108198312283,1.342886050989762,174.39414054380092,41.52061432677754,38.00504235902827,17.64554945134954,488.5146688975398,0.2975834275316593,0.5410607773302895,0.7574788679795025,23.017825014297888,24.5469812215454,238.67183284285804,141.17154520418268,415.02851296973176,40.22007617139816,3.562420375856197,1.241022161862449,36.49306733030436,35.754443115949634,22.451936560880338,4.06034616644843,8.525021118374008,39.5880883636907,105.60308693561414,6.40437506523032,27.515717157685316,17.53376460504299,24.13858961824021,13.216867695391352,0.8015061726153868,39.417529875505394,2.6086885259349052e-05,11.958541694781138,2.1819361190816936e-05,2.9787147849494212e-06
2050-12-28 06:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329762558248,29.89192296465825,85.80633439688778,1.5063060375922028,0.517966917122191,2.9797784951836013,150.9760090506676,9.195224208352808,1.3755326741593334,174.2815962637576,41.49381923130132,37.98051601819494,17.814323097412135,480.11409284463355,0.2975831135867672,0.5410602065213949,0.757478482434388,62.69463758886133,66.85966596018179,253.09491420894193,147.0333563427248,430.7815537582275,0.0,4.045521737564862,1.4093177551853666,27.49769864907351,35.65555045688152,47.18352644434694,0.0,7.340101547572392,34.08561511213966,65.60255670040294,6.40438492462917,26.21347646682092,12.742329065095634,22.764750227906212,13.216867236437,9.342451887898148,43.618521901669666,3.1960014940503084e-05,0.1485294744694198,1.6983761634003915e-05,3.050116007028481e-06
2050-12-28 09:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329762169627,29.891922964407733,85.80633439618258,1.506306029568966,0.517966915921915,2.979778496050636,180.83081836596477,38.76492696606992,1.5293427392217656,174.45075762060733,41.53409399876112,38.017380700187914,14.661990103380925,501.3273584502684,0.2975844417666299,0.5410626213938726,0.7574799395786697,100.02840821861771,106.673652121187,256.3901814656263,131.44132624015867,385.2407638457293,0.0,2.205583077251741,0.7683476383480592,34.828091628782886,35.80419254088402,179.6636598462811,53.361895309071976,6.891360806986755,32.001774163944965,45.61962499621691,6.404386544997217,15.212705606771534,10.927767232070444,8.867250082580298,7.418034563639768e-06,59.46007133233218,26.97098249352886,2.8923830288797663e-05,15.78442035292213,8.759198856546296e-06,2.7427526134664413e-06
2050-12-28 12:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832976205732,29.89192296346288,85.80633439345074,1.5063060281822398,0.5179669157090157,2.979778498168559,177.97249584983223,40.49435263880312,1.4732469729687412,172.95345201667712,41.177608119612586,37.69107866547312,15.659368329224266,494.8386388889647,0.2975842343014218,0.5410622441844034,0.7574797587380461,98.68507648094364,105.2410780654533,217.08949184979764,126.4376461817307,370.90379450127153,0.0,2.2056043742790705,0.7683550128564637,31.941605819783693,34.48851010811329,139.83722640384062,37.46190498458149,4.165967570438047,19.345722433849794,56.3937568306482,6.404386223687185,20.448708580712996,0.0,13.431315741153734,5.249067025896274,58.9887848774652,19.887128048469087,2.867426107629845e-05,6.059213779512176,1.0532797063485702e-05,2.76351954754268e-06
2050-12-28 15:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832975992513,29.891922951932784,85.80633435989628,1.5063060231708474,0.5179669132089824,2.979778528473536,192.99367406667375,19.539662164112716,1.3451159178741028,166.35577959755258,39.60680183498237,36.253273364343514,17.59931909216177,419.0950211755099,0.2975830024832487,0.5410600045149978,0.7574783099190507,84.53328695872544,90.1491346937248,208.3602727707261,135.2003903570543,396.89234850082994,0.0,4.064143672407052,1.4158049796009406,24.19902709540418,28.69113535177708,24.239398206859487,1.5653859446227223,4.314871605462262,20.03719592281788,21.58807456370832,6.404386840692167,25.372549148087195,0.5092905856752769,21.25794818264288,13.216868320400494,0.0704307877771726,33.01352830651247,4.937378029115514e-05,0.1123575872696191,2.2757735885180563e-05,3.0339666213197444e-06
2050-12-28 18:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.4883297599554,29.891922951533623,85.8063343587262,1.5063060251313236,0.5179669135088063,2.9797785296082684,186.7936208419846,17.356062623220517,1.3315747455375415,165.94107578166148,39.508067111752766,36.16289856138141,18.38181748559938,362.3573077548422,0.2975829988665502,0.5410599979391821,0.757478279547545,50.61845192467099,53.9812162133719,228.54016102322515,136.5203941203112,400.1864508814572,10.474908019304277,3.744037536930802,1.3042912037728351,23.02720022749352,28.32673510861397,5.038803825118928,0.8863648102245172,4.72921460923749,21.961302293766007,11.85139260105096,5.596870510022669,27.56087685332276,2.992273975715041,27.503652511795316,13.21686848218966,0.025935976166609215,35.226605597333126,2.6539219275219785e-05,0.1047562327747541,2.2961269099912657e-05,3.0556389310829994e-06
2050-12-28 21:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832975995471,29.891922950909297,85.80633435691986,1.5063060259943255,0.517966913662854,2.9797785310329266,169.843083920904,43.45658724363369,1.319815629310686,163.04916879219869,38.819547678680195,35.53267642610675,18.655829515597873,358.9327820646854,0.29758340038151,0.5410607279663818,0.7574791052719164,27.18046874560556,28.986164221706694,156.7455874884705,99.0101310459943,289.26808300859824,35.37916318970919,4.22733016207282,1.4726534587030546,30.29840521401016,25.78561643707752,51.43546586322467,,2.566658730232891,11.918927965222204,45.41074741263503,5.129177790964709,16.50355122516442,0.0,16.977399477434417,13.216868403405114,2.002018602950261,8.455439843863603,2.5419489824909608e-05,7.550279131229205,2.3331504321720592e-05,2.7852094361707474e-06
