snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
carrier,Oil,Electricity,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Methanol,Oil,Hydrogen,Oil,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Hydrogen,Electricity,CO2 captured,Electricity,Oil,Hydrogen,Electricity,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Industry,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Agriculture,Industry,Shipping,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Methanol production,Methanol production,Methanol production,Decentral heat production,Transport,Transport,Ammonia production,Ammonia production,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Decentral heat production,Storage,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-12-06 15:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083658743,1.5144585105169062,0.906143862454623,0.6581694199932091,3.0929125432585653,0.7107556359006133,0.0789320468683124,0.0187925297594456,0.0172013565098053,1.5922156672421877,4.554837783770001,1.2376758166367363,0.1068806543451015,0.4963273087339859,10.07923514987344,2.488625107262098,3.05782258534241e-07,8.867904886113715,,0.9971329101224694,3.4203710354979202e-06,6.325409592239663e-07,2.7496212079176355e-06,3.311683909285136e-07
2040-12-06 18:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083793642,1.5144585096144552,0.9061438660043624,0.6581695281796803,2.8270347513132137,0.7107556423697524,0.0789313634312587,0.018792367043392,0.0172012075710044,1.5925411262107598,2.4946487344799997,0.6778652843965878,0.1068803158898377,0.4963257370314988,9.967509453892294,2.461039346238505,2.5156326209643585e-07,8.847266718260556,0.0,0.9971329880315484,4.6107154054346326e-06,6.22883834654975e-07,5.722117092298529e-06,3.4249984012823153e-07
2040-12-06 21:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083856082,1.5144585091938043,0.9061438548208108,0.6180351821150046,2.753773651145913,0.7107556224087441,0.2630921454783866,0.0626382713934642,0.0573346564400333,1.1810199487613353,1.1666480298000002,0.317010642651608,0.1068810794570339,0.4963292828485958,6.915673947472157,1.7075224025836624,0.6992027899560401,5.3858324501007395,1.816847445684456,0.9971320928796762,1.3607713384629858e-06,6.326906843195542e-07,4.756290619319632e-07,2.102490034740401e-06
2040-12-07 00:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083844186,1.5144585092260971,0.906143859059488,0.6180354772288362,2.2770673187352903,0.710755630018904,0.2630913167917711,0.0626380740956808,0.0573344758475557,1.1810198137704024,0.530230292945,0.1440782837898915,0.10687998000355,0.4963241772587015,5.803463773356597,1.432910874754481,1.020535632016568,4.13385060139469,3.0265219653228996,0.8189992080849868,1.3607904211265925e-06,2.1883065360723924e-06,4.759953871501792e-07,1.509361061690854e-06
2040-12-07 03:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083752711,1.5144585100446233,0.9061438598059016,0.6180354053226916,1.9643002710187691,0.7107556312491671,0.2630920435208982,0.0626382471189241,0.0573346342208311,1.181019911113566,0.874624481763,0.2376597413794438,0.1068810756018887,0.4963292649462558,9.237919315607714,2.28089905690627,1.3313997679978549,8.273275785494327,0.0,0.9971318430485018,1.3635860887548502e-06,6.216444848258761e-07,4.722153675673187e-07,1.3018878294277751e-06
2040-12-07 06:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.837899408360256,1.514458511586882,0.9061438641500882,0.618034270879253,2.353226569216811,0.7107556386986924,0.26309311688792,0.0626385026714215,0.0573348681355659,1.1810199066871487,2.3947862329999996,0.6507298716898547,0.1068811256068402,0.4963294971568754,9.316412039567268,2.30027939288202,1.4008099186629837,8.335547499445354,0.0,0.9971305145462008,1.1335196586700808e-06,6.230627552250955e-07,4.729803740632382e-07,1.2652606248924262e-06
2040-12-07 09:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083365903,1.514458513798768,0.9061438621157992,0.6180338663738623,2.691791170434663,0.7107556345904588,0.2630936341365693,0.0626386258205227,0.0573349808575688,1.1810225298369086,3.76121091088,1.0220253731665154,0.1068811606515921,0.4963296598960308,8.264987996057455,2.040676334301686,2.1549538182435217,6.9099514640546085,0.0,0.9971254111970564,9.755147389733007e-07,6.317343737621464e-07,4.771361437007558e-07,1.2388853285057528e-06
2040-12-07 12:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083398817,1.514458513586744,0.9061438642875664,0.6180340264259047,2.5882616192050314,0.7107556384994024,0.2630931356622098,0.0626385071412967,0.0573348722269744,1.1810206770146319,3.66371744388,0.995533692866972,0.1068811265161506,0.496329501379488,7.952660987734507,1.9635608763298276,9.203960154103692e-07,6.413496542676919,0.3416859565858467,0.9971304679694568,1.1284509391276175e-06,6.340748340577527e-07,4.772140886147707e-07,1.2310899483729816e-06
2040-12-07 15:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083661113,1.514458511608258,0.9061438728789348,0.6581691141280346,2.7471859726261076,0.7107556541551956,0.0789313097626883,0.0187923542657149,0.0172011958752199,1.1810192450819776,3.1128199772399996,0.8458395644956372,0.106880232976945,0.4963253520045437,8.566575673179385,2.115140185394188,1.516211319025522e-07,7.225368539342574,0.0,0.9971330040829034,4.8947713932134345e-06,6.172128695794721e-07,4.751836708935804e-07,1.2027254078728913e-06
2040-12-07 18:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083788114,1.5144585109533988,0.9061438734478626,0.6581688655602391,2.57905018987893,0.7107556552484887,0.0789312845060083,0.0187923482524804,0.017201190371129,1.1810192334566618,1.7962042562399998,0.488078538737957,0.1068801734685999,0.4963250756625158,8.599782687190581,2.1233392012497223,1.5065720937419985e-07,7.289150757330243,0.0,0.997133010588136,4.981015586742727e-06,6.243306994365312e-07,4.744173222078077e-07,1.190766260922448e-06
