snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Decentralized heat,Methanol,Centralized heat,CO2 emissions,Electricity,Methane,Centralized heat,Ammonia,Electricity,Electricity,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Methane,Electricity,Decentralized heat,Centralized heat,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Heat Pump,Methanol production,Heat Pump,Transport emissions,Offwind,Imports,Waste Heat,Haber-Bosch,Onwind,Solar,Gas Boiler,Decentral heat production emissions,Biomass CHP,Biomass CHP,Gas Boiler,Storage,Hydroelectricity,Resistive heater,Resistive heater,Power supply emissions,Gas,Oil Boiler,Storage ,Storage
2040-12-19 00:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397190090498,0.7412808566890152,0.5464149525253594,0.1411176870563921,0.1585086862577777,0.5454773893004584,5.89791889806762,0.2317798024646516,1.0086340914779155,0.1700713655887298,7.083999839426838,13.79295885826415,0.8376183146085281,0.8789536274669363,4.197850655899038,,3.64550399500664,0.7480655578846819,2.460578406016487e-06,8.003483489064972e-07,0.0581335559479876,,0.032844436058862336,1.3880183482156476e-05,0.5222256239706917,4.429021469173083e-07,8.84452628112965e-07,1.0138237595292334e-06,1.1582547703870528e-06,1.691648414237654e-06
2040-12-19 03:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971899763321,0.7412808568418573,0.5464150376983823,0.1411177091941423,0.1585087290508483,0.5454775434206167,5.845721375009875,0.2317797716066713,0.9975962404190832,0.7915711278335366,7.083999543725842,14.004693870902427,0.8376182751163372,0.8789535933758772,4.107750987893738,,9.042229271768958,2.0853672319958942,2.362668293706906e-06,7.684212556356446e-07,1.3270657678349036,,0.03316520158771259,1.2945676416922832e-05,0.5647756713267293,4.4518549776510856e-07,8.918338824101456e-07,9.98368632703599e-07,1.021255637882194e-06,1.6709734940649623e-06
2040-12-19 06:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971896864596,0.7412808572112506,0.5464159101095727,0.141117935808103,0.1585094282206887,0.5454801178679158,5.800344414977124,0.2317793684049391,0.988957441189259,1.7284129112913214,7.083983786466187,14.158300209022253,0.8376178978332697,0.8789532722390002,3.637691153768451,0.26631199239382597,9.560478948333262,2.211540888395248,3.665128259847872e-06,1.1920470164263812e-06,1.437081696280284,0.0,0.0334066384366658,1.2558592012343593e-05,0.5784579804235295,4.869076341505877e-07,1.0271335233556133e-06,9.98565357868921e-07,1.0251451738063728e-06,1.6712675002996443e-06
2040-12-19 09:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971893647411,0.7412808576199035,0.546415915548854,0.1411179372208742,0.158509430684788,0.5454801266719038,5.74292664862895,0.2317792217706766,0.9772322540747924,1.533560478450893,6.706609820738222,14.2224477266368,0.8376177779384714,0.8789531675005124,2.3394843226532003,5.090342725545268,7.606529702115249,1.735371111020751,5.8560256918552446e-06,1.9047430606272085e-06,1.019879765389748,1.5676625482671964,0.03357308592694594,0.3327202207965427,0.5989270942780803,5.131556452572317e-07,1.1168217637254828e-06,1.0082258474329952e-06,1.0441877985987535e-06,1.6856193351203707e-06
2040-12-19 12:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971892599743,0.741280857742441,0.5464160236848281,0.1411179653089796,0.1585094904054703,0.5454803427353618,5.756211619291953,0.2317788698683017,0.9792581043115474,1.8128151275597224,5.135688687222532,14.277062931101732,0.8376175027975639,0.8789529312843252,1.2022074776932523,6.631835957427029,6.983907406526391,1.5837462748627273,3.882211043922416e-05,1.2630559318671212e-05,0.8874945479040792,2.0420735241768924,0.03366966515214039,0.406608694546257,0.5989658074195505,5.488962201695602e-07,1.2473768759358655e-06,1.0095276969542865e-06,1.042801966981437e-06,1.6735246203843311e-06
2040-12-19 15:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971897498329,0.7412808571329531,0.5464162650799379,0.1411180280374914,0.1585096107206816,0.5454807752161538,5.546631483972286,0.2317755381188209,0.9363771430130255,2.0393059596949534,5.031159670177552,14.369596053104294,0.8376139911376767,0.8789496503510742,0.8297081759938187,,8.342520400289056,1.8472719481722826,0.8873252673679501,0.2887715720558488,0.8227068846844908,2.248866878932951,0.950915589518004,4.046591605679056e-06,2.134295292031503e-06,6.670297832081828e-07,1.7406001052801495e-06,9.976831691574895e-07,8.634312806590249e-07,1.6596722025188485e-06
2040-12-19 18:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971900587738,0.7412808567558041,0.5464151727875017,0.1411177443091391,0.1585088338820943,0.5454779288744456,5.358093998577773,0.2317787017829361,0.8975730271815231,1.0330587785922347,6.980312031001213,14.446144688593824,0.837616975612533,0.8789526963929127,1.1419724312720465,,8.391950930547658,1.8582927928901078,0.8871084331360749,0.2887005925031405,0.827877027756117,1.6493046810763925,0.7648023284982302,4.027693038349017e-06,2.1209588613375755e-06,6.678135070054978e-07,1.7435108620518949e-06,9.984946823295102e-07,8.534315779551768e-07,1.6550949584774576e-06
2040-12-19 21:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971901740837,0.7412808566109339,0.5464149762692594,0.1411176932220113,0.1585087332608036,0.545477566258447,5.290158532367157,0.2317792962622122,0.8837619390347523,0.4179065920151478,7.078785468477854,14.537727285295883,0.8376177642543029,0.8789532073759825,1.5740498141587609,,4.611475121404999,1.0556000798975538,0.0260344026686018,0.008521783170358,0.6434370589608513,,0.033702884594008234,1.1500252958932889e-05,0.1229228459808596,6.060269805368153e-07,1.4746121722671626e-06,1.014037055591774e-06,9.151430664899266e-07,1.6522623528328528e-06
2040-12-20 00:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971901359323,0.7412808566575372,0.5464149763897208,0.1411176932529518,0.1585087330918338,0.5454775655774922,5.321489885707653,0.2317793406602042,0.8902816771331917,0.1879721585827179,7.050276102804907,14.760683066464091,0.8376178295956607,0.8789532473650981,1.9962682273064472,,6.081229833238378,1.41738343336355,0.0330519450696335,0.0108188944832016,0.9763797890571676,0.7273608623736638,0.03370808429915124,1.142807465835196e-05,0.1410616347359678,5.930722647263475e-07,1.421130187117252e-06,1.0096731094075326e-06,9.078592140283656e-07,1.6192503406404515e-06
2040-12-20 03:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971899700094,0.7412808568655822,0.5464151005342187,0.1411177255176627,0.1585087963204872,0.5454777934086478,5.323965383128027,0.2317792555749717,0.8904088295077958,0.7879386006881994,6.822023537835001,15.08258902112144,0.8376178073115218,0.8789532200321964,1.6437573244803905,,12.630208422642108,3.041912203914176,0.0596376185422519,0.0194810044776748,2.5241198599808863,8.542432972176432,0.03371297178247847,0.2186127939668309,0.2134337829886024,5.864149135710044e-07,1.3945406733948914e-06,1.051705079823272e-06,1.0002250190840451e-06,1.8111501268817715e-06
