country,carrier,2030,2035,2040,2045,2050
EE,ground heat pump,0.0439825215406329,0.0440528119437051,0.0440531997847922,0.0476822507078295,0.097119857663913
EE,home battery charger,5.342659295367715e-06,9.043732286433048e-06,1.6272131997459678e-05,1.9525776063893308e-05,1.8669823901454565e-05
EE,water tanks charger,1.713935984018541,1.4204442590890372,1.3718501756702297,1.5680755096324723,2.0651402846062696
ES,BEV charger,50.65767403399999,80.166998714,109.430412355,120.00458703199998,130.578761709
ES,H2 Fuel Cell,1.1532428730451132e-06,1.6734326555333558e-06,2.220407677601157e-06,2.4961828118433623e-06,2.8301582535558528e-06
ES,PHS,8.87075,8.87075,8.87075,8.87075,8.87075
ES,air heat pump,1.210142367479781,1.3825712721018788,2.63363715638257,4.577684821744162,5.4361295351846834
ES,battery charger,1.1318209996733772e-05,1.6844779643525134e-05,2.35158676145715e-05,2.6968394077928503e-05,2.4076457354456693e-05
ES,ground heat pump,0.6320502578816622,0.643165241475931,0.994893796282918,1.274033499776963,1.3461957917551743
ES,home battery charger,2.859546136465079,3.9077954219537223,16.640497557881467,20.84515367249332,24.75576897345716
ES,hydro,14.975837,14.975837,14.975837,14.975837,14.975837
ES,water tanks charger,7.209406870815313,8.277131324482035,17.41519835461428,25.64176262197532,28.85340852999073
FI,BEV charger,7.381678545999999,11.681685466,15.945858994999998,17.486694807999996,19.027530620999997
FI,H2 Fuel Cell,5.935810394151014e-07,8.458747261544644e-07,1.1142481318111146e-06,1.2437231216955629e-06,1.3935096631972823e-06
FI,air heat pump,0.4531514287248308,0.4818529720780886,0.553279812631582,0.8665437079401498,0.866544736601982
FI,battery charger,4.277854446808856e-06,6.340171089173672e-06,8.736266647748277e-06,9.707854059773257e-06,6.440528092019774e-06
FI,ground heat pump,0.3821626115459276,0.3821651757947567,0.4090917319269322,0.5425296957589772,0.5425301530810175
FI,home battery charger,5.673017819138545e-06,9.52623292673046e-06,1.6761426280202595e-05,2.004002417474667e-05,1.800441792567291e-05
FI,hydro,1.2959,1.2959,1.2959,1.2959,1.2959
FI,water tanks charger,6.801687312168464,3.878366050936699,4.878212019433143,5.40530401621278,8.793126943368573
FL,BEV charger,7.1536283050053635,11.320790424425963,15.453226192851393,16.946459285643773,18.439692378436156
FL,H2 Fuel Cell,6.152309973051556e-07,8.813406340692864e-07,1.1795161719761176e-06,1.3405170349850865e-06,1.5470701333208435e-06
FL,air heat pump,1.111272960158468,1.174441597494721,1.2643011167085183,2.2026276284814963,2.6894594868642123
FL,battery charger,3.857095072551256e-06,5.757526215752767e-06,8.030772272943085e-06,9.058929696742351e-06,6.373868825244977e-06
FL,ground heat pump,0.1246432075976996,0.1246469039331591,0.1347767936290088,0.1660696946977952,0.171057269150491
FL,home battery charger,5.044434946303575e-06,8.623435855488154e-06,1.6359666104056282e-05,0.0001134829305833,0.162084021612358
FL,water tanks charger,8.633365685059381,4.682939512683806,8.005158792514592,9.662125952878675,11.607904519939517
FR,BEV charger,73.250716,115.921036,158.23577,173.525968,188.816166
FR,H2 Fuel Cell,5.991981287574985e-07,8.606250037174422e-07,1.1329614620197892e-06,1.2610125946808692e-06,1.4211602622690809e-06
FR,PHS,4.9763,4.9763,4.9763,4.9763,4.9763
FR,air heat pump,6.109817767113746,6.493859621009391,10.093918128644924,15.539942095550542,16.873791763879392
FR,battery charger,4.716968696003166e-06,6.9180981615914495e-06,9.507223967118166e-06,1.054097588112924e-05,6.918881603911174e-06
FR,ground heat pump,1.6078168978087282,1.6078186919627349,2.675747380364959,3.602075433535112,3.7241549545396255
FR,home battery charger,5.973368463177126e-06,1.008680811610177e-05,1.7898731593171928e-05,2.154073133931407e-05,1.977704901534919e-05
FR,hydro,8.329492993630572,8.329492993630572,8.329492993630572,8.329492993630572,8.329492993630572
FR,water tanks charger,65.13994583996272,42.78650712248322,50.689249745389304,68.11520170191038,72.7830577138968
GB,BEV charger,68.54734748399999,108.47784116399998,148.07558072999996,162.38400763199996,176.69243453399997
GB,H2 Fuel Cell,1.2067717903553716e-06,1.7276253179232289e-06,2.278987529343624e-06,2.577917380390444e-06,2.9779596726369793e-06
GB,PHS,0.44,0.44,0.44,0.44,0.44
GB,air heat pump,10.82807189188138,10.828091636107423,15.796946958813178,17.073604465719026,17.073609972301295
GB,battery charger,8.762859447464241e-06,1.3003486866643534e-05,1.7975511718608083e-05,2.008029402064337e-05,1.3769665867512068e-05
GB,ground heat pump,4.2696419858636245e-06,5.771907133239919e-06,1.6296302588122152e-05,0.462716712861953,0.4627182307824021
GB,home battery charger,1.1244164064377057e-05,1.9031300201861445e-05,3.494116215792786e-05,0.0018087181407786,0.2295305952148033
GB,hydro,0.2283,0.2283,0.2283,0.2283,0.2283
GB,water tanks charger,26.645697149261046,31.04826316492683,50.86305337256402,58.4788287749565,75.11099058272816
GR,BEV charger,11.562434949999998,18.29783395,24.977104625,27.3906226,29.804140575
GR,H2 Fuel Cell,6.051570076382253e-07,8.706735846237123e-07,1.146312631439021e-06,1.2874945229664197e-06,1.4711000464686904e-06
GR,PHS,0.699,0.699,0.699,0.699,0.699
GR,air heat pump,0.441558391452918,0.4445336181001734,0.6401069192772982,1.011021248109233,1.1489559532129756
GR,battery charger,4.140788798945243e-06,6.244097863262571e-06,8.828994929591314e-06,1.0007911639158903e-05,7.34516096496368e-06
GR,ground heat pump,0.1685747864687637,0.1685839342232636,0.1941251725540138,0.2671163781150438,0.3022834334369143
GR,home battery charger,0.5216556397199276,0.6506458697457529,3.0874942535214753,3.330567418195762,3.2288612538292196
GR,hydro,2.566,2.566,2.566,2.566,2.566
GR,water tanks charger,3.5815431921306935,3.6773985475903785,5.189922753246474,5.886640811085888,6.310213672969852
HR,BEV charger,3.398551332,5.378289972,7.34153079,8.050937136,8.760343482
