country,sector,2030,2035,2040,2045,2050
AT,Gas CC,1.0976744390033293e-06,1.5692871335135565e-06,2.05776339544501e-06,2.3093413205285304e-06,2.6099994312917886e-06
AT,Gas CHP,1.2798771011304368e-06,1.8744960948435224e-06,2.543679295240203e-06,2.8298515063462428e-06,3.1753044304722315e-06
AT,Gas CHP CC,6.623018848722249e-07,9.1188919803406e-07,1.1888755756073211e-06,1.511802456431908e-06,1.908056099126568e-06
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Hydrogen turbines,1.365458764805798e-06,1.987399411496818e-06,2.685809397697852e-06,3.000751160585491e-06,3.4338676092925376e-06
AT,Micro gas CHP,1.0644355605613969e-07,1.5285435263851366e-07,2.010375467253399e-07,2.231099128062846e-07,2.4882565973423994e-07
AT,Nuclear,7.604074595469166e-07,1.1714363872326682e-06,1.7226384820913829e-06,2.143627902688131e-06,2.9953730542547956e-06
AT,Oil,1.0203619755277973e-06,1.497496163465163e-06,2.0418611921519176e-06,2.2601241508405636e-06,2.488488757045159e-06
AT,Onwind,3.927238371390571,3.9272393946498423,3.15202202829832,2.961414132913239,1.4885181397983338
AT,Solar,8.758115227850494,16.192717334721134,24.093867888722286,24.09387059035889,24.071874394731427
BA,Battery,2.3411589181602195e-05,0.0479665760442874,0.1050443476876997,0.4216571388392479,1.1098315590252406
BA,Biomass CHP,0.0482330525928318,0.0626606366046748,0.0773936308627845,0.0865493918455786,0.0989382215451442
BA,Biomass CHP CC,1.9226001511145146e-07,2.7099686204499225e-07,3.481762135463743e-07,4.312420793435669e-07,9.605885892012863e-07
BA,Coal/Lignite,0.5690008115459327,0.3000011201267403,0.3000014498804232,0.3000015912139608,0.3000017411615985
BA,Fuel Cell,2.936721770468212e-07,4.24655543183403e-07,5.614585723207039e-07,6.329671716727931e-07,7.282201640415275e-07
BA,Gas,2.808675144248287e-06,3.991475608681838e-06,5.273123132022717e-06,5.820657683938248e-06,6.415006755963662e-06
BA,Gas CC,1.1077300603627584e-06,1.5678603599670884e-06,2.047368602573128e-06,2.2790105256248127e-06,2.543656814537405e-06
BA,Gas CHP,1.1954213005637377e-06,1.775119176619321e-06,2.4179432539443556e-06,2.677723062770567e-06,2.9740521248022304e-06
BA,Gas CHP CC,5.7474260802192e-07,8.168622198627725e-07,1.0700127282354918e-06,1.2966826274782428e-06,1.5545364658479337e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Hydrogen turbines,1.3642810372205216e-06,1.983139945004417e-06,2.674901822437634e-06,2.97877245390777e-06,3.3601708858864337e-06
BA,Micro gas CHP,1.060808872701729e-07,1.518060281795747e-07,1.9825070918748478e-07,2.1978993324784762e-07,2.448160952317006e-07
BA,Nuclear,7.956649756225046e-07,1.213066300987793e-06,1.7405003137364935e-06,2.0741085960432317e-06,2.5193347511266964e-06
BA,Oil,1.019645753156885e-06,1.4968525673066276e-06,2.0400715172627137e-06,2.2583474702631876e-06,2.4865842362981857e-06
BA,Onwind,0.1347012442814843,0.1347017084036059,0.1347024637111615,0.1347027864574044,0.134703321159061
BA,Solar,1.4270804306613598,3.714954116347467,4.950230252571728,5.318280797523919,8.060746258544949
BE,Battery,2.653072272548346e-05,4.282138664849799e-05,7.38473022867408e-05,0.0031584327493941,0.3994488135492408
BE,Biomass CHP,0.4748384551802477,0.4716699418161959,0.4855653526298096,0.485565888722932,0.4855664893971925
BE,Biomass CHP CC,5.608152536936034e-07,7.94551497526132e-07,1.029396440791168e-06,1.162379502477238e-06,1.3210119480075107e-06
BE,Coal/Lignite,2.226051984019189e-06,3.13842619525977e-06,4.159315117253798e-06,4.592310843618792e-06,5.052099947487177e-06
BE,Fuel Cell,9.13997856734624e-07,1.311791337128835e-06,1.7580298009986102e-06,1.997915487552792e-06,2.310084415201627e-06
BE,Gas,4.232308277929692,3.142511902167006,1.9492170704588656,1.4502197377502526,1.0640223825770825
BE,Gas CC,3.137295579015292e-06,4.52453159193762e-06,6.153910166319515e-06,7.002648936845353e-06,7.980391182058612e-06
BE,Gas CHP,3.854819052202233e-06,5.747244138122727e-06,9.625235386831464e-06,1.1314423042135357e-05,1.3664792980007787e-05
BE,Gas CHP CC,1.84334817038134e-06,2.6109942934755726e-06,3.6701464839295233e-06,1.3474428317272968,1.347445179146509
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907
BE,Hydrogen turbines,3.982467300675108e-06,5.840366962203195e-06,8.17897403400308e-06,9.374218110185918e-06,1.1157994925858053e-05
BE,Micro gas CHP,3.150523054310875e-07,4.5385034699733713e-07,5.971193345734985e-07,6.629908126651005e-07,7.383151148815547e-07
BE,Nuclear,2.077000031686174,2.0770010941142467,0.0210027938238096,0.0210038681207346,0.0210050057028462
BE,Offwind,7.999999733002611,7.9999999912369315,7.99999999138973,7.999999936104124,7.99999998562243
BE,Oil,2.944281521335602e-06,4.34126441510466e-06,6.065692725826396e-06,6.7025600529069465e-06,7.366558153013783e-06
BE,Onwind,4.200001723315435,4.200024772456915,4.200000578208588,4.200003079141505,4.782220464285638
BE,Solar,8.547291834792226,10.07019348741188,24.37242173580745,30.46267260054867,30.462705580689462
BG,Battery,1.574779977270631e-05,0.1324242685373131,0.4896549935584599,2.2741296680532215,2.2742507635533875
BG,Biomass CHP,0.5336040750633774,0.5336047388419968,0.5336052910396891,0.5336055612191739,0.5336058223281841
BG,Biomass CHP CC,1.909756589644638e-07,2.680294430396313e-07,3.4416523790953733e-07,4.458787437875507e-07,2.805694084965725e-06
BG,Coal/Lignite,1.615554549546839,1.6155548613197692,1.615555190094217,1.615555331800213,1.6155554814159931
BG,Fuel Cell,2.989226665402935e-07,4.272030794183105e-07,5.596387942188417e-07,6.224206019447943e-07,6.947155116851741e-07
BG,Gas,3.149224637040691e-06,4.456496205401781e-06,5.777154861025679e-06,6.346488946945563e-06,6.938381901080414e-06
BG,Gas CC,1.1437351693777063e-06,1.629098057883432e-06,2.1163356909205627e-06,2.3539419279716313e-06,2.617569603155783e-06
BG,Gas CHP,1.2474709402924442e-06,1.8020720278445329e-06,2.41351070431784e-06,2.6564065101741303e-06,2.9241428233585475e-06
BG,Gas CHP CC,5.646830520144978e-07,7.895250734197873e-07,1.020857600477942e-06,1.1394083461370415e-06,1.2738458596723398e-06
BG,Hydroelectricity,2.89954,2.89954,2.89954,2.89954,2.89954
BG,Hydrogen turbines,1.3851026020749946e-06,2.012586864930873e-06,2.707627623029894e-06,3.014002729680532e-06,3.3843615217063897e-06
