config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
sto_be,Storage,total,497789659.30464935,498565473.9689011,500408313.6547838,502604687.04323274,525007015.4399713
distr_be,Distribution,capital,1182266051.7962139,1311336907.270941,1483914610.705466,1720863471.6092455,1877085666.9010856
distr_be,Distribution,total,1182266051.7962139,1311336907.270941,1483914610.705466,1720863471.6092455,1877085666.9010856
net_imp_be,Net_Imports,H2,9786269.657375358,-11522016.568009052,21805901.120415285,8854657.169147804,21784575.826781116
net_imp_be,Net_Imports,elec,1930981992.2955995,2633987424.2836933,3443439549.1956286,4158871918.4742866,4630938167.841272
net_imp_be,Net_Imports,gas,-164975983.26426816,-147622137.61156183,-113474876.61377469,-2722876.0069480836,23166848.176477358
net_imp_be,Net_Imports,total,1775792278.6887066,2474843270.1041226,3351770573.702269,4165003699.6364865,4675889591.844531
prod_fl,Energy production,capital,5122481911.344969,5229782661.109408,5034712693.923814,5779515506.71231,5945552607.777208
prod_fl,Energy production,marginal,11506281063.880157,11573695227.782768,10857522287.985695,9941796108.281874,9535830057.357439
prod_fl,Energy production,total,16628762975.225126,16803477888.892178,15892234981.909508,15721311614.994183,15481382665.134647
sto_fl,Storage,capital,176812804.98095825,177110473.79649186,178362798.3883506,179496269.67855,189236065.48953325
sto_fl,Storage,total,176812804.98095825,177110473.79649186,178362798.3883506,179496269.67855,189236065.48953325
distr_fl,Distribution,capital,710104266.8969245,787568540.6810576,893257739.6632732,1025454713.6721556,1112621428.020169
distr_fl,Distribution,total,710104266.8969245,787568540.6810576,893257739.6632732,1025454713.6721556,1112621428.020169
net_imp_fl,Net_Imports,H2,-50606441.90166637,-58790523.04231985,-20088991.19276451,-46464564.20508348,-252746.16461335868
net_imp_fl,Net_Imports,elec,423595530.85725045,843001962.1926308,1325108142.4730773,1813496133.0321655,2133069329.3146968
net_imp_fl,Net_Imports,gas,-868127134.7317086,-783716459.1052461,-659286807.300111,-441077034.1412362,-275762881.32305753
net_imp_fl,Net_Imports,total,-495138045.7761246,494980.04506480694,645732343.9802017,1325954534.6858459,1857053701.827026
prod_fr,Energy production,capital,61749752332.24331,66365896761.874886,77723942549.64049,97145858026.46101,109789340540.18135
prod_fr,Energy production,marginal,44864388556.14453,45132754146.677,40586360533.68567,32433719410.88611,28381576350.11697
prod_fr,Energy production,total,106614140888.38785,111498650908.55188,118310303083.32616,129579577437.34712,138170916890.2983
sto_fr,Storage,capital,3971749735.9574494,3976239201.950734,3984966664.333223,4008544574.214242,4014024603.346815
sto_fr,Storage,total,3971749735.9574494,3976239201.950734,3984966664.333223,4008544574.214242,4014024603.346815
distr_fr,Distribution,capital,5772597867.99484,5972554403.510282,6659850337.253474,7418619422.257878,7889966032.641414
distr_fr,Distribution,total,5772597867.99484,5972554403.510282,6659850337.253474,7418619422.257878,7889966032.641414
net_imp_fr,Net_Imports,H2,-24992535.004020397,-30106612.72433434,-112980433.39950383,-157211336.27188435,-128560236.25309531
net_imp_fr,Net_Imports,elec,-8277950231.096676,-7756365049.165719,-7344611450.690327,-6050328074.202529,-5246464206.47455
net_imp_fr,Net_Imports,gas,-618042604.0215545,-528366233.5669439,-465838882.933728,-272427212.53320307,-200198976.24342883
net_imp_fr,Net_Imports,total,-8920985370.122252,-8314837895.456998,-7923430767.023559,-6479966623.007616,-5575223418.971075
prod_de,Energy production,capital,57997653615.226524,60174391673.17631,58481339956.818756,68458050304.05911,74490199549.24152
prod_de,Energy production,marginal,64572576873.36924,65476208233.01584,60241871466.34374,51209883301.26874,48338785251.4612
prod_de,Energy production,total,122570230488.59576,125650599906.19214,118723211423.1625,119667933605.32785,122828984800.70271
sto_de,Storage,capital,3517887024.7740006,3524151425.9404564,3532424943.53024,3552980786.7598567,3824653742.9196453
sto_de,Storage,total,3517887024.7740006,3524151425.9404564,3532424943.53024,3552980786.7598567,3824653742.9196453
distr_de,Distribution,capital,7166017751.251748,7511306239.147798,8456929751.620542,9582017519.064632,10194716787.97257
distr_de,Distribution,total,7166017751.251748,7511306239.147798,8456929751.620542,9582017519.064632,10194716787.97257
net_imp_de,Net_Imports,H2,-101707579.8049922,-113408460.39056088,-260730429.96231228,51352546.49399227,-133740514.67978518
net_imp_de,Net_Imports,elec,-29134392.519405365,2198867129.8416843,4546332833.870466,3653029473.7456913,5164773517.988941
net_imp_de,Net_Imports,gas,-599962154.6125062,-461395029.8456091,-321744123.95146006,-188369655.8541115,-115970742.83164509
net_imp_de,Net_Imports,total,-730804126.9369037,1624063639.6055143,3963858279.956694,3516012364.385572,4915062260.477511
prod_gb,Energy production,capital,38126901136.55846,50075846859.88653,67230053897.434204,76795445946.87202,93279109564.0252
prod_gb,Energy production,marginal,42110687817.85288,47341237580.3462,41363771394.00341,36530593883.03644,26585189917.9974
prod_gb,Energy production,total,80237588954.41135,97417084440.23273,108593825291.43762,113326039829.90846,119864299482.02261
sto_gb,Storage,capital,1191084986.6822603,1209769449.5086734,1280691536.3815477,1398069137.4699776,1574118371.1677768
sto_gb,Storage,total,1191084986.6822603,1209769449.5086734,1280691536.3815477,1398069137.4699776,1574118371.1677768
distr_gb,Distribution,capital,4503026688.097182,4608982431.07817,5779390670.431879,6131804437.28242,6405480635.492816
distr_gb,Distribution,total,4503026688.097182,4608982431.07817,5779390670.431879,6131804437.28242,6405480635.492816
net_imp_gb,Net_Imports,H2,7898259.086846035,993689.9894142672,4888997.065443102,-395210951.0189566,-262296667.47882098
net_imp_gb,Net_Imports,elec,147038758.9266826,134587767.5808525,-244118395.01170254,-789898335.8488514,-975908988.6243367
net_imp_gb,Net_Imports,gas,0,0,69077895.24802095,43045424.1362776,25307067.22124125
net_imp_gb,Net_Imports,total,154937018.01352862,135581457.57026678,-170151502.6982385,-1142063862.7315304,-1212898588.8819165
prod_nl,Energy production,capital,15174853080.111807,18306804067.37564,24675343422.879444,33707087559.742165,47365338121.985565
prod_nl,Energy production,marginal,23230555054.577717,23805027836.480778,21633733580.43503,19257872986.632206,18987413328.645332
prod_nl,Energy production,total,38405408134.68952,42111831903.856415,46309077003.314476,52964960546.374374,66352751450.6309
sto_nl,Storage,capital,923570870.5799422,924787895.1822721,934313918.951136,1006840412.0597728,1097122151.2122228
sto_nl,Storage,total,923570870.5799422,924787895.1822721,934313918.951136,1006840412.0597728,1097122151.2122228
distr_nl,Distribution,capital,1732518675.5881114,1899563144.5694516,2259212209.772112,2487756499.385909,2627085152.9669
distr_nl,Distribution,total,1732518675.5881114,1899563144.5694516,2259212209.772112,2487756499.385909,2627085152.9669
net_imp_nl,Net_Imports,H2,0,-9153961.001187488,-83673272.857903,-69356498.05882195,-206506061.40838024
net_imp_nl,Net_Imports,elec,-2058255880.5375803,-3851718492.2246633,-4280758718.134536,-5080170392.09904,-6701352898.007183
net_imp_nl,Net_Imports,gas,0,0,0,0,0
net_imp_nl,Net_Imports,total,-2058255880.5375803,-3860872453.2258506,-4364431990.992439,-5149526890.157862,-6907858959.415564
prod_lu,Energy production,capital,235941555.98558575,244341439.26392478,295465338.44000506,375138565.69936097,403311110.0295601
prod_lu,Energy production,marginal,706358303.1144414,732080184.9660213,689102193.775603,558406828.64167,514919569.86544013
prod_lu,Energy production,total,942299859.1000271,976421624.2299461,984567532.2156081,933545394.341031,918230679.8950002
sto_lu,Storage,capital,533592297.32096905,533606631.5389483,533542003.26233155,533733882.0134158,533708189.6514599
sto_lu,Storage,total,533592297.32096905,533606631.5389483,533542003.26233155,533733882.0134158,533708189.6514599
distr_lu,Distribution,capital,90481209.93050674,98324479.62563702,104105355.89066492,121187959.46775879,130738393.33605096
distr_lu,Distribution,total,90481209.93050674,98324479.62563702,104105355.89066492,121187959.46775879,130738393.33605096
net_imp_lu,Net_Imports,H2,0,17865728.318422183,79369904.0989849,74311627.45121253,59806639.050757006
net_imp_lu,Net_Imports,elec,469792274.8033638,519702339.4079271,562138487.8385606,679771414.1619226,717083609.7970812
net_imp_lu,Net_Imports,gas,121847625.00990677,125581493.38198304,111080901.79118437,80976853.87602147,60033357.62802751
net_imp_lu,Net_Imports,total,591639899.8132706,663149561.1083323,752589293.72873,835059895.4891566,836923606.4758658
