snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
carrier,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Oil,Electricity,Oil,Oil,Hydrogen,Methanol,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Electricity,Oil,Hydrogen,Decentralized heat,Centralized heat,Electricity,Hydrogen,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Industry,Agriculture,Shipping,Industry,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Ammonia production,Ammonia production,Transport,Storage,Decentral heat production,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-06-17 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717577081,1.818872837466147,0.6787251098449402,0.6272586118915485,2.751461040242403,0.0813084738818759,0.5430821892553581,1.34704755464,0.151164937553501,0.9901884707470184,0.244483619300561,3.1693655642549744e-06,1.4717749348930092e-05,2.811963336964307e-07,1.1566550317832445,9.281322692728293e-07,2.7476275112433e-07,8.962933962850893e-07,9.76545010220043e-07,1.9981745650496762e-07,1.9986176156750334e-06
2040-06-17 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717444333,1.8188728374712575,0.678725212136146,0.6272591685433848,2.414534695131981,0.0936806557841896,0.48957765951859755,0.481631886153,0.054048466027172,0.9901884707470184,0.244483619300561,0.0668604633245917,0.310483445539673,3.3228934085379365e-07,1.127579898763026,9.300879345793745e-07,2.720468645835362e-07,8.52094826366538e-07,9.451567656739448e-07,2.0036686767567385e-07,2.385038837111234e-06
2040-06-18 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717398901,1.8188728374718064,0.6787253261198852,0.6272596079784155,2.159568744641034,0.0936843726889772,0.5013230538853157,0.453906690585,0.0509371597913346,0.9901884707470184,0.244483619300561,0.0675727019622517,0.3137909055133436,2.940261614697292e-07,1.1137866949061428,9.523586200277311e-07,2.829230755678661e-07,8.820293014017823e-07,7.781544939753487e-07,2.0290292830671733e-07,2.1296726429894816e-06
2040-06-18 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717461002,1.8188728374676235,0.678725381182448,0.6272585399573298,2.4944213930201196,0.0936850706798435,0.49617419427391124,2.97247460463,0.3335694693471752,0.9901884707470184,0.244483619300561,0.0776290057101225,0.3604898914577628,2.857459915456364e-07,1.1015247246248183,9.645192029453962e-07,2.872495638797741e-07,8.906053210006365e-07,7.35150835126103e-07,2.0420654015027658e-07,1.925597755873595e-06
2040-06-18 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717607992,1.818872837463583,0.6787253766410637,0.6272584232471079,3.0889798701332074,0.0936849867278001,0.6598124866924736,3.4519863360600005,0.3873800127753528,0.9901884707470184,0.244483619300561,8.134423565344702e-07,3.777424998965571e-06,3.731281600975064,0.9014951116352604,8.572268184947214e-07,2.312699626207e-07,6.768707899376729e-07,0.3253562397243718,1.91585784172938e-07,0.0776689379557091
2040-06-18 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717589298,1.8188728374577057,0.6787253617038314,0.6272584034090589,3.166792871290009,0.0936847963439467,1.4102910501883799,3.3386900452500003,0.3746659651779936,0.9901884707470184,0.244483619300561,8.667618497119085e-07,4.025027530162376e-06,1.418604430174526,1.0371301590739603,8.627239933946838e-07,2.3288738868219813e-07,6.837084361934055e-07,0.4073330035515821,1.9250596856446393e-07,3.059841392472158
2040-06-18 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717454599,1.818872837458948,0.678725361959753,0.6272599296313863,3.1352924304663805,0.0936847786384082,1.410308702531197,4.2074659393900005,0.472159519382663,0.9901884707470184,0.244483619300561,6.758675930877865e-07,3.138561843518051e-06,1.6815984293018822,1.0349919170225768,8.826794117993575e-07,2.373363842699503e-07,7.124190915242084e-07,0.4409406870312247,1.961795077883501e-07,3.221759565175838
2040-06-18 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717479825,1.8188728374634868,0.6787254034660152,0.627259152144234,2.9613981474243363,0.0936852790617558,0.21447823029132276,3.64160333663,0.4086587285499833,0.9901884707470184,0.244483619300561,2.3902090511158884e-07,1.1099539321882274e-06,1.802984549262138,1.0644721696649069,1.058767596900456e-06,3.828967303133805e-07,2.6740833249682014e-06,6.536715143409408e-07,2.1509966312183318e-07,1.309623304428381e-06
2040-06-18 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.839040971743649,1.8188728374669068,0.678725391615482,0.6273908976924906,2.690237612936288,0.0936853150373444,0.09461186719759941,1.42495589459,0.1599077687190831,0.9901884707470184,0.244483619300561,1.456777235920341e-07,6.764912971010593e-07,3.7485312899027873e-07,0.0,1.1532301297809842e-06,4.902390314153382e-07,1.6206299621306284,6.416088334966616e-07,2.2645780173343645e-07,9.934824447924605e-07
2040-06-18 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717361168,1.818872837469935,0.6787246537885262,0.627259990648817,2.4289518247879367,3.765352370516757e-06,0.14184326785044063,0.506460094462,0.0568346739421233,0.9901884707470184,0.244483619300561,2.297590263174095e-07,1.0669440591302592e-06,4.1937945906643267e-07,0.0,1.185969212881602e-06,4.882029806044248e-07,1.6206297433484431,6.330901232107299e-07,2.3123683132322154e-07,1.0193352346981326e-06
