country,sector,year,cfs
AT,Fuel Cell,2030,0.3846299924480902
AT,Fuel Cell,2035,0.1930726280680794
AT,Fuel Cell,2040,0.1161048974787684
AT,Fuel Cell,2045,0.1309746422823976
AT,Fuel Cell,2050,0.0936419887545845
AT,Gas,2023,0.5429999602505872
AT,Gas,2030,0.2064082780795319
AT,Gas,2035,0.1048900936582594
AT,Gas,2040,0.1067196665287982
AT,Gas,2045,0.1113220291023688
AT,Gas,2050,0.045440514435855
AT,Gas CC,2030,0.3077001788226706
AT,Gas CC,2035,0.1412845398199447
AT,Gas CC,2040,0.1258091758194699
AT,Gas CC,2045,0.1490087929015051
AT,Gas CC,2050,0.0796482842564843
AT,Gas CHP,2023,0.4074054390902676
AT,Gas CHP,2030,0.2116729370993348
AT,Gas CHP,2035,0.1012045001637433
AT,Gas CHP,2040,0.0881715780635183
AT,Gas CHP,2045,0.0514738496976106
AT,Gas CHP,2050,0.0199467346099229
AT,Gas CHP CC,2023,0.5857853333839993
AT,Gas CHP CC,2030,0.4834557777004505
AT,Gas CHP CC,2035,0.2426729655518673
AT,Gas CHP CC,2040,0.2356183210352887
AT,Gas CHP CC,2045,0.3301610320958051
AT,Gas CHP CC,2050,0.1513770028192951
AT,Hydroelectricity,2023,0.3393150887385943
AT,Hydroelectricity,2030,0.4938904066390527
AT,Hydroelectricity,2035,0.5577322082216774
AT,Hydroelectricity,2040,0.542892779446599
AT,Hydroelectricity,2045,0.5407572687712011
AT,Hydroelectricity,2050,0.5331835553586775
AT,Hydrogen production,2023,0.0231726838911701
AT,Hydrogen production,2030,0.3857286033637484
AT,Hydrogen production,2035,0.4593909754932329
AT,Hydrogen production,2040,0.5060531782453641
AT,Hydrogen production,2045,0.5202069073392279
AT,Hydrogen production,2050,0.625651819129961
AT,Hydrogen turbines,2030,0.1735617625753831
AT,Hydrogen turbines,2035,0.0639887981869165
AT,Hydrogen turbines,2040,0.0554592252344658
AT,Hydrogen turbines,2045,0.0695464034323118
AT,Hydrogen turbines,2050,0.0568571771566871
AT,Methanol production,2023,0.989994237500104
AT,Methanol production,2030,0.676680861258137
AT,Methanol production,2035,0.7486607266324109
AT,Methanol production,2040,0.7028253339606813
AT,Methanol production,2045,0.6733487552561639
AT,Methanol production,2050,0.6710609550120669
AT,Micro gas CHP,2030,0.5440394058048036
AT,Micro gas CHP,2035,0.5387840797529901
AT,Micro gas CHP,2040,0.5072675580382779
AT,Micro gas CHP,2045,0.3912760518265409
AT,Micro gas CHP,2050,0.2895119596604321
AT,Onwind,2023,0.0659113788837557
AT,Onwind,2030,0.0659113480988915
AT,Onwind,2035,0.0659114064655557
AT,Onwind,2040,0.0659113879871935
AT,Onwind,2045,0.0659112859022331
AT,Onwind,2050,0.0659112018794327
AT,Solar,2023,0.1195169449369708
AT,Solar,2030,0.1197313571843502
AT,Solar,2035,0.1195677897533937
AT,Solar,2040,0.1193315592433613
AT,Solar,2045,0.1191953535173809
AT,Solar,2050,0.1193701876724826
AT,Transport,2023,0.0594264894366531
AT,Transport,2030,0.0594264893071655
AT,Transport,2035,0.0594264893066476
AT,Transport,2040,0.0594264893068103
AT,Transport,2045,0.0594264893064388
AT,Transport,2050,0.0594264893063383
BA,Ammonia production,2023,0.6780244179509821
BA,Ammonia production,2030,0.2551548969877569
BA,Ammonia production,2035,0.3701359069792772
BA,Ammonia production,2040,0.3210291345471246
BA,Ammonia production,2045,0.151555889949519
BA,Ammonia production,2050,0.1967327537573298
BA,Battery,2023,0.2991524174648657
BA,Battery,2030,0.2155400100494084
BA,Battery,2035,0.1512713679309246
BA,Battery,2040,0.1465229902944814
BA,Battery,2045,0.1863353997460505
BA,Battery,2050,0.2016435743469936
BA,Battery charging,2023,0.3148955702771887
BA,Battery charging,2030,0.2394887922641739
BA,Battery charging,2035,0.1680792735453279
BA,Battery charging,2040,0.1628032890102821
BA,Battery charging,2045,0.2070393168782825
BA,Battery charging,2050,0.2240483971555043
BA,Biomass CHP,2023,0.9917013877455694
BA,Biomass CHP,2030,0.5251111110499742
BA,Biomass CHP,2035,0.4722994511361544
BA,Biomass CHP,2040,0.4156572062907141
