snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,Electricity,Hydrogen,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Decentralized heat,CO2 emissions,Electricity,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Electricity,Decentralized heat,Decentralized heat
sector,Aviation emissions,Agriculture emissions,Shipping emissions,Industry emissions,Nuclear,Steam Methane Reforming,Methane production emissions,Heat Pump,Biomass CHP,Biomass CHP,Imports,Transport emissions,Offwind,Gas Boiler,Decentral heat production emissions,Solar,Onwind,Gas Boiler,Storage,Power supply emissions,Gas,Hydroelectricity,Resistive heater,Oil Boiler
2023-10-26 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578229472774,4.0339992630076384,0.6047623912489357,0.1591479976970883,0.899430235386447,0.0726914883885881,0.2234590198612154,10.779321852843225,3.6814708421251807,1.5070251137478896,1.9838575236784597,0.48841938655500267,2.7127305231171177,1.910317530403478,0.4087872828181809,0.0,8.193231587316779e-07,1.7914110592912287e-06,0.013639748484638526,2.8258471914287887e-06,1.477200064751748e-06
2023-10-26 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578230777025,4.033999521152116,0.6041893342688645,0.1589971932286485,0.8994558694126179,0.2011245146569394,0.6182716561676285,10.565899238427956,2.9288371359733207,1.507025394756635,1.9842573432177435,0.4341704797067348,0.389208363307121,2.2544904391460348,0.1289808117262566,0.0,2.6314502087557206e-06,6.7165002648759075e-06,0.8104467191619105,1.850289571368094e-06,1.510927237375863e-06
2023-10-26 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345782320722545,4.0339995211709905,0.6017062458706504,0.158343748913329,0.8994213447087109,0.2009965341768293,0.6178782346917344,10.582208460018409,1.49782388448394,1.5070253590477434,1.9837766123226863,0.4341479211094385,,2.2417119874985367,0.1293750475737422,0.0,2.6281603577136216e-06,6.707361954916582e-06,0.8660153234742676,1.834196447635829e-06,1.5473595250823888e-06
2023-10-26 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457823339714,4.033999492546512,0.5979792781166315,0.1573629679254293,0.8993236144138459,0.1101048736488661,0.3384705375131811,10.793518881286046,0.8016885053672821,1.507025386072457,1.9823589233431989,0.4881094624162234,,2.7555055573411744,0.4087823781239224,0.0,1.7902692557052265e-06,4.393212866168412e-06,0.014181417832879493,1.949094140027772e-06,1.539469283797324e-06
2023-10-27 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578234751192,4.033999437783287,0.5911116116689182,0.1555556872812942,0.9141425112122069,0.1101014794096947,0.3384601033705432,11.207429352709942,0.3653348090878979,1.5070253711023232,3.125930678054364,0.7261801689701621,,2.9981103841241814,0.4205381429351512,0.3698012597922594,1.2458680742166334e-06,2.9131026319469888e-06,0.014270799032546919,2.49380710882366e-06,1.6887064649893497e-06
2023-10-27 03:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578236112742,4.033999253020978,0.6008598785463495,0.1581210206700919,0.9210541273183003,0.0902751520510464,0.2775125044532167,11.75919003416741,0.438444434919972,1.507025323292021,3.919457081574606,0.8913667164307753,,3.2233574343501767,0.428638327132835,0.6583429889293188,8.06926758904839e-07,1.7607471543661455e-06,0.014283543816981199,3.629666330953825e-06,1.7050193779007044e-06
2023-10-27 06:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578237570794,4.03399925175483,0.6026846241699183,0.1586012168868206,0.9212009272927677,0.0904407585093934,0.2780215909733207,12.25878681337042,1.315996310203146,1.5070253227239592,3.937979146214928,0.8952224058914268,0.5175857150918405,3.234024174427352,0.4288273939130183,0.1804374817493987,8.052458328037033e-07,1.7563220722390717e-06,0.0143232188217732,3.582490431045515e-06,1.6879347230551169e-06
2023-10-27 09:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578239062834,4.033999191622897,0.6042643020464867,0.1590169215911807,0.9190254585551203,0.0882256181923659,0.27121208555431,12.744469078514332,3.2417184046686405,1.507025310504445,3.690077037620922,0.8436173183561363,2.18773772425834,3.2299131244156425,0.4262975834879804,,7.531198401447024e-07,1.6238084373640633e-06,0.014943112169779447,4.052795889456918e-06,1.6000582591914028e-06
2023-10-27 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457824066638,4.033999185549862,0.6045063308724417,0.1590806133874847,0.9183703358583558,0.0875680628394892,0.2691907116917632,13.108318659117735,3.820104195588721,1.5070253092568695,3.616445629183969,0.8282894592485436,1.884205037080077,3.2031925148560845,0.4255449647766813,0.0,7.488675899662299e-07,1.6129980012534989e-06,0.017041895493522984,4.174410796376921e-06,1.6490263606435616e-06
2023-10-27 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578242431901,4.033999289358389,0.6042112733421691,0.1590029666689918,0.9196186501282216,0.0888659101704098,0.2731803905238525,13.00603187083182,3.8185406947805007,1.5070253328828782,3.761215843130871,0.858425976831048,0.2856817254565972,3.2337359022556913,0.4270228865371286,0.0,8.499623828490826e-07,1.8700293696253318e-06,0.017639936804324144,3.294828680437644e-06,1.6969151615134638e-06
2023-10-27 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578244247954,4.033999289921177,0.6038452661017669,0.1589066489741492,0.9196749650690712,0.0889366125354953,0.2733977348313375,12.970024178166945,2.3799247926485196,1.5070253330228265,3.769057539038567,0.8600583553783187,,3.2328482157696,0.4271028798236892,0.0,8.508148219213378e-07,1.8724520992878094e-06,0.01756510300862405,3.310746828459773e-06,1.7015993777725183e-06
2023-10-27 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578246125937,4.033999290956286,0.6033823758686567,0.1587848357549096,0.9143025338194108,0.083454875467187,0.2565464690287601,12.93666279237229,0.8755533808088861,1.507025333279434,3.154824758993802,0.732195200778051,,3.227506151338919,0.420834221029202,,8.521103173903023e-07,1.8756781193061578e-06,0.01750926761872878,3.2300006993420663e-06,1.6833552741963194e-06
2023-10-28 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578248075672,4.033999289562493,0.6034539395222258,0.1588036682953225,0.927769149256032,0.0857891506702047,0.263722203912111,13.068312292367873,0.438337715157212,1.507025332927685,3.748082311027707,0.8575755245286683,,3.233909121669781,0.4365889547208223,0.0,8.502097122216202e-07,1.8707450011490319e-06,0.01788994501293051,3.3677972459778168e-06,1.7090078787741403e-06
2023-10-28 03:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578250106856,4.033999294596914,0.6044474983600823,0.15906513114739,0.9386447222700689,0.0957648218789847,0.2943881561465087,13.075046405789797,2.1644111847917005,1.2950446522030137,5.114998251735325,1.1434984982160745,,3.2341656926564277,0.4576245239616747,0.6077775565174349,8.572064350174181e-07,1.8886972360855664e-06,0.017975928255316256,3.7767984723735135e-06,1.912704025781705e-06
2023-10-28 06:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578252212393,4.033999352488543,0.6054202657880228,0.1593211225757954,0.9386089401244867,0.1107846117086593,0.3405601026599528,13.259580638892194,4.127054080602961,0.8124251361865169,5.236938418308637,1.16865215556021,0.4679525869921969,3.231019003826533,0.4576830167893703,0.5502366281098536,9.554308303885304e-07,2.1430501581580416e-06,0.018042666763163736,3.462304176264707e-06,1.902759946060873e-06
2023-10-28 09:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345782543989905,4.033999283771916,0.6054612816985943,0.1593319162364721,0.9385826465881549,0.0980300505953896,0.3013516370154571,13.838396907765336,3.5068496051360203,1.0046834700113416,4.804214280099582,1.0785389764954108,2.2878077144709685,3.208606766584882,0.4530908621936971,,8.427072882142903e-07,1.8513277204436392e-06,0.01823562186100294,3.839452713045987e-06,1.8101115080624965e-06
2023-10-28 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578256728024,4.033999311392996,0.6054657453029914,0.1593330908692082,0.9385530516901852,0.1100999785829204,0.3384554897178665,13.834292024653076,3.91382341955878,1.5070253374051086,4.666207607570667,1.0496691581419715,2.019913560010227,3.233969479653703,0.4509544567747014,,8.809859793773758e-07,1.949623393143315e-06,0.01830709880303754,3.71417635718121e-06,1.8159159203072032e-06
