snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,CO2 emissions,Electricity,Electricity,Electricity,Decentralized heat,Centralized heat,Electricity,CO2 emissions,Centralized heat,Methane,Decentralized heat,Electricity,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Steam Methane Reforming,Heat Pump,Heat Pump,Nuclear,Imports,Transport emissions,Offwind,Onwind,Solar,Gas Boiler,Biomass CHP,Biomass CHP,Decentral heat production emissions,Gas Boiler,Storage,Resistive heater,Hydroelectricity,Power supply emissions,Gas,Oil Boiler,Storage,Storage
2035-03-17 00:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396399588852,0.6540575127054604,0.4682467203886945,0.1209298147492578,0.0720420581504707,4.880555229927099,0.9478261181905792,2.0560021043251338,17.991529076209083,0.2959645438146602,7.083419164412422,2.716852581605644,,6.604082659459741,0.8463971606989712,0.2754990214198061,1.45428083050298,0.6302302850508866,,1.217562765234363,1.3695279736776433,5.466633159525698e-07,1.1308406987786275e-06,9.154532723863788e-07,7.383818288585285e-07,1.709154363373302e-06
2035-03-17 03:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963995974185,0.6540575127469603,0.4682467199684522,0.1209298146401593,0.072042056974171,4.830165806325947,0.9360682363629472,2.056002113192754,18.126042788735237,0.3035694455877975,7.083784021035509,2.060340063121033,,13.653257862014677,0.8638869624625178,0.28121763881555,3.116166593916381,1.8778886679081617,0.0,1.3823314889566458,0.40207567425361046,5.486178449042894e-07,1.1377795166693425e-06,9.215830141462824e-07,7.313099394895929e-07,1.7278722888063407e-06
2035-03-17 06:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963987205714,0.65405751387087,0.4682467021646272,0.120929810029378,0.0720420331336184,4.852066225070409,0.9411333569438016,2.0560008888256083,18.224972930551413,0.9061450004392356,6.9357171701454625,1.6241390028247442,1.361504080677819,13.838830798673438,1.7589342231902607e-05,5.7393275292093066e-06,3.322395158475152,2.7640444859602034,0.4642004758317004,1.338575487401218,0.06161149942180457,4.512701520246716e-07,8.368476342379042e-07,9.278818546728684e-07,7.846831125559977e-07,1.7531113669334298e-06
2035-03-17 09:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396398639095,0.6540575140098334,0.4682467260214677,0.1209298162059218,0.0720420627963522,5.069095857634031,0.9915093747921238,0.2110236416928435,18.213429323231512,2.1932283611255037,7.04063466663166,1.998538641393284,2.787245770688248,11.49688788944363,5.139621772952999e-06,1.6770404835692343e-06,2.7661313499992377,2.328355632093076,,1.27043743066003,0.06164263095788719,4.3043090258021155e-07,7.78196145438875e-07,9.295086647577768e-07,8.237237446767214e-07,1.727643645614712e-06
2035-03-17 12:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963985203725,0.6540575141587641,0.4682468918106545,0.1209298591376278,0.0720422609505632,5.232695853868779,1.0295016560839438,2.0559933384190443,18.141168587056693,2.556555213711464,7.030180511031514,1.4426155999777546,2.6972669346491007,10.695155608257156,5.70880793068031e-06,1.8628088930718264e-06,2.5751210985353015,2.1759001774536344,,1.2571191081484552,0.061715795688593554,4.3098345753334293e-07,7.804899504636158e-07,9.268709162131724e-07,8.473221707644394e-07,1.72303613607898e-06
2035-03-17 15:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963992206954,0.6540575133100907,0.4682467661701524,0.1209298266023236,0.072042111812714,5.152203827187769,1.010590546683999,2.056002112713284,18.077599161485043,2.5541380305422803,7.022599843076464,1.9855645645333584,0.8605923853255001,12.14194545715736,0.8637151141261351,0.2811616010125847,2.750698946963142,1.562773309975016,0.0,1.171319916930059,0.061816013529020684,5.481048412114211e-07,1.136968543946938e-06,9.25260681737061e-07,7.033871232914708e-07,1.7144712126957474e-06
2035-03-17 18:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396399331105,0.6540575130255208,0.4682467117006887,0.1209298124977625,0.0720420484371203,4.929102187329338,0.9589440550803274,2.056001945975281,18.026898317934197,1.6161788321222303,7.051868125827827,2.251109827809093,,12.647547026376484,0.0507732886883688,0.0166134452308391,3.019648345627306,2.4387454725213775,,0.9580826426018906,0.0619347975884482,5.101954065495795e-07,1.0133641740846215e-06,9.25029483830659e-07,7.820740942326487e-07,1.7075436675513031e-06
2035-03-17 21:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963996856994,0.6540575125669539,0.4682465116524439,0.1209297606976665,0.0720418037137711,4.884337092837527,0.9488712265503784,2.056002132639174,17.90533057067493,0.5960946451191869,6.086364224904417,2.454714092267953,,7.368618805087093,0.8475676912313705,0.2758822179562729,1.6216682075322117,0.6980922080126967,,0.8481461428458293,0.062011447965369094,5.537774583047867e-07,1.1539817358333625e-06,9.217842952721856e-07,7.6363158580812e-07,1.6545963357899052e-06
2035-03-18 00:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396399609414,0.6540575126500644,0.4682465120969851,0.1209297608128874,0.0720418040434936,4.815216776174374,0.9328003567966964,2.0560021397326773,17.995523126403036,0.3011349364150086,6.056463836710691,2.548067260759878,,6.743473513632575,0.8459298933555917,0.2753461196786984,1.4752572631417593,0.592484517643424,,0.8321527063778595,0.062044076775221044,5.577719017180784e-07,1.1686682139108424e-06,9.21800083414782e-07,7.726912445281092e-07,1.5845284255158866e-06
2035-03-18 03:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243963995443862,0.6540575127806012,0.4682467201313308,0.120929814680774,0.0720420586246649,4.667576136491522,0.8983069303507049,2.056002169730403,18.328438521436404,1.524943034927465,5.795544278253481,2.190512176950297,,14.365640686064497,0.8638897060552528,0.2812185348889666,3.266986183909351,1.9143558909269445,3.935301203500291,0.8211513955289592,0.06201367019523119,5.683071728209024e-07,1.205132373802666e-06,9.304431680763572e-07,7.914502987950847e-07,1.5161109728539225e-06
